Hour,RegionA,RegionB,RegionC,RegionD,RegionE,RegionF
0,195.66812958150004,219.7452445815,202.03458642780012,496.03824800000007,456.27085,440.251814
1,244.44337458150005,276.04093499999993,249.76776642780024,611.2006560000001,541.4654003916668,557.79308
2,337.44337458150005,320.0,300.0,727.5651355989335,679.2694003916667,690.568738
3,350.0,320.0,300.0,900.0,820.0,850.0
4,350.0,320.0,300.0,900.0,820.0,850.0
5,350.0,320.0,300.0,900.0,820.0,850.0
6,350.0,320.0,300.0,900.0,820.0,850.0
7,350.0,320.0,300.0,900.0,820.0,850.0
8,350.0,320.0,300.0,900.0,820.0,850.0
9,350.0,320.0,300.0,900.0,820.0,850.0
10,350.0,320.0,300.0,900.0,820.0,850.0
11,350.0,320.0,300.0,900.0,820.0,850.0
12,350.0,320.0,300.0,900.0,820.0,850.0
13,350.0,320.0,300.0,900.0,820.0,850.0
14,350.0,320.0,300.0,900.0,820.0,850.0
15,350.0,320.0,300.0,900.0,820.0,850.0
16,350.0,320.0,300.0,900.0,820.0,850.0
17,350.0,320.0,300.0,900.0,820.0,850.0
18,350.0,320.0,300.0,900.0,820.0,850.0
19,350.0,320.0,300.0,900.0,820.0,850.0
20,350.0,320.0,300.0,900.0,820.0,850.0
21,350.0,320.0,300.0,900.0,820.0,850.0
22,350.0,320.0,300.0,900.0,820.0,850.0
23,350.0,320.0,300.0,900.0,820.0,850.0
24,350.0,320.0,300.0,900.0,820.0,850.0
25,350.0,320.0,300.0,900.0,820.0,850.0
26,350.0,320.0,300.0,900.0,820.0,850.0
27,350.0,320.0,300.0,900.0,820.0,850.0
28,350.0,320.0,300.0,900.0,820.0,850.0
29,350.0,320.0,300.0,900.0,820.0,850.0
30,350.0,320.0,300.0,900.0,820.0,850.0
31,350.0,320.0,300.0,900.0,820.0,850.0
32,350.0,320.0,300.0,900.0,820.0,850.0
33,350.0,320.0,300.0,900.0,820.0,850.0
34,350.0,320.0,300.0,900.0,820.0,850.0
35,350.0,320.0,300.0,900.0,820.0,850.0
36,350.0,320.0,300.0,900.0,820.0,850.0
37,350.0,320.0,300.0,900.0,820.0,850.0
38,350.0,320.0,300.0,900.0,820.0,850.0
39,350.0,320.0,300.0,900.0,820.0,850.0
40,350.0,320.0,300.0,900.0,820.0,850.0
41,350.0,320.0,300.0,900.0,820.0,850.0
42,350.0,320.0,300.0,900.0,820.0,850.0
43,350.0,320.0,300.0,900.0,820.0,850.0
44,350.0,320.0,300.0,900.0,820.0,850.0
45,350.0,320.0,300.0,900.0,820.0,850.0
46,350.0,320.0,300.0,900.0,820.0,850.0
47,350.0,320.0,300.0,900.0,820.0,850.0
48,350.0,320.0,300.0,900.0,820.0,850.0
49,350.0,320.0,300.0,900.0,820.0,850.0
50,350.0,320.0,300.0,900.0,820.0,850.0
51,350.0,320.0,300.0,900.0,820.0,850.0
52,350.0,320.0,300.0,900.0,820.0,850.0
53,350.0,320.0,300.0,900.0,820.0,850.0
54,350.0,320.0,300.0,900.0,820.0,850.0
55,350.0,320.0,300.0,900.0,820.0,850.0
56,350.0,320.0,300.0,900.0,820.0,850.0
57,350.0,320.0,300.0,900.0,820.0,850.0
58,350.0,320.0,300.0,900.0,820.0,850.0
59,350.0,320.0,300.0,900.0,820.0,850.0
60,350.0,320.0,300.0,900.0,820.0,850.0
61,350.0,320.0,300.0,900.0,820.0,850.0
62,350.0,320.0,300.0,900.0,820.0,850.0
63,350.0,320.0,300.0,900.0,820.0,850.0
64,350.0,320.0,300.0,900.0,820.0,850.0
65,350.0,320.0,300.0,900.0,820.0,850.0
66,350.0,320.0,300.0,900.0,820.0,850.0
67,350.0,320.0,300.0,900.0,820.0,850.0
68,350.0,320.0,300.0,900.0,820.0,850.0
69,350.0,320.0,300.0,900.0,820.0,850.0
70,350.0,320.0,300.0,900.0,820.0,850.0
71,350.0,320.0,300.0,900.0,820.0,850.0
72,350.0,320.0,300.0,900.0,820.0,850.0
73,350.0,320.0,300.0,900.0,820.0,850.0
74,350.0,320.0,300.0,900.0,820.0,850.0
75,350.0,320.0,300.0,900.0,820.0,850.0
76,350.0,320.0,300.0,900.0,820.0,850.0
77,350.0,320.0,300.0,900.0,820.0,850.0
78,350.0,320.0,300.0,900.0,820.0,850.0
79,350.0,320.0,300.0,900.0,820.0,850.0
80,350.0,320.0,300.0,900.0,820.0,850.0
81,350.0,320.0,300.0,900.0,820.0,850.0
82,350.0,320.0,300.0,900.0,820.0,850.0
83,350.0,320.0,300.0,900.0,820.0,850.0
84,350.0,320.0,300.0,900.0,820.0,850.0
85,350.0,320.0,300.0,900.0,820.0,850.0
86,350.0,320.0,300.0,900.0,820.0,850.0
87,350.0,320.0,300.0,900.0,820.0,850.0
88,350.0,320.0,300.0,900.0,820.0,850.0
89,350.0,320.0,300.0,900.0,820.0,850.0
90,350.0,320.0,300.0,900.0,820.0,850.0
91,350.0,320.0,300.0,900.0,820.0,850.0
92,350.0,320.0,300.0,900.0,820.0,850.0
93,350.0,320.0,300.0,900.0,820.0,850.0
94,350.0,320.0,300.0,900.0,820.0,850.0
95,350.0,320.0,300.0,900.0,820.0,850.0
96,350.0,320.0,300.0,900.0,820.0,850.0
97,350.0,320.0,300.0,900.0,820.0,850.0
98,350.0,320.0,300.0,900.0,820.0,850.0
99,350.0,320.0,300.0,900.0,820.0,850.0
100,350.0,320.0,300.0,900.0,820.0,850.0
101,350.0,320.0,300.0,900.0,820.0,850.0
102,350.0,320.0,300.0,900.0,820.0,850.0
103,350.0,320.0,300.0,900.0,820.0,850.0
104,350.0,320.0,300.0,900.0,820.0,850.0
105,350.0,320.0,300.0,900.0,820.0,850.0
106,350.0,320.0,300.0,900.0,820.0,850.0
