TaskID,TaskType,SourceRegion,ExecutionRegion,ArrivalHour,StartHour,FinishHour,GPU_Demand
14647,BatchInference,RegionA,RegionA,2376,2376,2377.233333333333,11.0
33742,RealTimeInference,RegionA,RegionA,2376,2376,2378.583333333333,3.0
26783,BatchInference,RegionA,RegionA,2377,2377,2379.3,16.0
20965,RealTimeInference,RegionA,RegionA,2377,2377,2379.633333333333,2.0
22926,BatchInference,RegionA,RegionA,2377,2377,2380.4666666666667,19.0
4316,RealTimeInference,RegionA,RegionA,2377,2377,2381.366666666667,5.0
6423,RealTimeInference,RegionA,RegionA,2377,2377,2381.383333333333,7.0
6481,RealTimeInference,RegionA,RegionA,2377,2377,2383.45,6.0
3444,RealTimeInference,RegionA,RegionA,2378,2378,2379.7166666666667,7.0
25839,RealTimeInference,RegionA,RegionA,2378,2378,2383.483333333333,1.0
14405,BatchInference,RegionA,RegionA,2379,2379,2381.583333333333,18.0
11216,BatchInference,RegionA,RegionA,2379,2379,2384.116666666667,20.0
23424,RealTimeInference,RegionA,RegionA,2379,2379,2385.616666666667,5.0
40898,AITraining,RegionA,RegionA,2380,2380,2382.866666666667,122.0
35507,BatchInference,RegionA,RegionA,2381,2381,2382.8,18.0
34989,BatchInference,RegionA,RegionA,2381,2381,2384.366666666667,13.0
18905,BatchInference,RegionA,RegionA,2381,2381,2385.1833333333334,12.0
43240,RealTimeInference,RegionA,RegionA,2381,2381,2387.583333333333,7.0
15185,RealTimeInference,RegionA,RegionA,2382,2382,2382.883333333333,1.0
14772,BatchInference,RegionA,RegionA,2382,2382,2387.116666666667,12.0
16116,BatchInference,RegionA,RegionA,2382,2382,2387.333333333333,7.0
12791,BatchInference,RegionA,RegionA,2383,2383,2383.866666666667,4.0
34149,BatchInference,RegionA,RegionA,2383,2383,2384.6666666666665,13.0
21103,RealTimeInference,RegionA,RegionA,2383,2383,2384.8,7.0
4060,BatchInference,RegionA,RegionA,2383,2383,2385.8,8.0
35298,RealTimeInference,RegionA,RegionA,2383,2383,2387.3166666666666,6.0
41298,RealTimeInference,RegionA,RegionA,2383,2383,2388.35,4.0
16950,RealTimeInference,RegionA,RegionA,2384,2384,2386.5333333333333,6.0
47997,RealTimeInference,RegionA,RegionA,2384,2384,2388.0666666666666,6.0
23890,RealTimeInference,RegionA,RegionA,2385,2385,2389.7833333333333,5.0
19693,RealTimeInference,RegionA,RegionA,2386,2386,2387.2,4.0
48396,RealTimeInference,RegionA,RegionA,2386,2386,2388.6833333333334,2.0
23667,BatchInference,RegionA,RegionA,2386,2386,2391.2166666666667,15.0
40446,BatchInference,RegionA,RegionA,2387,2387,2387.5333333333333,9.0
2374,BatchInference,RegionA,RegionA,2387,2387,2387.65,7.0
12025,RealTimeInference,RegionA,RegionA,2387,2387,2387.65,2.0
29773,RealTimeInference,RegionA,RegionA,2387,2387,2388.7833333333333,6.0
32719,RealTimeInference,RegionA,RegionA,2387,2387,2388.8166666666666,3.0
43266,AITraining,RegionA,RegionA,2388,2388,2388.983333333333,103.0
43463,BatchInference,RegionA,RegionA,2388,2388,2389.333333333333,10.0
36175,RealTimeInference,RegionA,RegionA,2388,2388,2389.4,5.0
6323,BatchInference,RegionA,RegionA,2388,2388,2390.366666666667,5.0
42007,BatchInference,RegionA,RegionA,2388,2388,2390.733333333333,21.0
583,BatchInference,RegionA,RegionA,2388,2388,2391.9166666666665,12.0
27636,RealTimeInference,RegionA,RegionA,2388,2388,2392.233333333333,7.0
28692,RealTimeInference,RegionA,RegionA,2388,2388,2392.3,3.0
45156,BatchInference,RegionA,RegionA,2388,2388,2393.0333333333333,9.0
16274,BatchInference,RegionA,RegionA,2388,2388,2394.05,21.0
42663,BatchInference,RegionA,RegionA,2388,2388,2394.233333333333,7.0
48004,RealTimeInference,RegionA,RegionA,2389,2389,2389.833333333333,6.0
32162,RealTimeInference,RegionA,RegionA,2389,2389,2390.9166666666665,2.0
39318,BatchInference,RegionA,RegionA,2389,2389,2391.75,21.0
1096,RealTimeInference,RegionA,RegionA,2389,2389,2393.833333333333,1.0
6232,RealTimeInference,RegionA,RegionA,2389,2389,2395.0,5.0
24572,BatchInference,RegionA,RegionA,2390,2390,2395.05,9.0
39397,BatchInference,RegionA,RegionA,2390,2390,2396.4666666666667,7.0
12397,AITraining,RegionA,RegionA,2391,2391,2391.616666666667,101.0
25215,RealTimeInference,RegionA,RegionA,2391,2391,2394.4333333333334,5.0
4113,BatchInference,RegionA,RegionA,2391,2391,2395.2,15.0
35783,RealTimeInference,RegionA,RegionA,2391,2391,2395.616666666667,3.0
18367,BatchInference,RegionA,RegionA,2391,2391,2396.766666666667,19.0
28488,BatchInference,RegionA,RegionA,2392,2392,2392.65,14.0
315,BatchInference,RegionA,RegionA,2392,2392,2393.45,17.0
32917,RealTimeInference,RegionA,RegionA,2392,2392,2394.883333333333,2.0
27301,BatchInference,RegionA,RegionA,2392,2392,2395.2,5.0
18826,BatchInference,RegionA,RegionA,2392,2392,2396.5333333333333,17.0
21792,RealTimeInference,RegionA,RegionA,2392,2392,2397.266666666667,4.0
21897,RealTimeInference,RegionA,RegionA,2393,2393,2394.5333333333333,3.0
4611,BatchInference,RegionA,RegionA,2393,2393,2395.05,15.0
27485,RealTimeInference,RegionA,RegionA,2393,2393,2395.4333333333334,5.0
7484,RealTimeInference,RegionA,RegionA,2393,2393,2396.95,3.0
31748,RealTimeInference,RegionA,RegionA,2393,2393,2398.5333333333333,4.0
45529,RealTimeInference,RegionA,RegionA,2393,2393,2399.1,4.0
1843,RealTimeInference,RegionA,RegionA,2394,2394,2394.8166666666666,1.0
39468,BatchInference,RegionA,RegionA,2394,2394,2395.116666666667,16.0
12444,RealTimeInference,RegionA,RegionA,2394,2394,2398.483333333333,1.0
34439,RealTimeInference,RegionA,RegionA,2394,2394,2399.0666666666666,2.0
13251,RealTimeInference,RegionA,RegionA,2395,2395,2395.7833333333333,6.0
41247,RealTimeInference,RegionA,RegionA,2395,2395,2397.0666666666666,3.0
49617,RealTimeInference,RegionA,RegionA,2395,2395,2399.266666666667,3.0
42958,BatchInference,RegionA,RegionA,2395,2395,2401.016666666667,19.0
38774,RealTimeInference,RegionA,RegionA,2396,2396,2396.55,4.0
26836,RealTimeInference,RegionA,RegionA,2396,2396,2400.5333333333333,7.0
18394,RealTimeInference,RegionA,RegionA,2396,2396,2401.4333333333334,3.0
40505,BatchInference,RegionA,RegionA,2396,2396,2402.333333333333,6.0
40341,RealTimeInference,RegionA,RegionA,2396,2396,2402.4333333333334,2.0
38786,AITraining,RegionA,RegionA,2396,2396,2402.633333333333,95.0
46028,BatchInference,RegionA,RegionA,2397,2397,2398.116666666667,22.0
49609,AITraining,RegionA,RegionA,2397,2397,2398.1666666666665,38.0
49550,AITraining,RegionA,RegionA,2397,2397,2399.0,120.0
29787,BatchInference,RegionA,RegionA,2397,2397,2401.1666666666665,7.0
37081,BatchInference,RegionA,RegionA,2397,2397,2401.45,17.0
7530,RealTimeInference,RegionA,RegionA,2398,2398,2399.1666666666665,5.0
40375,RealTimeInference,RegionA,RegionA,2398,2398,2399.333333333333,4.0
13381,RealTimeInference,RegionA,RegionA,2398,2398,2400.083333333333,6.0
41451,RealTimeInference,RegionA,RegionA,2399,2399,2405.6,4.0
3498,RealTimeInference,RegionB,RegionB,2376,2376,2377.1833333333334,2.0
49940,RealTimeInference,RegionB,RegionB,2376,2376,2377.55,6.0
31600,RealTimeInference,RegionB,RegionB,2376,2376,2381.05,3.0
33422,BatchInference,RegionB,RegionB,2376,2376,2382.1833333333334,9.0
26377,BatchInference,RegionB,RegionB,2376,2376,2382.4333333333334,17.0
49049,RealTimeInference,RegionB,RegionB,2377,2377,2378.633333333333,3.0
44279,RealTimeInference,RegionB,RegionB,2377,2377,2379.85,1.0
39791,BatchInference,RegionB,RegionB,2377,2377,2381.7833333333333,4.0
45743,RealTimeInference,RegionB,RegionB,2377,2377,2383.5333333333333,2.0
24568,RealTimeInference,RegionB,RegionB,2378,2378,2380.4166666666665,4.0
18427,BatchInference,RegionB,RegionB,2378,2378,2382.45,18.0
2508,RealTimeInference,RegionB,RegionB,2378,2378,2382.65,1.0
2763,BatchInference,RegionB,RegionB,2379,2379,2382.75,15.0
30708,RealTimeInference,RegionB,RegionB,2379,2379,2385.4,1.0
28667,RealTimeInference,RegionB,RegionB,2380,2380,2381.2,6.0
36438,AITraining,RegionB,RegionB,2380,2380,2381.2166666666667,30.0
43668,BatchInference,RegionB,RegionB,2380,2380,2382.833333333333,19.0
46876,RealTimeInference,RegionB,RegionB,2380,2380,2382.85,3.0
20964,AITraining,RegionB,RegionB,2380,2380,2383.5,112.0
9585,RealTimeInference,RegionB,RegionB,2381,2381,2383.0333333333333,7.0
28161,BatchInference,RegionB,RegionB,2381,2381,2385.2166666666667,4.0
42499,AITraining,RegionB,RegionB,2381,2381,2387.1,71.0
29651,RealTimeInference,RegionB,RegionB,2382,2382,2386.733333333333,7.0
49336,BatchInference,RegionB,RegionB,2382,2382,2387.4166666666665,8.0
13331,RealTimeInference,RegionB,RegionB,2383,2383,2383.8166666666666,1.0
43047,RealTimeInference,RegionB,RegionB,2383,2383,2385.0333333333333,5.0
40802,BatchInference,RegionB,RegionB,2383,2383,2387.25,16.0
45879,RealTimeInference,RegionB,RegionB,2383,2383,2387.383333333333,3.0
37312,BatchInference,RegionB,RegionB,2383,2383,2389.55,17.0
26569,RealTimeInference,RegionB,RegionB,2384,2384,2385.1,5.0
26779,RealTimeInference,RegionB,RegionB,2384,2384,2385.75,2.0
34201,AITraining,RegionB,RegionB,2384,2384,2385.9333333333334,78.0
25467,RealTimeInference,RegionB,RegionB,2385,2385,2387.866666666667,6.0
14669,RealTimeInference,RegionB,RegionB,2385,2385,2389.616666666667,6.0
205,BatchInference,RegionB,RegionB,2385,2385,2389.9166666666665,6.0
1234,BatchInference,RegionB,RegionB,2385,2385,2390.5666666666666,9.0
46875,BatchInference,RegionB,RegionB,2385,2385,2391.1666666666665,18.0
8353,RealTimeInference,RegionB,RegionB,2386,2386,2387.25,5.0
33605,BatchInference,RegionB,RegionB,2386,2386,2387.5666666666666,9.0
32465,RealTimeInference,RegionB,RegionB,2386,2386,2388.4,6.0
46192,AITraining,RegionB,RegionB,2386,2386,2389.3,113.0
14622,BatchInference,RegionB,RegionB,2386,2386,2389.6666666666665,23.0
29239,RealTimeInference,RegionB,RegionB,2386,2386,2390.016666666667,2.0
11834,BatchInference,RegionB,RegionB,2386,2386,2391.866666666667,19.0
40554,RealTimeInference,RegionB,RegionB,2386,2386,2392.2,5.0
25000,RealTimeInference,RegionB,RegionB,2387,2387,2388.65,6.0
