SourceRegion,TaskType,TaskCount,GPU_Total,GPU_Mean,GPU_Median,DurationMean_h,GPUHour
RegionA,AITraining,879,63070,71.75199089874857,71.0,3.436727341676147,214319.28333333333
RegionA,BatchInference,3331,45066,13.52927048934254,14.0,3.42743420394276,154341.45
RegionA,RealTimeInference,5852,23585,4.0302460697197535,4.0,3.4005097972203235,79791.71666666666
RegionB,AITraining,871,62551,71.81515499425947,73.0,3.3882127822426327,212294.63333333333
RegionB,BatchInference,3312,44274,13.367753623188406,13.0,3.4123691626409016,151260.43333333332
RegionB,RealTimeInference,5017,19989,3.9842535379708988,4.0,3.3761344761145438,67203.08333333333
RegionC,AITraining,815,58899,72.26871165644172,73.0,3.363762781186094,198331.96666666667
RegionC,BatchInference,2523,34710,13.75743162901308,14.0,3.3889153124587135,117897.36666666667
RegionC,RealTimeInference,4221,17015,4.031035299692016,4.0,3.4436271025823264,58704.95
RegionD,AITraining,5726,407683,71.19856793573175,71.0,3.408021888461986,1387122.6833333333
RegionD,BatchInference,3346,45291,13.535863717872086,14.0,3.413419007770472,155177.2
RegionD,RealTimeInference,488,1993,4.084016393442623,4.0,3.2112363387978142,6558.55
RegionE,AITraining,4091,292000,71.37619164018578,72.0,3.36535484396643,978535.1166666667
RegionE,BatchInference,2172,29548,13.604051565377532,14.0,3.402892879066912,100158.33333333333
RegionE,RealTimeInference,649,2628,4.049306625577812,4.0,3.3831792501284026,9054.766666666666
RegionF,AITraining,4177,296143,70.8984917404836,71.0,3.458175724203974,1032935.0333333333
RegionF,BatchInference,2033,27173,13.3659616330546,13.0,3.352033120183637,90263.01666666666
RegionF,RealTimeInference,497,1996,4.016096579476861,4.0,3.4311535881958415,6837.066666666667
