Hour,Region,TaskType,Actual_GPU,Predicted_GPU
2376,RegionA,RealTimeInference,3.0,9.38117013453732
2377,RegionA,RealTimeInference,20.0,9.707017004401552
2378,RegionA,RealTimeInference,8.0,9.52230532266057
2379,RegionA,RealTimeInference,5.0,9.459865081127528
2380,RegionA,RealTimeInference,0.0,9.34907227244091
2381,RegionA,RealTimeInference,7.0,9.367563603389913
2382,RegionA,RealTimeInference,1.0,9.310123948010641
2383,RegionA,RealTimeInference,17.0,9.380146409390033
2384,RegionA,RealTimeInference,12.0,9.310245714279596
2385,RegionA,RealTimeInference,5.0,9.314334042037732
2386,RegionA,RealTimeInference,6.0,9.367174606800672
2387,RegionA,RealTimeInference,11.0,9.54156599804401
2388,RegionA,RealTimeInference,15.0,9.505382250829145
2389,RegionA,RealTimeInference,14.0,9.613218486143612
2390,RegionA,RealTimeInference,0.0,9.706346624470838
2391,RegionA,RealTimeInference,8.0,9.699629745274029
2392,RegionA,RealTimeInference,6.0,9.85699229030871
2393,RegionA,RealTimeInference,19.0,9.991447824734706
2394,RegionA,RealTimeInference,4.0,9.902775297465988
2395,RegionA,RealTimeInference,12.0,10.003202423612441
2396,RegionA,RealTimeInference,16.0,10.045415007003434
2397,RegionA,RealTimeInference,0.0,10.24055877462879
2398,RegionA,RealTimeInference,15.0,10.175583702560548
2399,RegionA,RealTimeInference,4.0,10.153854207758584
2376,RegionA,BatchInference,11.0,20.93235338302955
2377,RegionA,BatchInference,35.0,19.931429115086694
2378,RegionA,BatchInference,0.0,19.86763287876708
2379,RegionA,BatchInference,38.0,19.425403305853045
2380,RegionA,BatchInference,0.0,19.61561835230887
2381,RegionA,BatchInference,43.0,19.49587654938825
2382,RegionA,BatchInference,19.0,19.357575177654763
2383,RegionA,BatchInference,25.0,19.173980753476012
2384,RegionA,BatchInference,0.0,18.951991655203965
2385,RegionA,BatchInference,0.0,18.88553808266317
2386,RegionA,BatchInference,15.0,18.94093726550735
2387,RegionA,BatchInference,16.0,18.787912347411233
2388,RegionA,BatchInference,85.0,18.898428250016714
2389,RegionA,BatchInference,21.0,19.118055355616796
2390,RegionA,BatchInference,16.0,19.04375788466822
2391,RegionA,BatchInference,34.0,19.421879801717495
2392,RegionA,BatchInference,53.0,19.213051074210348
2393,RegionA,BatchInference,15.0,19.375284718528032
2394,RegionA,BatchInference,16.0,19.354162870928455
2395,RegionA,BatchInference,19.0,19.276173963415868
2396,RegionA,BatchInference,6.0,19.32639236789697
2397,RegionA,BatchInference,46.0,19.340334982524272
2398,RegionA,BatchInference,0.0,19.16421866924942
2399,RegionA,BatchInference,0.0,19.08928480572572
2376,RegionA,AITraining,0.0,3.826940044859839e-07
2377,RegionA,AITraining,0.0,4.609801038668593e-07
2378,RegionA,AITraining,0.0,4.1304390308027905e-07
2379,RegionA,AITraining,0.0,3.590022359389877e-07
2380,RegionA,AITraining,122.0,1.3132596876630487e-07
2381,RegionA,AITraining,0.0,1.7019788600691754e-07
2382,RegionA,AITraining,0.0,1.0494683522210835e-07
2383,RegionA,AITraining,0.0,6.50135483226677e-08
2384,RegionA,AITraining,0.0,3.6987358953410876e-08
2385,RegionA,AITraining,0.0,2.2894948159546402e-08
2386,RegionA,AITraining,0.0,2.3804403781468864e-08
2387,RegionA,AITraining,0.0,3.346151800087682e-08
2388,RegionA,AITraining,103.0,0.0
2389,RegionA,AITraining,0.0,7.112809896625549e-08
2390,RegionA,AITraining,0.0,1.2247429026501777e-07
2391,RegionA,AITraining,101.0,1.7966243959222084e-07
2392,RegionA,AITraining,0.0,2.388461552982335e-07
2393,RegionA,AITraining,0.0,2.6835407140879397e-07
2394,RegionA,AITraining,0.0,2.1101190483818755e-07
2395,RegionA,AITraining,0.0,3.424889847281065e-07
2396,RegionA,AITraining,95.0,3.722856938281893e-07
2397,RegionA,AITraining,158.0,3.878644463384262e-07
2398,RegionA,AITraining,0.0,1.363607644577769e-07
2399,RegionA,AITraining,0.0,1.4271942205823507e-07
2376,RegionB,RealTimeInference,11.0,8.30133770615733
2377,RegionB,RealTimeInference,6.0,8.283069857735425
2378,RegionB,RealTimeInference,5.0,8.121375591501838
2379,RegionB,RealTimeInference,1.0,7.6993824384830685
2380,RegionB,RealTimeInference,9.0,7.9359095181937995
2381,RegionB,RealTimeInference,7.0,7.797880598132265
2382,RegionB,RealTimeInference,7.0,8.033252234194771
2383,RegionB,RealTimeInference,9.0,7.8722292633784825
2384,RegionB,RealTimeInference,7.0,8.004970025612053
2385,RegionB,RealTimeInference,12.0,7.8903854084064875
2386,RegionB,RealTimeInference,18.0,7.804491140308889
2387,RegionB,RealTimeInference,15.0,8.10057601322188
2388,RegionB,RealTimeInference,1.0,7.829210411517309
2389,RegionB,RealTimeInference,0.0,7.733306335170131
2390,RegionB,RealTimeInference,8.0,8.08167760355834
2391,RegionB,RealTimeInference,8.0,8.205334334741542
2392,RegionB,RealTimeInference,3.0,8.158312889778129
2393,RegionB,RealTimeInference,13.0,8.372166274956014
2394,RegionB,RealTimeInference,17.0,8.561550498765138
2395,RegionB,RealTimeInference,4.0,8.451031102699535
2396,RegionB,RealTimeInference,14.0,7.923423503774588
2397,RegionB,RealTimeInference,7.0,7.933626452778634
2398,RegionB,RealTimeInference,7.0,8.2249277793957
2399,RegionB,RealTimeInference,1.0,8.469086212466909
2376,RegionB,BatchInference,26.0,41.0
2377,RegionB,BatchInference,4.0,18.0
2378,RegionB,BatchInference,18.0,13.0
2379,RegionB,BatchInference,15.0,29.0
2380,RegionB,BatchInference,19.0,8.0
2381,RegionB,BatchInference,4.0,5.0
2382,RegionB,BatchInference,8.0,26.0
2383,RegionB,BatchInference,33.0,57.0
2384,RegionB,BatchInference,0.0,0.0
2385,RegionB,BatchInference,33.0,49.0
2386,RegionB,BatchInference,51.0,15.0
2387,RegionB,BatchInference,33.0,13.0
2388,RegionB,BatchInference,10.0,20.0
2389,RegionB,BatchInference,13.0,13.0
2390,RegionB,BatchInference,30.0,0.0
2391,RegionB,BatchInference,29.0,16.0
2392,RegionB,BatchInference,8.0,0.0
2393,RegionB,BatchInference,0.0,15.0
2394,RegionB,BatchInference,61.0,8.0
2395,RegionB,BatchInference,0.0,0.0
2396,RegionB,BatchInference,17.0,5.0
2397,RegionB,BatchInference,19.0,0.0
2398,RegionB,BatchInference,21.0,10.0
2399,RegionB,BatchInference,75.0,20.0
2376,RegionB,AITraining,0.0,0.0
2377,RegionB,AITraining,0.0,1.750699851754689e-07
2378,RegionB,AITraining,0.0,2.726555798915342e-07
2379,RegionB,AITraining,0.0,0.0
2380,RegionB,AITraining,142.0,0.0
2381,RegionB,AITraining,71.0,6.291147620629545e-07
