Hour,Region,TaskType,Prediction_GPU,Actual_GPU
2376,RegionA,RealTimeInference,8.714706428471436,3.0
2377,RegionA,RealTimeInference,9.016690210614506,20.0
2378,RegionA,RealTimeInference,8.88121010012433,8.0
2379,RegionA,RealTimeInference,8.705771899808756,5.0
2380,RegionA,RealTimeInference,8.74158842971846,0.0
2381,RegionA,RealTimeInference,8.610597522045053,7.0
2382,RegionA,RealTimeInference,8.497831281762975,1.0
2383,RegionA,RealTimeInference,8.568423500036012,17.0
2384,RegionA,RealTimeInference,8.69967434129452,12.0
2385,RegionA,RealTimeInference,8.527819894908804,5.0
2386,RegionA,RealTimeInference,8.728721178906836,6.0
2387,RegionA,RealTimeInference,8.706165691721992,11.0
2388,RegionA,RealTimeInference,8.616005555805868,15.0
2389,RegionA,RealTimeInference,8.86271643576313,14.0
2390,RegionA,RealTimeInference,8.949347776066938,0.0
2391,RegionA,RealTimeInference,8.771610379005315,8.0
2392,RegionA,RealTimeInference,9.08804635325158,6.0
2393,RegionA,RealTimeInference,9.228060582647103,19.0
2394,RegionA,RealTimeInference,8.998817773181623,4.0
2395,RegionA,RealTimeInference,9.030254790781008,12.0
2396,RegionA,RealTimeInference,9.177515767477257,16.0
2397,RegionA,RealTimeInference,9.501091686384173,0.0
2398,RegionA,RealTimeInference,9.09783768077081,15.0
2399,RegionA,RealTimeInference,9.36059966332795,4.0
2376,RegionA,BatchInference,18.01048948598737,11.0
2377,RegionA,BatchInference,16.65247052742095,35.0
2378,RegionA,BatchInference,17.064422180130222,0.0
2379,RegionA,BatchInference,15.299473545659398,38.0
2380,RegionA,BatchInference,16.278407295154786,0.0
2381,RegionA,BatchInference,16.233048615395678,43.0
2382,RegionA,BatchInference,16.422196005999577,19.0
2383,RegionA,BatchInference,15.751258363992301,25.0
2384,RegionA,BatchInference,15.89390612444919,0.0
2385,RegionA,BatchInference,15.231974234822772,0.0
2386,RegionA,BatchInference,15.445416823623889,15.0
2387,RegionA,BatchInference,15.522053834752503,16.0
2388,RegionA,BatchInference,15.640181584233991,85.0
2389,RegionA,BatchInference,17.640196447391755,21.0
2390,RegionA,BatchInference,15.522079811907144,16.0
2391,RegionA,BatchInference,15.548061251008964,34.0
2392,RegionA,BatchInference,17.023814217860824,53.0
2393,RegionA,BatchInference,17.227492828948048,15.0
2394,RegionA,BatchInference,16.382840977280182,16.0
2395,RegionA,BatchInference,16.349808706427822,19.0
2396,RegionA,BatchInference,17.399532713825224,6.0
2397,RegionA,BatchInference,16.256631660746983,46.0
2398,RegionA,BatchInference,17.452854953839914,0.0
2399,RegionA,BatchInference,15.997776526321955,0.0
2376,RegionA,AITraining,7.243147952956403e-06,0.0
