Region,TaskType,period_h,acf_strength,status
RegionA,RealTimeInference,-1,0.0,period_unidentifiable
RegionA,BatchInference,-1,0.0,period_unidentifiable
RegionA,AITraining,-1,0.0,period_unidentifiable
RegionB,RealTimeInference,-1,0.0,period_unidentifiable
RegionB,BatchInference,-1,0.0,period_unidentifiable
RegionB,AITraining,-1,0.0,period_unidentifiable
RegionC,RealTimeInference,-1,0.0,period_unidentifiable
RegionC,BatchInference,-1,0.0,period_unidentifiable
RegionC,AITraining,-1,0.0,period_unidentifiable
RegionD,RealTimeInference,-1,0.0,period_unidentifiable
RegionD,BatchInference,-1,0.0,period_unidentifiable
RegionD,AITraining,-1,0.0,period_unidentifiable
RegionE,RealTimeInference,-1,0.0,period_unidentifiable
RegionE,BatchInference,-1,0.0,period_unidentifiable
RegionE,AITraining,-1,0.0,period_unidentifiable
RegionF,RealTimeInference,-1,0.0,period_unidentifiable
RegionF,BatchInference,-1,0.0,period_unidentifiable
RegionF,AITraining,-1,0.0,period_unidentifiable
