Region,Hour,FacilityLoad_MW,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,GridCharge_MW,ChargePower_MW,DischargePower_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW
RegionA,0,499.14900045,540.19,499.14900045,0.0,0.0,0.0,0.0,0.0,0.0,41.04099955000004,0.0
RegionA,1,535.4235,587.87,535.4235,0.0,0.0,0.0,0.0,0.0,0.0,52.446500000000015,0.0
RegionA,2,544.32,650.0,544.32,0.0,0.0,0.0,0.0,0.0,0.0,105.67999999999995,0.0
RegionA,3,544.32,722.35,544.32,0.0,0.0,0.0,0.0,0.0,0.0,178.02999999999997,0.0
RegionA,4,544.31999955,800.0,544.31999955,0.0,0.0,0.0,0.0,0.0,0.0,255.68000044999997,0.0
RegionA,5,544.32,877.65,544.32,0.0,0.0,0.0,0.0,0.0,0.0,333.3299999999999,0.0
RegionA,6,544.3200004500001,950.0,544.3200004500001,0.0,0.0,0.0,0.0,0.0,0.0,405.67999954999993,0.0
RegionA,7,544.3200004500001,1012.13,544.3200004500001,0.0,0.0,0.0,0.0,0.0,0.0,467.80999954999993,0.0
RegionA,8,544.32,1059.81,544.32,0.0,0.0,0.0,0.0,0.0,0.0,515.4899999999999,0.0
RegionA,9,544.31999955,1089.78,544.31999955,0.0,0.0,0.0,0.0,0.0,0.0,545.4600004499999,0.0
RegionA,10,531.71100045,1100.0,531.71100045,0.0,0.0,0.0,0.0,0.0,0.0,568.28899955,0.0
RegionA,11,506.1015,1089.78,506.1015,0.0,0.0,0.0,0.0,0.0,0.0,583.6785,0.0
RegionA,12,466.47899954999997,1059.81,466.47899954999997,0.0,0.0,0.0,0.0,0.0,0.0,593.3310004499999,0.0
RegionA,13,443.66670000000005,1012.13,443.66670000000005,0.0,0.0,0.0,0.0,0.0,0.0,568.4632999999999,0.0
RegionA,14,423.08729955,950.0,423.08729955,0.0,0.0,0.0,0.0,0.0,0.0,526.91270045,0.0
RegionA,15,379.06649999999996,877.65,379.06649999999996,0.0,0.0,0.0,0.0,0.0,0.0,498.5835,0.0
RegionA,16,334.04399955,800.0,334.04399955,0.0,0.0,0.0,0.0,0.0,0.0,465.95600045,0.0
RegionA,17,316.91249955,722.35,316.91249955,0.0,0.0,0.0,0.0,0.0,0.0,405.43750045,0.0
RegionA,18,299.44349955,650.0,299.44349955,0.0,0.0,0.0,0.0,0.0,0.0,350.55650045,0.0
RegionA,19,386.49149954999996,587.87,386.49149954999996,0.0,0.0,0.0,0.0,0.0,0.0,201.37850045000005,0.0
RegionA,20,330.88499955,540.19,330.88499955,0.0,0.0,0.0,0.0,0.0,0.0,209.30500045000008,0.0
RegionA,21,376.12350000000004,510.22,376.12350000000004,0.0,0.0,0.0,0.0,0.0,0.0,134.0965,0.0
