Region,Hour,FacilityLoad_MW,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,GridCharge_MW,ChargePower_MW,DischargePower_MW,GridPurchase_MW,GridSell_MW,Curtailment_MW,NetGridImport_MW,SOC_MWh,Price_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh
RegionA,0,499.14900044995505,540.19,499.14900044995505,41.040999550045,0.0,41.040999550045,0.0,0.0,0.0,0.0,0.0,195.66812958154185,468.0,0.6679
RegionA,1,535.4235,587.87,535.4235,52.446500000000015,0.0,52.446500000000015,0.0,0.0,0.0,0.0,0.0,244.44337458154186,468.31,0.6703
RegionA,2,544.32,650.0,544.32,100.0,0.0,100.0,0.0,0.0,0.0,5.67999999999995,0.0,337.4433745815419,468.61,0.6693
RegionA,3,544.32,722.35,544.32,13.501747761782914,0.0,13.501747761782914,0.0,0.0,0.0,164.52825223821705,0.0,350.0,468.91,0.665
RegionA,4,544.319999550045,800.0,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,255.68000044995495,0.0,350.0,469.22,0.6578
RegionA,5,544.32,877.65,544.32,0.0,0.0,0.0,0.0,0.0,0.0,333.3299999999999,0.0,350.0,469.52,0.6483
RegionA,6,544.320000449955,950.0,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,405.67999955004495,0.0,350.0,469.82,0.637
RegionA,7,544.320000449955,1012.13,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,467.80999955004495,0.0,350.0,723.26,0.6248
RegionA,8,544.32,1059.81,544.32,0.0,0.0,0.0,0.0,0.0,0.0,515.4899999999999,0.0,350.0,723.71,0.6126
RegionA,9,544.319999550045,1089.78,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,545.4600004499549,0.0,350.0,724.16,0.6013
RegionA,10,531.7110004499551,1100.0,531.7110004499551,0.0,0.0,0.0,0.0,0.0,0.0,568.2889995500449,0.0,350.0,724.61,0.5917
RegionA,11,506.1015,1089.78,506.1015,0.0,0.0,0.0,0.0,0.0,0.0,583.6785,0.0,350.0,725.04,0.5845
RegionA,12,466.47899955004505,1059.81,466.47899955004505,0.0,0.0,0.0,0.0,0.0,0.0,593.3310004499549,0.0,350.0,725.48,0.5802
RegionA,13,443.66670000000005,1012.13,443.66670000000005,0.0,0.0,0.0,0.0,0.0,0.0,568.4632999999999,0.0,350.0,725.9,0.5791
RegionA,14,423.08729955004503,950.0,423.08729955004503,0.0,0.0,0.0,0.0,0.0,0.0,526.912700449955,0.0,350.0,726.32,0.5814
RegionA,15,379.06649999999996,877.65,379.06649999999996,0.0,0.0,0.0,0.0,0.0,0.0,498.5835,0.0,350.0,726.74,0.5869
RegionA,16,334.04399955004504,800.0,334.04399955004504,0.0,0.0,0.0,0.0,0.0,0.0,465.95600044995496,0.0,350.0,727.14,0.5954
RegionA,17,316.91249955004497,722.35,316.91249955004497,0.0,0.0,0.0,0.0,0.0,0.0,405.43750044995505,0.0,350.0,1054.92,0.6062
RegionA,18,299.443499550045,650.0,299.443499550045,0.0,0.0,0.0,0.0,0.0,0.0,350.556500449955,0.0,350.0,1055.49,0.6188
RegionA,19,386.49149955004503,587.87,386.49149955004503,0.0,0.0,0.0,0.0,0.0,0.0,201.37850044995497,0.0,350.0,1056.03,0.6321
RegionA,20,330.884999550045,540.19,330.884999550045,0.0,0.0,0.0,0.0,0.0,0.0,209.30500044995506,0.0,350.0,1056.56,0.6455
RegionA,21,376.12350000000004,510.22,376.12350000000004,0.0,0.0,0.0,0.0,0.0,0.0,134.0965,0.0,350.0,1057.08,0.658
RegionA,22,388.00349955004503,500.0,388.00349955004503,0.0,0.0,0.0,0.0,0.0,0.0,111.99650044995497,0.0,350.0,656.43,0.6687
RegionA,23,408.92849955004505,510.22,408.92849955004505,0.0,0.0,0.0,0.0,0.0,0.0,101.29150044995498,0.0,350.0,656.73,0.6771
RegionA,24,478.15650044995505,540.19,478.15650044995505,0.0,0.0,0.0,0.0,0.0,0.0,62.03349955004501,0.0,350.0,474.52,0.6825
RegionA,25,495.679499550045,587.87,495.679499550045,0.0,0.0,0.0,0.0,0.0,0.0,92.19050044995498,0.0,350.0,474.72,0.6846
RegionA,26,544.320000449955,650.0,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,105.67999955004495,0.0,350.0,474.91,0.6833
RegionA,27,544.32,722.35,544.32,0.0,0.0,0.0,0.0,0.0,0.0,178.02999999999997,0.0,350.0,475.1,0.6787
RegionA,28,544.32,800.0,544.32,0.0,0.0,0.0,0.0,0.0,0.0,255.67999999999995,0.0,350.0,475.28,0.6712
RegionA,29,544.319999550045,877.65,544.319999550045,0.0,0.0,0.0,0.0,0.0,0.0,333.3300004499549,0.0,350.0,475.45,0.6612
RegionA,30,544.320000449955,950.0,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,405.67999955004495,0.0,350.0,475.61,0.6496
RegionA,31,544.3199995500449,1012.13,544.3199995500449,0.0,0.0,0.0,0.0,0.0,0.0,467.81000044995506,0.0,350.0,731.94,0.637
RegionA,32,544.320000449955,1059.81,544.320000449955,0.0,0.0,0.0,0.0,0.0,0.0,515.4899995500449,0.0,350.0,732.16,0.6245
RegionA,33,544.32,1089.78,544.32,0.0,0.0,0.0,0.0,0.0,0.0,545.4599999999999,0.0,350.0,732.37,0.6128
RegionA,34,535.612499550045,1100.0,535.612499550045,0.0,0.0,0.0,0.0,0.0,0.0,564.387500449955,0.0,350.0,732.56,0.6027
RegionA,35,516.429000449955,1089.78,516.429000449955,0.0,0.0,0.0,0.0,0.0,0.0,573.350999550045,0.0,350.0,732.74,0.595
RegionA,36,464.1975,1059.81,464.1975,0.0,0.0,0.0,0.0,0.0,0.0,595.6125,0.0,350.0,732.9,0.5902
RegionA,37,439.10100044995505,1012.13,439.10100044995505,0.0,0.0,0.0,0.0,0.0,0.0,573.028999550045,0.0,350.0,733.05,0.5887
RegionA,38,422.42040000000003,950.0,422.42040000000003,0.0,0.0,0.0,0.0,0.0,0.0,527.5796,0.0,350.0,733.18,0.5905
RegionA,39,401.130900449955,877.65,401.130900449955,0.0,0.0,0.0,0.0,0.0,0.0,476.519099550045,0.0,350.0,733.3,0.5955
RegionA,40,375.205499550045,800.0,375.205499550045,0.0,0.0,0.0,0.0,0.0,0.0,424.794500449955,0.0,350.0,733.4,0.6035
RegionA,41,328.900500449955,722.35,328.900500449955,0.0,0.0,0.0,0.0,0.0,0.0,393.449499550045,0.0,350.0,1063.56,0.6138
RegionA,42,289.99350044995504,650.0,289.99350044995504,0.0,0.0,0.0,0.0,0.0,0.0,360.00649955004496,0.0,350.0,1063.67,0.6258
RegionA,43,297.324,587.87,297.324,0.0,0.0,0.0,0.0,0.0,0.0,290.546,0.0,350.0,1063.75,0.6386
RegionA,44,346.34250000000003,540.19,346.34250000000003,0.0,0.0,0.0,0.0,0.0,0.0,193.84750000000003,0.0,350.0,1063.82,0.6514
RegionA,45,327.847500449955,510.22,327.847500449955,0.0,0.0,0.0,0.0,0.0,0.0,182.372499550045,0.0,350.0,1063.86,0.6633
RegionA,46,416.92049955004507,500.0,416.92049955004507,0.0,0.0,0.0,0.0,0.0,0.0,83.07950044995493,0.0,350.0,660.34,0.6735
RegionA,47,442.7460000000001,510.22,442.7460000000001,0.0,0.0,0.0,0.0,0.0,0.0,67.47399999999993,0.0,350.0,660.33,0.6812
RegionA,48,472.041000449955,540.19,472.041000449955,0.0,0.0,0.0,0.0,0.0,0.0,68.14899955004506,0.0,350.0,476.9,0.686
RegionA,49,530.401500449955,587.87,530.401500449955,0.0,0.0,0.0,0.0,0.0,0.0,57.46849955004495,0.0,350.0,476.88,0.6876
RegionA,50,544.32,650.0,544.32,0.0,0.0,0.0,0.0,0.0,0.0,105.67999999999995,0.0,350.0,476.85,0.6857
RegionA,51,544.32,722.35,544.32,0.0,0.0,0.0,0.0,0.0,0.0,178.02999999999997,0.0,350.0,476.81,0.6805
