scenario_type,parameter,level,alternation_round,evaluated_candidates,candidate_scores,accepted,incumbent
baseline,baseline,1.0,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
baseline,baseline,1.0,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
carbon_constraint,carbon_reduction,0.0,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
carbon_constraint,carbon_reduction,0.0,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
carbon_constraint,carbon_reduction,0.1,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
carbon_constraint,carbon_reduction,0.1,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
carbon_constraint,carbon_reduction,0.2,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
carbon_constraint,carbon_reduction,0.2,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
carbon_constraint,carbon_reduction,0.3,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
carbon_constraint,carbon_reduction,0.3,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
price_spread,price_scale,0.75,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
price_spread,price_scale,0.75,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
price_spread,price_scale,1.0,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
price_spread,price_scale,1.0,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
price_spread,price_scale,1.25,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
price_spread,price_scale,1.25,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
sell_mechanism,sell_scale,0.0,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
sell_mechanism,sell_scale,0.0,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
sell_mechanism,sell_scale,0.5,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
sell_mechanism,sell_scale,0.5,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
sell_mechanism,sell_scale,1.0,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
sell_mechanism,sell_scale,1.0,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
renewable_level,renewable_scale,0.8,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 3.560188585491267e-05}",False,task_baseline
renewable_level,renewable_scale,0.8,2,"[""task_alternative_2""]","{""task_alternative_2"": 0.00015555055338348616}",False,task_baseline
renewable_level,renewable_scale,1.0,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.403181781442121e-05}",False,task_baseline
renewable_level,renewable_scale,1.0,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.403141782229069e-05}",False,task_baseline
renewable_level,renewable_scale,1.2,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.404721072980798e-05}",False,task_baseline
renewable_level,renewable_scale,1.2,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.404681073767746e-05}",False,task_baseline
renewable_volatility,seed,2026.0,1,"[""task_baseline"", ""task_alternative_1""]","{""task_baseline"": 0.0, ""task_alternative_1"": 4.288586137598712e-05}",False,task_baseline
renewable_volatility,seed,2026.0,2,"[""task_alternative_2""]","{""task_alternative_2"": 6.288546138385661e-05}",False,task_baseline
