Region,Hour,FacilityLoad_MW,RenewableUse_MW,Charge_MW,Discharge_MW,SOC_MWh,GridPurchase_MW,GridSell_MW,Curtailment_MW,GridExportLimit_MW,Price,SellPrice,CarbonIntensity,AvailableRenewable_MW
RegionA,0,499.14900045,499.14900045,41.04099955000004,0.0,195.66812958150004,0.0,0.0,0.0,0.0,468.0,0.0,0.6679,540.19
RegionA,1,535.4235,535.4235,52.446500000000015,0.0,244.44337458150005,0.0,0.0,0.0,0.0,468.31,0.0,0.6703,587.87
RegionA,2,544.32,544.32,100.0,0.0,337.44337458150005,0.0,0.0,5.67999999999995,0.0,468.61,0.0,0.6693,650.0
RegionA,3,544.32,544.32,13.5017477618279,0.0,350.0,0.0,0.0,164.52825223817206,0.0,468.91,0.0,0.665,722.35
RegionA,4,544.31999955,544.31999955,0.0,0.0,350.0,0.0,0.0,255.68000044999997,0.0,469.22,0.0,0.6578,800.0
RegionA,5,544.32,544.32,0.0,0.0,350.0,0.0,0.0,333.3299999999999,0.0,469.52,0.0,0.6483,877.65
RegionA,6,544.3200004500001,544.3200004500001,0.0,0.0,350.0,0.0,0.0,405.67999954999993,0.0,469.82,0.0,0.637,950.0
RegionA,7,544.3200004500001,544.3200004500001,0.0,0.0,350.0,0.0,0.0,467.80999954999993,0.0,723.26,0.0,0.6248,1012.13
RegionA,8,544.32,544.32,0.0,0.0,350.0,0.0,0.0,515.4899999999999,0.0,723.71,0.0,0.6126,1059.81
RegionA,9,544.31999955,544.31999955,0.0,0.0,350.0,0.0,0.0,545.4600004499999,0.0,724.16,0.0,0.6013,1089.78
RegionA,10,531.71100045,531.71100045,0.0,0.0,350.0,0.0,0.0,568.28899955,0.0,724.61,0.0,0.5917,1100.0
RegionA,11,506.1015,506.1015,0.0,0.0,350.0,0.0,0.0,583.6785,0.0,725.04,0.0,0.5845,1089.78
RegionA,12,466.47899954999997,466.47899954999997,0.0,0.0,350.0,0.0,0.0,593.3310004499999,0.0,725.48,0.0,0.5802,1059.81
RegionA,13,443.66670000000005,443.66670000000005,0.0,0.0,350.0,0.0,0.0,568.4632999999999,0.0,725.9,0.0,0.5791,1012.13
RegionA,14,423.08729955,423.08729955,0.0,0.0,350.0,0.0,0.0,526.91270045,0.0,726.32,0.0,0.5814,950.0
RegionA,15,379.06649999999996,379.06649999999996,0.0,0.0,350.0,0.0,0.0,498.5835,0.0,726.74,0.0,0.5869,877.65
RegionA,16,334.04399955,334.04399955,0.0,0.0,350.0,0.0,0.0,465.95600045,0.0,727.14,0.0,0.5954,800.0
RegionA,17,316.91249955,316.91249955,0.0,0.0,350.0,0.0,0.0,405.43750045,0.0,1054.92,0.0,0.6062,722.35
RegionA,18,299.44349955,299.44349955,0.0,0.0,350.0,0.0,0.0,350.55650045,0.0,1055.49,0.0,0.6188,650.0
RegionA,19,386.49149954999996,386.49149954999996,0.0,0.0,350.0,0.0,0.0,201.37850045000005,0.0,1056.03,0.0,0.6321,587.87
RegionA,20,330.88499955,330.88499955,0.0,0.0,350.0,0.0,0.0,209.30500045000008,0.0,1056.56,0.0,0.6455,540.19
RegionA,21,376.12350000000004,376.12350000000004,0.0,0.0,350.0,0.0,0.0,134.0965,0.0,1057.08,0.0,0.658,510.22
RegionA,22,388.00349954999996,388.00349954999996,0.0,0.0,350.0,0.0,0.0,111.99650045000004,0.0,656.43,0.0,0.6687,500.0
RegionA,23,408.92849954999997,408.92849954999997,0.0,0.0,350.0,0.0,0.0,101.29150045000006,0.0,656.73,0.0,0.6771,510.22
RegionA,24,478.15650045,478.15650045,0.0,0.0,350.0,0.0,0.0,62.033499550000045,0.0,474.52,0.0,0.6825,540.19
RegionA,25,495.67949955000006,495.67949955000006,0.0,0.0,350.0,0.0,0.0,92.19050044999994,0.0,474.72,0.0,0.6846,587.87
RegionA,26,544.3200004500001,544.3200004500001,0.0,0.0,350.0,0.0,0.0,105.67999954999993,0.0,474.91,0.0,0.6833,650.0
