Region,Hour,SOC_MWh
RegionA,0,195.66812958150004
RegionA,1,244.44337458150005
RegionA,2,337.44337458150005
RegionA,3,350.0
RegionA,4,350.0
RegionA,5,350.0
RegionA,6,350.0
RegionA,7,350.0
RegionA,8,350.0
RegionA,9,350.0
RegionA,10,350.0
RegionA,11,350.0
RegionA,12,350.0
RegionA,13,350.0
RegionA,14,350.0
RegionA,15,350.0
RegionA,16,350.0
RegionA,17,350.0
RegionA,18,350.0
RegionA,19,350.0
RegionA,20,350.0
RegionA,21,350.0
RegionA,22,350.0
RegionA,23,350.0
RegionA,24,350.0
RegionA,25,350.0
RegionA,26,350.0
RegionA,27,350.0
RegionA,28,350.0
RegionA,29,350.0
RegionA,30,350.0
RegionA,31,350.0
RegionA,32,350.0
RegionA,33,350.0
RegionA,34,350.0
RegionA,35,350.0
RegionA,36,350.0
RegionA,37,350.0
RegionA,38,350.0
RegionA,39,350.0
RegionA,40,350.0
RegionA,41,350.0
RegionA,42,350.0
RegionA,43,350.0
RegionA,44,350.0
RegionA,45,350.0
RegionA,46,350.0
RegionA,47,350.0
RegionA,48,350.0
RegionA,49,350.0
RegionA,50,350.0
RegionA,51,350.0
RegionA,52,350.0
RegionA,53,350.0
RegionA,54,350.0
RegionA,55,350.0
RegionA,56,350.0
RegionA,57,350.0
RegionA,58,350.0
RegionA,59,350.0
RegionA,60,350.0
RegionA,61,350.0
RegionA,62,350.0
RegionA,63,350.0
RegionA,64,350.0
RegionA,65,350.0
RegionA,66,350.0
RegionA,67,350.0
RegionA,68,350.0
RegionA,69,350.0
RegionA,70,350.0
RegionA,71,350.0
RegionA,72,350.0
RegionA,73,350.0
RegionA,74,350.0
RegionA,75,350.0
RegionA,76,350.0
RegionA,77,350.0
RegionA,78,350.0
RegionA,79,350.0
RegionA,80,350.0
RegionA,81,350.0
RegionA,82,350.0
RegionA,83,350.0
RegionA,84,350.0
RegionA,85,350.0
RegionA,86,350.0
RegionA,87,350.0
RegionA,88,350.0
RegionA,89,350.0
RegionA,90,350.0
RegionA,91,350.0
RegionA,92,350.0
RegionA,93,350.0
RegionA,94,350.0
RegionA,95,350.0
RegionA,96,350.0
RegionA,97,350.0
RegionA,98,350.0
RegionA,99,350.0
RegionA,100,350.0
RegionA,101,350.0
RegionA,102,350.0
RegionA,103,350.0
RegionA,104,350.0
RegionA,105,350.0
RegionA,106,350.0
RegionA,107,350.0
RegionA,108,350.0
RegionA,109,350.0
RegionA,110,350.0
RegionA,111,350.0
RegionA,112,350.0
RegionA,113,350.0
RegionA,114,350.0
RegionA,115,350.0
RegionA,116,350.0
RegionA,117,350.0
RegionA,118,350.0
RegionA,119,350.0
RegionA,120,350.0
RegionA,121,350.0
RegionA,122,350.0
RegionA,123,350.0
RegionA,124,350.0
RegionA,125,350.0
RegionA,126,350.0
RegionA,127,350.0
RegionA,128,350.0
RegionA,129,350.0
RegionA,130,350.0
RegionA,131,350.0
RegionA,132,350.0
RegionA,133,350.0
RegionA,134,350.0
