Hour,RegionA,RegionB,RegionC,RegionD,RegionE,RegionF
0,50.75,46.4,43.5,211.5,303.4,276.25
1,35.0,32.0,30.0,130.5,192.7,199.75
2,35.0,32.0,30.0,90.0,118.9,123.25
3,35.0,32.0,30.0,90.0,82.0,85.0
4,35.0,32.0,30.0,90.0,82.0,85.0
5,35.0,32.0,30.0,90.0,82.0,85.0
6,35.0,32.0,30.0,90.0,82.0,85.0
7,35.0,32.0,30.0,90.0,82.0,85.0
8,35.0,32.0,30.0,90.0,82.0,85.0
9,35.0,32.0,30.0,90.0,82.0,85.0
10,35.0,32.0,30.0,90.0,82.0,85.0
11,35.0,32.0,30.0,90.0,82.0,85.0
12,35.0,32.0,30.0,90.0,82.0,85.0
13,35.0,32.0,30.0,90.0,82.0,85.0
14,35.0,32.0,30.0,90.0,82.0,85.0
15,35.0,32.0,30.0,90.0,266.5,276.25
16,35.0,32.0,30.0,211.5,487.9,505.75
17,35.0,32.0,30.0,405.0,635.5,658.75
18,35.0,32.0,30.0,576.0,783.1,735.25
19,35.0,32.0,30.0,657.0,820.0,811.75
20,35.0,32.0,30.0,697.5,820.0,811.75
21,35.0,32.0,30.0,697.5,783.1,773.5
22,35.0,32.0,30.0,657.0,672.4,658.75
23,35.0,32.0,30.0,535.5,524.8,544.0
24,35.0,32.0,30.0,405.0,414.09999999999997,391.0
25,35.0,32.0,30.0,252.0,266.5,276.25
26,35.0,32.0,30.0,130.5,155.8,161.5
27,35.0,32.0,30.0,90.0,82.0,85.0
28,35.0,32.0,30.0,90.0,82.0,85.0
29,35.0,32.0,30.0,90.0,82.0,85.0
30,35.0,32.0,30.0,90.0,82.0,85.0
31,35.0,32.0,30.0,90.0,82.0,85.0
32,35.0,32.0,30.0,90.0,82.0,85.0
33,35.0,32.0,30.0,90.0,82.0,85.0
34,35.0,32.0,30.0,90.0,82.0,85.0
35,35.0,32.0,30.0,90.0,82.0,85.0
36,35.0,32.0,30.0,90.0,82.0,85.0
37,35.0,32.0,30.0,90.0,82.0,85.0
38,35.0,32.0,30.0,90.0,82.0,85.0
39,35.0,32.0,30.0,90.0,155.8,238.0
40,35.0,32.0,30.0,252.0,377.2,467.5
41,35.0,32.0,30.0,454.5,598.6,620.5
42,35.0,32.0,30.0,616.5,709.3,735.25
43,35.0,32.0,30.0,697.5,783.1,811.75
44,35.0,32.0,30.0,738.0,783.1,850.0
45,35.0,32.0,30.0,697.5,709.3,773.5
46,35.0,32.0,30.0,616.5,561.7,658.75
47,35.0,32.0,30.0,495.0,451.0,582.25
48,35.0,32.0,30.0,373.5,303.4,391.0
49,35.0,32.0,30.0,252.0,192.7,276.25
50,35.0,32.0,30.0,171.0,118.9,161.5
51,35.0,32.0,30.0,90.0,82.0,85.0
52,35.0,32.0,30.0,90.0,82.0,85.0
53,35.0,32.0,30.0,90.0,82.0,85.0
54,35.0,32.0,30.0,90.0,82.0,85.0
55,35.0,32.0,30.0,90.0,82.0,85.0
56,35.0,32.0,30.0,90.0,82.0,85.0
57,35.0,32.0,30.0,90.0,82.0,85.0
58,35.0,32.0,30.0,90.0,82.0,85.0
59,35.0,32.0,30.0,90.0,82.0,85.0
60,35.0,32.0,30.0,90.0,82.0,85.0
61,35.0,32.0,30.0,90.0,82.0,85.0
62,35.0,32.0,30.0,90.0,82.0,85.0
63,35.0,32.0,30.0,90.0,155.8,314.5
64,35.0,32.0,30.0,171.0,370.0,505.75
65,35.0,32.0,30.0,373.5,561.7,697.0
66,35.0,32.0,30.0,535.5,672.4,811.75
67,35.0,32.0,30.0,657.0,709.3,850.0
68,35.0,32.0,30.0,657.0,709.3,850.0
69,35.0,32.0,30.0,616.5,635.5,773.5
70,35.0,32.0,30.0,535.5,561.7,697.0
71,35.0,32.0,30.0,405.0,451.0,582.25
72,35.0,32.0,30.0,292.5,340.3,429.25
73,35.0,32.0,30.0,171.0,192.7,276.25
74,35.0,32.0,30.0,90.0,118.9,123.25
75,35.0,32.0,30.0,90.0,82.0,85.0
76,35.0,32.0,30.0,90.0,82.0,85.0
77,35.0,32.0,30.0,90.0,82.0,85.0
78,35.0,32.0,30.0,90.0,82.0,85.0
79,35.0,32.0,30.0,90.0,82.0,85.0
80,35.0,32.0,30.0,90.0,82.0,85.0
81,35.0,32.0,30.0,90.0,82.0,85.0
82,35.0,32.0,30.0,90.0,82.0,85.0
83,35.0,32.0,30.0,90.0,82.0,85.0
84,35.0,32.0,30.0,90.0,82.0,85.0
85,35.0,32.0,30.0,90.0,82.0,85.0
86,35.0,32.0,30.0,90.0,82.0,85.0
87,35.0,32.0,30.0,90.0,266.5,238.0
88,35.0,32.0,30.0,90.0,487.9,467.5
89,35.0,32.0,30.0,292.5,635.5,658.75
90,35.0,32.0,30.0,454.5,746.1999999999999,773.5
91,35.0,32.0,30.0,535.5,820.0,850.0
92,35.0,32.0,30.0,535.5,820.0,850.0
93,35.0,32.0,30.0,535.5,746.1999999999999,773.5
94,35.0,32.0,30.0,454.5,672.4,697.0
95,35.0,32.0,30.0,373.5,561.7,544.0
96,35.0,32.0,30.0,292.5,451.0,391.0
97,35.0,32.0,30.0,211.5,303.4,276.25
98,35.0,32.0,30.0,130.5,155.8,161.5
99,35.0,32.0,30.0,90.0,82.0,85.0
100,35.0,32.0,30.0,90.0,82.0,85.0
101,35.0,32.0,30.0,90.0,82.0,85.0
102,35.0,32.0,30.0,90.0,82.0,85.0
103,35.0,32.0,30.0,90.0,82.0,85.0
104,35.0,32.0,30.0,90.0,82.0,85.0
105,35.0,32.0,30.0,90.0,82.0,85.0
106,35.0,32.0,30.0,90.0,82.0,85.0
107,35.0,32.0,30.0,90.0,82.0,85.0
108,35.0,32.0,30.0,90.0,82.0,85.0
109,35.0,32.0,30.0,90.0,82.0,85.0
110,35.0,32.0,30.0,90.0,82.0,123.25
111,35.0,32.0,30.0,90.0,118.9,352.75
112,35.0,32.0,30.0,90.0,340.3,582.25
113,35.0,32.0,30.0,130.5,561.7,735.25
114,35.0,32.0,30.0,252.0,672.4,811.75
115,35.0,32.0,30.0,333.0,709.3,850.0
116,35.0,32.0,30.0,373.5,709.3,850.0
117,35.0,32.0,30.0,373.5,635.5,811.75
118,35.0,32.0,30.0,333.0,487.9,735.25
119,35.0,32.0,30.0,292.5,370.0,582.25
120,35.0,32.0,30.0,211.5,229.6,467.5
121,35.0,32.0,30.0,90.0,118.9,314.5
122,35.0,32.0,30.0,90.0,82.0,238.0
123,35.0,32.0,30.0,90.0,82.0,123.25
124,35.0,32.0,30.0,90.0,82.0,85.0
125,35.0,32.0,30.0,90.0,82.0,85.0
126,35.0,32.0,30.0,90.0,82.0,85.0
127,35.0,32.0,30.0,90.0,82.0,85.0
128,35.0,32.0,30.0,90.0,82.0,85.0
129,35.0,32.0,30.0,90.0,82.0,85.0
130,35.0,32.0,30.0,90.0,82.0,85.0
131,35.0,32.0,30.0,90.0,82.0,85.0
132,35.0,32.0,30.0,90.0,82.0,85.0
133,35.0,32.0,30.0,90.0,82.0,85.0
134,35.0,32.0,30.0,90.0,82.0,85.0
135,35.0,32.0,30.0,90.0,229.6,314.5
136,35.0,32.0,30.0,90.0,451.0,544.0
137,35.0,32.0,30.0,292.5,635.5,697.0
138,35.0,32.0,30.0,454.5,709.3,811.75
139,35.0,32.0,30.0,535.5,746.1999999999999,850.0
140,35.0,32.0,30.0,576.0,746.1999999999999,850.0
141,35.0,32.0,30.0,535.5,709.3,773.5
142,35.0,32.0,30.0,495.0,635.5,658.75
143,35.0,32.0,30.0,373.5,487.9,505.75
144,35.0,32.0,30.0,292.5,340.3,382.5
145,35.0,32.0,30.0,171.0,229.6,276.25
146,35.0,32.0,30.0,90.0,118.9,161.5
147,35.0,32.0,30.0,90.0,82.0,85.0
148,35.0,32.0,30.0,90.0,82.0,85.0
149,35.0,32.0,30.0,90.0,82.0,85.0
150,35.0,32.0,30.0,90.0,82.0,85.0
151,35.0,32.0,30.0,90.0,82.0,85.0
152,35.0,32.0,30.0,90.0,82.0,85.0
153,35.0,32.0,30.0,90.0,82.0,85.0
154,35.0,32.0,30.0,90.0,82.0,85.0
155,35.0,32.0,30.0,90.0,82.0,85.0
156,35.0,32.0,30.0,90.0,82.0,85.0
157,35.0,32.0,30.0,90.0,82.0,85.0
158,35.0,32.0,30.0,90.0,82.0,85.0
159,35.0,32.0,30.0,90.0,82.0,123.25
160,35.0,32.0,30.0,333.0,266.5,352.75
161,35.0,32.0,30.0,535.5,451.0,544.0
162,35.0,32.0,30.0,697.5,598.6,658.75
163,35.0,32.0,30.0,778.5,672.4,735.25
164,35.0,32.0,30.0,778.5,672.4,697.0
165,35.0,32.0,30.0,738.0,635.5,658.75
166,35.0,32.0,30.0,616.5,561.7,582.25
167,35.0,32.0,30.0,495.0,487.9,467.5
168,35.0,32.0,30.0,373.5,370.0,382.5
169,35.0,32.0,30.0,252.0,266.5,276.25
170,35.0,32.0,30.0,130.5,155.8,161.5
171,35.0,32.0,30.0,90.0,118.9,85.0
172,35.0,32.0,30.0,90.0,82.0,85.0
173,35.0,32.0,30.0,90.0,82.0,85.0
174,35.0,32.0,30.0,90.0,82.0,85.0
175,35.0,32.0,30.0,90.0,82.0,85.0
176,35.0,32.0,30.0,90.0,82.0,85.0
177,35.0,32.0,30.0,90.0,82.0,85.0
178,35.0,32.0,30.0,90.0,82.0,85.0
179,35.0,32.0,30.0,90.0,82.0,85.0
180,35.0,32.0,30.0,90.0,82.0,85.0
181,35.0,32.0,30.0,90.0,82.0,85.0
182,35.0,32.0,30.0,90.0,82.0,85.0
183,35.0,32.0,30.0,90.0,229.6,276.25
184,35.0,32.0,30.0,252.0,451.0,505.75
185,35.0,32.0,30.0,454.5,635.5,697.0
186,35.0,32.0,30.0,576.0,746.1999999999999,811.75
187,35.0,32.0,30.0,657.0,820.0,850.0
188,35.0,32.0,30.0,657.0,783.1,811.75
189,35.0,32.0,30.0,657.0,709.3,773.5
190,35.0,32.0,30.0,616.5,598.6,658.75
191,35.0,32.0,30.0,495.0,451.0,544.0
192,35.0,32.0,30.0,333.0,340.3,382.5
193,35.0,32.0,30.0,211.5,192.7,238.0
194,35.0,32.0,30.0,130.5,82.0,123.25
195,35.0,32.0,30.0,90.0,82.0,85.0
196,35.0,32.0,30.0,90.0,82.0,85.0
197,35.0,32.0,30.0,90.0,82.0,85.0
198,35.0,32.0,30.0,90.0,82.0,85.0
199,35.0,32.0,30.0,90.0,82.0,85.0
200,35.0,32.0,30.0,90.0,82.0,85.0
201,35.0,32.0,30.0,90.0,82.0,85.0
202,35.0,32.0,30.0,90.0,82.0,85.0
203,35.0,32.0,30.0,90.0,82.0,85.0
204,35.0,32.0,30.0,90.0,82.0,85.0
205,35.0,32.0,30.0,90.0,82.0,85.0
206,35.0,32.0,30.0,90.0,82.0,85.0
207,35.0,32.0,30.0,90.0,229.6,314.5
208,35.0,32.0,30.0,333.0,451.0,544.0
209,35.0,32.0,30.0,535.5,635.5,697.0
210,35.0,32.0,30.0,657.0,783.1,811.75
211,35.0,32.0,30.0,738.0,820.0,850.0
212,35.0,32.0,30.0,778.5,820.0,811.75
213,35.0,32.0,30.0,697.5,746.1999999999999,811.75
214,35.0,32.0,30.0,576.0,672.4,697.0
215,35.0,32.0,30.0,454.5,524.8,544.0
216,35.0,32.0,30.0,333.0,370.0,429.25
217,35.0,32.0,30.0,211.5,229.6,314.5
218,35.0,32.0,30.0,130.5,118.9,199.75
219,35.0,32.0,30.0,90.0,82.0,85.0
220,35.0,32.0,30.0,90.0,82.0,85.0
221,35.0,32.0,30.0,90.0,82.0,85.0
222,35.0,32.0,30.0,90.0,82.0,85.0
223,35.0,32.0,30.0,90.0,82.0,85.0
224,35.0,32.0,30.0,90.0,82.0,85.0
225,35.0,32.0,30.0,90.0,82.0,85.0
226,35.0,32.0,30.0,90.0,82.0,85.0
227,35.0,32.0,30.0,90.0,82.0,85.0
228,35.0,32.0,30.0,90.0,82.0,85.0
229,35.0,32.0,30.0,90.0,82.0,85.0
230,35.0,32.0,30.0,90.0,82.0,85.0
231,35.0,32.0,30.0,90.0,192.7,238.0
232,35.0,32.0,30.0,130.5,414.09999999999997,467.5
233,35.0,32.0,30.0,292.5,635.5,658.75
234,35.0,32.0,30.0,414.0,746.1999999999999,773.5
235,35.0,32.0,30.0,495.0,783.1,850.0
236,35.0,32.0,30.0,535.5,820.0,811.75
237,35.0,32.0,30.0,495.0,746.1999999999999,735.25
238,35.0,32.0,30.0,454.5,672.4,658.75
239,35.0,32.0,30.0,373.5,524.8,544.0
240,35.0,32.0,30.0,292.5,370.0,382.5
241,35.0,32.0,30.0,171.0,229.6,238.0
242,35.0,32.0,30.0,90.0,118.9,123.25
243,35.0,32.0,30.0,90.0,82.0,85.0
244,35.0,32.0,30.0,90.0,82.0,85.0
245,35.0,32.0,30.0,90.0,82.0,85.0
246,35.0,32.0,30.0,90.0,82.0,85.0
247,35.0,32.0,30.0,90.0,82.0,85.0
248,35.0,32.0,30.0,90.0,82.0,85.0
249,35.0,32.0,30.0,90.0,82.0,85.0
250,35.0,32.0,30.0,90.0,82.0,85.0
251,35.0,32.0,30.0,90.0,82.0,85.0
252,35.0,32.0,30.0,90.0,82.0,85.0
253,35.0,32.0,30.0,90.0,82.0,85.0
254,35.0,32.0,30.0,90.0,82.0,85.0
255,35.0,32.0,30.0,90.0,229.6,314.5
256,35.0,32.0,30.0,211.5,451.0,544.0
257,35.0,32.0,30.0,405.0,635.5,697.0
258,35.0,32.0,30.0,535.5,746.1999999999999,811.75
259,35.0,32.0,30.0,616.5,820.0,850.0
260,35.0,32.0,30.0,657.0,783.1,850.0
261,35.0,32.0,30.0,657.0,746.1999999999999,773.5
262,35.0,32.0,30.0,576.0,635.5,658.75
263,35.0,32.0,30.0,454.5,487.9,544.0
264,35.0,32.0,30.0,292.5,370.0,429.25
265,35.0,32.0,30.0,211.5,266.5,276.25
266,35.0,32.0,30.0,171.0,155.8,161.5
267,35.0,32.0,30.0,90.0,82.0,85.0
268,35.0,32.0,30.0,90.0,82.0,85.0
269,35.0,32.0,30.0,90.0,82.0,85.0
270,35.0,32.0,30.0,90.0,82.0,85.0
271,35.0,32.0,30.0,90.0,82.0,85.0
272,35.0,32.0,30.0,90.0,82.0,85.0
273,35.0,32.0,30.0,90.0,82.0,85.0
274,35.0,32.0,30.0,90.0,82.0,85.0
275,35.0,32.0,30.0,90.0,82.0,85.0
276,35.0,32.0,30.0,90.0,82.0,85.0
277,35.0,32.0,30.0,90.0,82.0,85.0
278,35.0,32.0,30.0,90.0,82.0,85.0
279,35.0,32.0,30.0,90.0,229.6,276.25
280,35.0,32.0,30.0,171.0,451.0,505.75
281,35.0,32.0,30.0,405.0,635.5,658.75
282,35.0,32.0,30.0,576.0,746.1999999999999,811.75
283,35.0,32.0,30.0,616.5,820.0,850.0
284,35.0,32.0,30.0,616.5,820.0,811.75
285,35.0,32.0,30.0,616.5,783.1,735.25
286,35.0,32.0,30.0,535.5,709.3,658.75
287,35.0,32.0,30.0,405.0,561.7,544.0
288,35.0,32.0,30.0,292.5,414.09999999999997,391.0
289,35.0,32.0,30.0,211.5,303.4,238.0
290,35.0,32.0,30.0,171.0,192.7,161.5
291,35.0,32.0,30.0,90.0,118.9,85.0
292,35.0,32.0,30.0,90.0,82.0,85.0
293,35.0,32.0,30.0,90.0,82.0,85.0
294,35.0,32.0,30.0,90.0,82.0,85.0
295,35.0,32.0,30.0,90.0,82.0,85.0
296,35.0,32.0,30.0,90.0,82.0,85.0
297,35.0,32.0,30.0,90.0,82.0,85.0
298,35.0,32.0,30.0,90.0,82.0,85.0
299,35.0,32.0,30.0,90.0,82.0,85.0
300,35.0,32.0,30.0,90.0,82.0,85.0
301,35.0,32.0,30.0,90.0,82.0,85.0
302,35.0,32.0,30.0,90.0,82.0,123.25
303,35.0,32.0,30.0,90.0,303.4,352.75
304,35.0,32.0,30.0,90.0,524.8,544.0
305,35.0,32.0,30.0,252.0,672.4,697.0
306,35.0,32.0,30.0,414.0,783.1,811.75
307,35.0,32.0,30.0,535.5,820.0,850.0
308,35.0,32.0,30.0,535.5,820.0,850.0
309,35.0,32.0,30.0,495.0,746.1999999999999,735.25
310,35.0,32.0,30.0,454.5,635.5,620.5
311,35.0,32.0,30.0,373.5,487.9,467.5
312,35.0,32.0,30.0,252.0,340.3,314.5
313,35.0,32.0,30.0,171.0,192.7,199.75
314,35.0,32.0,30.0,130.5,118.9,123.25
315,35.0,32.0,30.0,90.0,82.0,85.0
316,35.0,32.0,30.0,90.0,82.0,85.0
317,35.0,32.0,30.0,90.0,82.0,85.0
318,35.0,32.0,30.0,90.0,82.0,85.0
319,35.0,32.0,30.0,90.0,82.0,85.0
320,35.0,32.0,30.0,90.0,82.0,85.0
321,35.0,32.0,30.0,90.0,82.0,85.0
322,35.0,32.0,30.0,90.0,82.0,85.0
323,35.0,32.0,30.0,90.0,82.0,85.0
324,35.0,32.0,30.0,90.0,82.0,85.0
