Region,TaskType,GPU_Demand,GPUh
RegionA,AITraining,63070.0,214319.28333333333
RegionA,BatchInference,45066.0,154341.45
RegionA,RealTimeInference,23585.0,79791.71666666666
RegionB,AITraining,62551.0,212294.63333333333
RegionB,BatchInference,44274.0,151260.43333333332
RegionB,RealTimeInference,19989.0,67203.08333333333
RegionC,AITraining,58899.0,198331.96666666667
RegionC,BatchInference,34710.0,117897.36666666667
RegionC,RealTimeInference,17015.0,58704.95
RegionD,AITraining,407683.0,1387122.6833333333
RegionD,BatchInference,45291.0,155177.2
RegionD,RealTimeInference,1993.0,6558.55
RegionE,AITraining,292000.0,978535.1166666667
RegionE,BatchInference,29548.0,100158.33333333333
RegionE,RealTimeInference,2628.0,9054.766666666666
RegionF,AITraining,296143.0,1032935.0333333333
RegionF,BatchInference,27173.0,90263.01666666666
RegionF,RealTimeInference,1996.0,6837.066666666667
