Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AITrainingPower_MW,GPU_Utilization_Percent,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,BaselineCurtailment_MW,IT_Load_MW,Total_Load_MW,BaselineGridPurchase_MW,GridCharge_MW,BaselineGridSell_MW,NetGridImport_MW,CarbonEmission_tCO2,DemandResponseLevel,SOC_MWh,ChargePower_MW,DischargePower_MW,Baseline_AI_IT_Load_MW,NonAI_IT_Load_MW,DataPeriod,AI_IT_Load_MW,FacilityLoad_MW,RenewableUse_MW,OptimizedGridPurchase_MW,GridImportLimit_MW,GridExportLimit_MW,OptimizedGridSell_MW,OptimizedCurtailment_MW
0,RegionA,Valley,468.0,0.0,0.6679,0.0,3.07672,540.19,59.8979,55.0,425.2921,369.74,499.149,457.2511,18.0,0.0,457.2511,305.398,Medium,225.39,73.0,0.0,1.7583333333,367.981667,Main_0_2399,1.7583333333333333,499.14900045,499.14900045,0.0,550.0,0.0,0.0,41.04099955000004
1,RegionA,Valley,468.31,0.0,0.6703,0.0,6.031746,587.87,64.2508,55.0,468.6192,396.61,535.4235,489.1727,18.0,0.0,489.1727,327.8924,Medium,293.28,73.0,0.0,3.58,393.03,Main_0_2399,3.58,535.4235,535.4235,0.0,550.0,0.0,0.0,52.446500000000015
2,RegionA,Valley,468.61,0.0,0.6693,0.0,12.849206,650.0,65.3184,42.9892,541.6924,403.2,544.32,497.0016,18.0,0.0,497.0016,332.6432,Medium,350.0,60.9892,0.0,7.536,395.664,Main_0_2399,7.536,544.32,544.32,0.0,550.0,0.0,0.0,105.67999999999995
3,RegionA,Valley,468.91,0.0,0.665,0.0,18.849206,722.35,65.3184,0.0,657.0316,403.2,544.32,479.0016,0.0,0.0,479.0016,318.5361,Medium,350.0,0.0,0.0,10.915,392.285,Main_0_2399,10.915000000000001,544.32,544.32,0.0,550.0,0.0,0.0,178.02999999999997
4,RegionA,Valley,469.22,0.0,0.6578,0.0,21.931217,800.0,65.3184,0.0,734.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,315.0873,Medium,350.0,0.0,0.0,12.6466666667,390.553333,Main_0_2399,12.646666666666668,544.31999955,544.31999955,0.0,550.0,0.0,0.0,255.68000044999997
5,RegionA,Valley,469.52,0.0,0.6483,0.0,22.714286,877.65,65.3184,0.0,812.3316,403.2,544.32,479.0016,0.0,0.0,479.0016,310.5367,Medium,350.0,0.0,0.0,13.01,390.19,Main_0_2399,13.010000000000003,544.32,544.32,0.0,550.0,0.0,0.0,333.3299999999999
6,RegionA,Valley,469.82,0.0,0.637,0.0,18.843915,950.0,65.3184,0.0,884.6816,403.2,544.32,479.0016,0.0,0.0,479.0016,305.124,Medium,350.0,0.0,0.0,10.7173333333,392.482667,Main_0_2399,10.717333333333334,544.3200004500001,544.3200004500001,0.0,550.0,0.0,0.0,405.67999954999993
7,RegionA,Flat,723.26,0.0,0.6248,2.88,18.470899,1012.13,65.3184,0.0,946.8116,403.2,544.32,479.0016,0.0,0.0,479.0016,299.2802,Medium,350.0,0.0,0.0,11.8893333333,391.310667,Main_0_2399,11.889333333333333,544.3200004500001,544.3200004500001,0.0,550.0,0.0,0.0,467.80999954999993
8,RegionA,Flat,723.71,0.0,0.6126,15.68,28.690476,1059.81,65.3184,0.0,994.4916,403.2,544.32,479.0016,0.0,0.0,479.0016,293.4364,Medium,350.0,0.0,0.0,23.38,379.82,Main_0_2399,23.38,544.32,544.32,0.0,550.0,0.0,0.0,515.4899999999999
9,RegionA,Flat,724.16,0.0,0.6013,15.68,25.07672,1089.78,69.5448,0.0,1020.2352,403.2,544.32,474.7752,0.0,0.0,474.7752,285.4823,Medium,350.0,0.0,0.0,21.2886666667,381.911333,Main_0_2399,21.288666666666668,544.31999955,544.31999955,0.0,550.0,0.0,0.0,545.4600004499999
10,RegionA,Flat,724.61,0.0,0.5917,15.68,22.010582,1100.0,71.781,0.0,1028.219,393.86,531.711,459.93,0.0,0.0,459.93,272.1406,Medium,350.0,0.0,0.0,19.4433333333,374.416667,Main_0_2399,19.44333333333333,531.71100045,531.71100045,0.0,550.0,0.0,0.0,568.28899955
11,RegionA,Flat,725.04,0.0,0.5845,12.992,23.365079,1089.78,71.4682,0.0,1018.3118,374.89,506.1015,434.6333,0.0,0.0,434.6333,254.0432,Medium,350.0,0.0,0.0,19.032,355.858,Main_0_2399,19.032000000000004,506.1015,506.1015,0.0,550.0,0.0,0.0,583.6785
12,RegionA,Flat,725.48,0.0,0.5802,7.68,18.571429,1059.81,68.097,0.0,991.713,345.54,466.479,398.382,0.0,0.0,398.382,231.1413,Medium,350.0,0.0,0.0,13.9926666667,331.547333,Main_0_2399,13.992666666666663,466.47899954999997,466.47899954999997,0.0,550.0,0.0,0.0,593.3310004499999
13,RegionA,Flat,725.9,0.0,0.5791,4.56,18.301587,1012.13,66.0965,0.0,946.0335,328.642,443.6667,377.5702,0.0,0.0,377.5702,218.6509,Low,350.0,0.0,0.0,12.84,315.802,Main_0_2399,12.839999999999996,443.66670000000005,443.66670000000005,0.0,550.0,0.0,0.0,568.4632999999999
14,RegionA,Flat,726.32,0.0,0.5814,0.0,12.203704,950.0,63.4631,0.0,886.5369,313.398,423.0873,359.6242,0.0,0.0,359.6242,209.0855,Low,350.0,0.0,0.0,7.1586666667,306.239333,Main_0_2399,7.158666666666668,423.08729955,423.08729955,0.0,550.0,0.0,0.0,526.91270045
15,RegionA,Flat,726.74,0.0,0.5869,0.0,11.404762,877.65,56.4725,0.0,821.1775,280.79,379.0665,322.594,0.0,0.0,322.594,189.3304,Low,350.0,0.0,0.0,6.628,274.162,Main_0_2399,6.628,379.06649999999996,379.06649999999996,0.0,550.0,0.0,0.0,498.5835
