Region,Hour,FacilityLoad_MW,RenewableUse_MW,Charge_MW,Discharge_MW,SOC_MWh,GridPurchase_MW,GridSell_MW,Curtailment_MW,GridExportLimit_MW,Price,SellPrice,CarbonIntensity,AvailableRenewable_MW
RegionA,0,499.14900044995505,499.14900044995505,0.0,98.21000000000001,50.75,0.0,0.0,139.250999550045,0.0,468.0,0.0,0.6679,540.19
RegionA,1,535.4235,535.4235,0.0,14.49,35.0,0.0,0.0,66.93650000000001,0.0,468.31,0.0,0.6703,587.87
RegionA,2,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,105.67999999999995,0.0,468.61,0.0,0.6693,650.0
RegionA,3,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,178.02999999999997,0.0,468.91,0.0,0.665,722.35
RegionA,4,544.319999550045,544.319999550045,0.0,-0.0,35.0,0.0,0.0,255.68000044995495,0.0,469.22,0.0,0.6578,800.0
RegionA,5,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,333.3299999999999,0.0,469.52,0.0,0.6483,877.65
RegionA,6,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,405.67999955004495,0.0,469.82,0.0,0.637,950.0
RegionA,7,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,467.80999955004495,0.0,723.26,0.0,0.6248,1012.13
RegionA,8,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,515.4899999999999,0.0,723.71,0.0,0.6126,1059.81
RegionA,9,544.319999550045,544.319999550045,0.0,-0.0,35.0,0.0,0.0,545.4600004499549,0.0,724.16,0.0,0.6013,1089.78
RegionA,10,531.7110004499551,531.7110004499551,0.0,-0.0,35.0,0.0,0.0,568.2889995500449,0.0,724.61,0.0,0.5917,1100.0
RegionA,11,506.1015,506.1015,0.0,-0.0,35.0,0.0,0.0,583.6785,0.0,725.04,0.0,0.5845,1089.78
RegionA,12,466.47899955004505,466.47899955004505,0.0,-0.0,35.0,0.0,0.0,593.3310004499549,0.0,725.48,0.0,0.5802,1059.81
RegionA,13,443.66670000000005,443.66670000000005,0.0,-0.0,35.0,0.0,0.0,568.4632999999999,0.0,725.9,0.0,0.5791,1012.13
RegionA,14,423.08729955004503,423.08729955004503,0.0,-0.0,35.0,0.0,0.0,526.912700449955,0.0,726.32,0.0,0.5814,950.0
RegionA,15,379.06649999999996,379.06649999999996,0.0,-0.0,35.0,0.0,0.0,498.5835,0.0,726.74,0.0,0.5869,877.65
RegionA,16,334.04399955004504,334.04399955004504,0.0,-0.0,35.0,0.0,0.0,465.95600044995496,0.0,727.14,0.0,0.5954,800.0
RegionA,17,316.91249955004497,316.91249955004497,0.0,-0.0,35.0,0.0,0.0,405.43750044995505,0.0,1054.92,0.0,0.6062,722.35
RegionA,18,299.443499550045,299.443499550045,0.0,-0.0,35.0,0.0,0.0,350.556500449955,0.0,1055.49,0.0,0.6188,650.0
RegionA,19,386.49149955004503,386.49149955004503,0.0,-0.0,35.0,0.0,0.0,201.37850044995497,0.0,1056.03,0.0,0.6321,587.87
RegionA,20,330.884999550045,330.884999550045,0.0,-0.0,35.0,0.0,0.0,209.30500044995506,0.0,1056.56,0.0,0.6455,540.19
RegionA,21,376.12350000000004,376.12350000000004,0.0,-0.0,35.0,0.0,0.0,134.0965,0.0,1057.08,0.0,0.658,510.22
RegionA,22,388.00349955004503,388.00349955004503,0.0,-0.0,35.0,0.0,0.0,111.99650044995497,0.0,656.43,0.0,0.6687,500.0
RegionA,23,408.92849955004505,408.92849955004505,0.0,-0.0,35.0,0.0,0.0,101.29150044995498,0.0,656.73,0.0,0.6771,510.22
RegionA,24,478.15650044995505,478.15650044995505,0.0,-0.0,35.0,0.0,0.0,62.03349955004501,0.0,474.52,0.0,0.6825,540.19
RegionA,25,495.679499550045,495.679499550045,0.0,-0.0,35.0,0.0,0.0,92.19050044995498,0.0,474.72,0.0,0.6846,587.87
RegionA,26,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,105.67999955004495,0.0,474.91,0.0,0.6833,650.0
RegionA,27,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,178.02999999999997,0.0,475.1,0.0,0.6787,722.35
RegionA,28,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,255.67999999999995,0.0,475.28,0.0,0.6712,800.0
RegionA,29,544.319999550045,544.319999550045,0.0,-0.0,35.0,0.0,0.0,333.3300004499549,0.0,475.45,0.0,0.6612,877.65
RegionA,30,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,405.67999955004495,0.0,475.61,0.0,0.6496,950.0
RegionA,31,544.3199995500449,544.3199995500449,0.0,-0.0,35.0,0.0,0.0,467.81000044995506,0.0,731.94,0.0,0.637,1012.13
RegionA,32,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,515.4899995500449,0.0,732.16,0.0,0.6245,1059.81
RegionA,33,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,545.4599999999999,0.0,732.37,0.0,0.6128,1089.78
RegionA,34,535.612499550045,535.612499550045,0.0,-0.0,35.0,0.0,0.0,564.387500449955,0.0,732.56,0.0,0.6027,1100.0
RegionA,35,516.429000449955,516.429000449955,0.0,-0.0,35.0,0.0,0.0,573.350999550045,0.0,732.74,0.0,0.595,1089.78
RegionA,36,464.1975,464.1975,0.0,-0.0,35.0,0.0,0.0,595.6125,0.0,732.9,0.0,0.5902,1059.81
RegionA,37,439.10100044995505,439.10100044995505,0.0,-0.0,35.0,0.0,0.0,573.028999550045,0.0,733.05,0.0,0.5887,1012.13
RegionA,38,422.42040000000003,422.42040000000003,0.0,-0.0,35.0,0.0,0.0,527.5796,0.0,733.18,0.0,0.5905,950.0
RegionA,39,401.130900449955,401.130900449955,0.0,-0.0,35.0,0.0,0.0,476.519099550045,0.0,733.3,0.0,0.5955,877.65
RegionA,40,375.205499550045,375.205499550045,0.0,-0.0,35.0,0.0,0.0,424.794500449955,0.0,733.4,0.0,0.6035,800.0
RegionA,41,328.900500449955,328.900500449955,0.0,-0.0,35.0,0.0,0.0,393.449499550045,0.0,1063.56,0.0,0.6138,722.35
RegionA,42,289.99350044995504,289.99350044995504,0.0,-0.0,35.0,0.0,0.0,360.00649955004496,0.0,1063.67,0.0,0.6258,650.0
RegionA,43,297.324,297.324,0.0,-0.0,35.0,0.0,0.0,290.546,0.0,1063.75,0.0,0.6386,587.87
RegionA,44,346.34250000000003,346.34250000000003,0.0,-0.0,35.0,0.0,0.0,193.84750000000003,0.0,1063.82,0.0,0.6514,540.19
RegionA,45,327.847500449955,327.847500449955,0.0,-0.0,35.0,0.0,0.0,182.372499550045,0.0,1063.86,0.0,0.6633,510.22
RegionA,46,416.92049955004507,416.92049955004507,0.0,-0.0,35.0,0.0,0.0,83.07950044995493,0.0,660.34,0.0,0.6735,500.0
RegionA,47,442.7460000000001,442.7460000000001,0.0,-0.0,35.0,0.0,0.0,67.47399999999993,0.0,660.33,0.0,0.6812,510.22
RegionA,48,472.041000449955,472.041000449955,0.0,-0.0,35.0,0.0,0.0,68.14899955004506,0.0,476.9,0.0,0.686,540.19
RegionA,49,530.401500449955,530.401500449955,0.0,-0.0,35.0,0.0,0.0,57.46849955004495,0.0,476.88,0.0,0.6876,587.87
RegionA,50,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,105.67999999999995,0.0,476.85,0.0,0.6857,650.0
RegionA,51,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,178.02999999999997,0.0,476.81,0.0,0.6805,722.35
RegionA,52,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,255.67999955004495,0.0,476.76,0.0,0.6724,800.0
RegionA,53,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,333.3299999999999,0.0,476.7,0.0,0.6618,877.65
RegionA,54,544.319999550045,544.319999550045,0.0,-0.0,35.0,0.0,0.0,405.68000044995495,0.0,476.63,0.0,0.6496,950.0
RegionA,55,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,467.80999955004495,0.0,733.16,0.0,0.6364,1012.13
RegionA,56,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,515.4899999999999,0.0,733.03,0.0,0.6233,1059.81
RegionA,57,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,545.4599999999999,0.0,732.89,0.0,0.6109,1089.78
RegionA,58,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,555.68,0.0,732.74,0.0,0.6003,1100.0
RegionA,59,487.7550004499551,487.7550004499551,0.0,-0.0,35.0,0.0,0.0,602.0249995500449,0.0,732.57,0.0,0.592,1089.78
RegionA,60,469.25999955004505,469.25999955004505,0.0,-0.0,35.0,0.0,0.0,590.550000449955,0.0,732.39,0.0,0.5866,1059.81
RegionA,61,465.23700044995496,465.23700044995496,0.0,-0.0,35.0,0.0,0.0,546.892999550045,0.0,732.19,0.0,0.5845,1012.13
RegionA,62,444.09735000000006,444.09735000000006,0.0,-0.0,35.0,0.0,0.0,505.90264999999994,0.0,731.99,0.0,0.5857,950.0
RegionA,63,414.7159504499551,414.7159504499551,0.0,-0.0,35.0,0.0,0.0,462.9340495500449,0.0,731.77,0.0,0.5902,877.65
RegionA,64,328.71420000000006,328.71420000000006,0.0,-0.0,35.0,0.0,0.0,471.28579999999994,0.0,731.55,0.0,0.5976,800.0
RegionA,65,330.75000044995505,330.75000044995505,0.0,-0.0,35.0,0.0,0.0,391.59999955004497,0.0,1060.4,0.0,0.6073,722.35
RegionA,66,307.138499550045,307.138499550045,0.0,-0.0,35.0,0.0,0.0,342.861500449955,0.0,1060.05,0.0,0.6188,650.0
RegionA,67,262.8315,262.8315,0.0,-0.0,35.0,0.0,0.0,325.0385,0.0,1059.68,0.0,0.631,587.87
RegionA,68,341.469000449955,341.469000449955,0.0,-0.0,35.0,0.0,0.0,198.72099955004506,0.0,1059.29,0.0,0.6433,540.19
RegionA,69,339.3225,339.3225,0.0,-0.0,35.0,0.0,0.0,170.89750000000004,0.0,1058.9,0.0,0.6547,510.22
RegionA,70,359.950499550045,359.950499550045,0.0,-0.0,35.0,0.0,0.0,140.04950044995502,0.0,656.99,0.0,0.6644,500.0
RegionA,71,470.083500449955,470.083500449955,0.0,-0.0,35.0,0.0,0.0,40.136499550045016,0.0,656.73,0.0,0.6716,510.22
RegionA,72,459.00000044995505,459.00000044995505,0.0,-0.0,35.0,0.0,0.0,81.189999550045,0.0,474.12,0.0,0.676,540.19
RegionA,73,531.495,531.495,0.0,-0.0,35.0,0.0,0.0,56.375,0.0,473.92,0.0,0.677,587.87
RegionA,74,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,105.67999955004495,0.0,473.72,0.0,0.6747,650.0
RegionA,75,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,178.02999999999997,0.0,473.51,0.0,0.6691,722.35
RegionA,76,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,255.67999999999995,0.0,473.31,0.0,0.6606,800.0
RegionA,77,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,333.3299999999999,0.0,473.1,0.0,0.6496,877.65
RegionA,78,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,405.67999955004495,0.0,472.88,0.0,0.637,950.0
RegionA,79,544.319999550045,544.319999550045,0.0,-0.0,35.0,0.0,0.0,467.81000044995494,0.0,727.18,0.0,0.6235,1012.13
RegionA,80,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,515.4899995500449,0.0,726.85,0.0,0.6099,1059.81
RegionA,81,544.319999550045,544.319999550045,0.0,-0.0,35.0,0.0,0.0,545.4600004499549,0.0,726.51,0.0,0.5973,1089.78
RegionA,82,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,555.68,0.0,726.18,0.0,0.5863,1100.0
RegionA,83,527.364,527.364,0.0,-0.0,35.0,0.0,0.0,562.4159999999999,0.0,725.84,0.0,0.5777,1089.78
RegionA,84,499.25699955004507,499.25699955004507,0.0,-0.0,35.0,0.0,0.0,560.5530004499549,0.0,725.5,0.0,0.5721,1059.81
RegionA,85,459.8100004499551,459.8100004499551,0.0,-0.0,35.0,0.0,0.0,552.3199995500449,0.0,725.16,0.0,0.5697,1012.13
RegionA,86,410.238,410.238,0.0,-0.0,35.0,0.0,0.0,539.762,0.0,724.82,0.0,0.5707,950.0
RegionA,87,377.838,377.838,0.0,-0.0,35.0,0.0,0.0,499.81199999999995,0.0,724.48,0.0,0.575,877.65
RegionA,88,333.35549955004507,333.35549955004507,0.0,-0.0,35.0,0.0,0.0,466.64450044995493,0.0,724.14,0.0,0.5822,800.0
RegionA,89,303.35850044995505,303.35850044995505,0.0,-0.0,35.0,0.0,0.0,418.991499550045,0.0,1049.53,0.0,0.5917,722.35
RegionA,90,307.624499550045,307.624499550045,0.0,-0.0,35.0,0.0,0.0,342.375500449955,0.0,1049.05,0.0,0.603,650.0
RegionA,91,301.887000449955,301.887000449955,0.0,-0.0,35.0,0.0,0.0,285.982999550045,0.0,1048.57,0.0,0.6152,587.87
RegionA,92,339.2955,339.2955,0.0,-0.0,35.0,0.0,0.0,200.89450000000005,0.0,1048.1,0.0,0.6274,540.19
RegionA,93,368.469,368.469,0.0,-0.0,35.0,0.0,0.0,141.75100000000003,0.0,1047.64,0.0,0.6387,510.22
RegionA,94,392.7825,392.7825,0.0,-0.0,35.0,0.0,0.0,107.21749999999997,0.0,649.97,0.0,0.6483,500.0
RegionA,95,452.76300044995503,452.76300044995503,0.0,-0.0,35.0,0.0,0.0,57.456999550045,0.0,649.7,0.0,0.6555,510.22
RegionA,96,465.628500449955,465.628500449955,0.0,-0.0,35.0,0.0,0.0,74.56149955004503,0.0,469.03,0.0,0.6598,540.19
RegionA,97,543.725999550045,543.725999550045,0.0,-0.0,35.0,0.0,0.0,44.144000449955,0.0,468.83,0.0,0.6609,587.87
RegionA,98,515.605499550045,515.605499550045,0.0,-0.0,35.0,0.0,0.0,134.394500449955,0.0,468.65,0.0,0.6586,650.0
RegionA,99,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,178.02999999999997,0.0,468.46,0.0,0.6531,722.35
RegionA,100,544.319999550045,544.319999550045,0.0,-0.0,35.0,0.0,0.0,255.68000044995495,0.0,468.28,0.0,0.6446,800.0
RegionA,101,544.3199995500449,544.3199995500449,0.0,-0.0,35.0,0.0,0.0,333.33000044995504,0.0,468.11,0.0,0.6338,877.65
RegionA,102,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,405.67999955004495,0.0,467.95,0.0,0.6212,950.0
RegionA,103,544.319999550045,544.319999550045,0.0,-0.0,35.0,0.0,0.0,467.81000044995494,0.0,719.67,0.0,0.6079,1012.13
RegionA,104,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,515.4899999999999,0.0,719.43,0.0,0.5945,1059.81
RegionA,105,544.319999550045,544.319999550045,0.0,-0.0,35.0,0.0,0.0,545.4600004499549,0.0,719.2,0.0,0.582,1089.78
RegionA,106,544.319999550045,544.319999550045,0.0,-0.0,35.0,0.0,0.0,555.680000449955,0.0,718.99,0.0,0.5713,1100.0
RegionA,107,530.6175004499551,530.6175004499551,0.0,-0.0,35.0,0.0,0.0,559.1624995500449,0.0,718.78,0.0,0.5629,1089.78
RegionA,108,472.87800000000004,472.87800000000004,0.0,-0.0,35.0,0.0,0.0,586.9319999999999,0.0,718.59,0.0,0.5575,1059.81
RegionA,109,454.207500449955,454.207500449955,0.0,-0.0,35.0,0.0,0.0,557.922499550045,0.0,718.4,0.0,0.5554,1012.13
RegionA,110,396.2655000000001,396.2655000000001,0.0,-0.0,35.0,0.0,0.0,553.7344999999999,0.0,718.23,0.0,0.5567,950.0
RegionA,111,378.326699550045,378.326699550045,0.0,-0.0,35.0,0.0,0.0,499.32330044995496,0.0,718.08,0.0,0.5613,877.65
RegionA,112,318.991500449955,318.991500449955,0.0,-0.0,35.0,0.0,0.0,481.008499550045,0.0,717.93,0.0,0.5688,800.0
RegionA,113,309.973499550045,309.973499550045,0.0,-0.0,35.0,0.0,0.0,412.376500449955,0.0,1040.81,0.0,0.5788,722.35
RegionA,114,316.64249955004504,316.64249955004504,0.0,-0.0,35.0,0.0,0.0,333.35750044995496,0.0,1040.64,0.0,0.5904,650.0
RegionA,115,343.08900000000006,343.08900000000006,0.0,-0.0,35.0,0.0,0.0,244.78099999999995,0.0,1040.48,0.0,0.603,587.87
RegionA,116,293.085000449955,293.085000449955,0.0,-0.0,35.0,0.0,0.0,247.10499955004508,0.0,1040.35,0.0,0.6155,540.19
RegionA,117,334.395,334.395,0.0,-0.0,35.0,0.0,0.0,175.82500000000005,0.0,1040.24,0.0,0.6272,510.22
RegionA,118,417.582,417.582,0.0,-0.0,35.0,0.0,0.0,82.418,0.0,645.61,0.0,0.6373,500.0
RegionA,119,469.867499550045,469.867499550045,0.0,-0.0,35.0,0.0,0.0,40.352500449955016,0.0,645.56,0.0,0.645,510.22
RegionA,120,465.7635,465.7635,0.0,-0.0,35.0,0.0,0.0,74.42650000000003,0.0,466.22,0.0,0.6498,540.19
RegionA,121,533.7360004499551,533.7360004499551,0.0,-0.0,35.0,0.0,0.0,54.133999550044905,0.0,466.2,0.0,0.6513,587.87
RegionA,122,544.3199995500449,544.3199995500449,0.0,-0.0,35.0,0.0,0.0,105.68000044995506,0.0,466.2,0.0,0.6495,650.0
RegionA,123,544.319999550045,544.319999550045,0.0,-0.0,35.0,0.0,0.0,178.03000044995497,0.0,466.21,0.0,0.6445,722.35
RegionA,124,544.320000449955,544.320000449955,0.0,-0.0,35.0,0.0,0.0,255.67999955004495,0.0,466.22,0.0,0.6365,800.0
RegionA,125,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,333.3299999999999,0.0,466.25,0.0,0.6262,877.65
