Region,Hour,FacilityLoad_MW,RenewableUse_MW,Charge_MW,Discharge_MW,SOC_MWh,GridPurchase_MW,GridSell_MW,Curtailment_MW,GridExportLimit_MW,Price,SellPrice,CarbonIntensity,AvailableRenewable_MW
RegionA,0,499.14900045,499.14900045,0.0,98.21000000000001,50.75,0.0,0.0,139.25099955000005,0.0,468.0,0.0,0.6679,540.19
RegionA,1,535.4235,535.4235,0.0,14.49,35.0,0.0,0.0,66.93650000000001,0.0,468.31,0.0,0.6703,587.87
RegionA,2,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,105.67999999999995,0.0,468.61,0.0,0.6693,650.0
RegionA,3,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,178.02999999999997,0.0,468.91,0.0,0.665,722.35
RegionA,4,544.31999955,544.31999955,0.0,-0.0,35.0,0.0,0.0,255.68000044999997,0.0,469.22,0.0,0.6578,800.0
RegionA,5,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,333.3299999999999,0.0,469.52,0.0,0.6483,877.65
RegionA,6,544.3200004500001,544.3200004500001,0.0,-0.0,35.0,0.0,0.0,405.67999954999993,0.0,469.82,0.0,0.637,950.0
RegionA,7,544.3200004500001,544.3200004500001,0.0,-0.0,35.0,0.0,0.0,467.80999954999993,0.0,723.26,0.0,0.6248,1012.13
RegionA,8,544.32,544.32,0.0,-0.0,35.0,0.0,0.0,515.4899999999999,0.0,723.71,0.0,0.6126,1059.81
RegionA,9,544.31999955,544.31999955,0.0,-0.0,35.0,0.0,0.0,545.4600004499999,0.0,724.16,0.0,0.6013,1089.78
RegionA,10,531.71100045,531.71100045,0.0,-0.0,35.0,0.0,0.0,568.28899955,0.0,724.61,0.0,0.5917,1100.0
RegionA,11,506.1015,506.1015,0.0,-0.0,35.0,0.0,0.0,583.6785,0.0,725.04,0.0,0.5845,1089.78
RegionA,12,466.04699955,466.04699955,0.0,-0.0,35.0,0.0,0.0,593.7630004499999,0.0,725.48,0.0,0.5802,1059.81
RegionA,13,442.9107,442.9107,0.0,-0.0,35.0,0.0,0.0,569.2193,0.0,725.9,0.0,0.5791,1012.13
RegionA,14,422.33129955,422.33129955,0.0,-0.0,35.0,0.0,0.0,527.66870045,0.0,726.32,0.0,0.5814,950.0
RegionA,15,377.3889,377.3889,0.0,-0.0,35.0,0.0,0.0,500.2611,0.0,726.74,0.0,0.5869,877.65
RegionA,16,332.87399955,332.87399955,0.0,-0.0,35.0,0.0,0.0,467.12600045,0.0,727.14,0.0,0.5954,800.0
RegionA,17,316.15649955,316.15649955,0.0,-0.0,35.0,0.0,0.0,406.19350045000004,0.0,1054.92,0.0,0.6062,722.35
RegionA,18,298.68749955000004,298.68749955000004,0.0,-0.0,35.0,0.0,0.0,351.31250044999996,0.0,1055.49,0.0,0.6188,650.0
RegionA,19,386.33489955,386.33489955,0.0,-0.0,35.0,0.0,0.0,201.53510045000002,0.0,1056.03,0.0,0.6321,587.87
RegionA,20,330.88499955,330.88499955,0.0,-0.0,35.0,0.0,0.0,209.30500045000008,0.0,1056.56,0.0,0.6455,540.19
RegionA,21,376.12350000000004,376.12350000000004,0.0,-0.0,35.0,0.0,0.0,134.0965,0.0,1057.08,0.0,0.658,510.22
RegionA,22,388.00349954999996,388.00349954999996,0.0,-0.0,35.0,0.0,0.0,111.99650045000004,0.0,656.43,0.0,0.6687,500.0
RegionA,23,408.49649955,408.49649955,0.0,-0.0,35.0,0.0,0.0,101.72350045000002,0.0,656.73,0.0,0.6771,510.22
RegionA,24,477.72450045000005,477.72450045000005,0.0,-0.0,35.0,0.0,0.0,62.465499550000004,0.0,474.52,0.0,0.6825,540.19
RegionA,25,495.13949955,495.13949955,0.0,-0.0,35.0,0.0,0.0,92.73050045000002,0.0,474.72,0.0,0.6846,587.87
RegionA,26,543.7800004500001,543.7800004500001,0.0,-0.0,35.0,0.0,0.0,106.2199995499999,0.0,474.91,0.0,0.6833,650.0
RegionA,27,543.7800000000001,543.7800000000001,0.0,-0.0,35.0,0.0,0.0,178.56999999999994,0.0,475.1,0.0,0.6787,722.35
RegionA,28,543.7800000000001,543.7800000000001,0.0,-0.0,35.0,0.0,0.0,256.2199999999999,0.0,475.28,0.0,0.6712,800.0
RegionA,29,544.1975995500001,544.1975995500001,0.0,-0.0,35.0,0.0,0.0,333.4524004499999,0.0,475.45,0.0,0.6612,877.65
