Hour,RegionA,RegionB,RegionC,RegionD,RegionE,RegionF
0,50.75,219.20000000000002,192.0,292.5,303.4,276.25
1,98.0,132.8,135.0,171.0,192.7,199.75
2,176.75,60.8,57.0,90.0,118.9,123.25
3,255.5,144.0,135.0,90.0,82.0,85.0
4,157.5,60.8,57.0,130.5,82.0,85.0
5,66.5,144.0,135.0,252.0,155.8,123.25
6,157.5,60.8,57.0,414.0,82.0,199.75
7,66.5,144.0,135.0,171.0,266.5,391.0
8,157.5,60.8,57.0,414.0,487.9,123.25
9,66.5,144.0,135.0,657.0,709.3,352.75
10,157.5,60.8,57.0,405.0,487.9,582.25
11,66.5,144.0,135.0,130.5,266.5,352.75
12,157.5,60.8,57.0,373.5,82.0,582.25
13,66.5,144.0,135.0,130.5,303.4,314.5
14,157.5,60.8,57.0,373.5,82.0,544.0
15,66.5,144.0,135.0,616.5,303.4,276.25
16,157.5,60.8,43.5,859.5,524.8,505.75
17,50.75,144.0,111.0,616.5,672.4,658.75
18,129.5,46.4,30.0,778.5,783.1,773.5
19,35.0,118.4,97.5,859.5,820.0,850.0
20,113.75,190.4,165.0,900.0,820.0,850.0
21,192.5,262.4,232.5,900.0,783.1,811.75
22,271.25,176.0,300.0,778.5,672.4,697.0
23,350.0,89.6,219.0,616.5,561.7,582.25
24,255.5,161.6,135.0,414.0,451.0,429.25
25,157.5,75.2,57.0,292.5,303.4,276.25
26,66.5,147.2,135.0,211.5,192.7,161.5
27,157.5,60.8,57.0,130.5,118.9,85.0
28,66.5,144.0,135.0,90.0,82.0,161.5
29,157.5,60.8,57.0,211.5,82.0,85.0
30,66.5,144.0,135.0,373.5,192.7,161.5
31,157.5,60.8,57.0,130.5,377.2,314.5
32,66.5,144.0,135.0,373.5,155.8,544.0
33,157.5,60.8,57.0,130.5,377.2,276.25
34,66.5,144.0,135.0,373.5,598.6,505.75
35,157.5,60.8,57.0,130.5,377.2,238.0
36,66.5,144.0,135.0,373.5,598.6,467.5
37,157.5,60.8,57.0,130.5,370.0,199.75
38,66.5,144.0,135.0,373.5,118.9,429.25
39,157.5,60.8,57.0,616.5,340.3,620.5
40,66.5,144.0,135.0,859.5,561.7,850.0
41,157.5,60.8,57.0,616.5,783.1,620.5
42,50.75,144.0,135.0,778.5,746.1999999999999,735.25
43,129.5,60.8,43.5,859.5,820.0,811.75
44,208.25,144.0,111.0,900.0,820.0,850.0
45,287.0,219.20000000000002,178.5,819.0,746.1999999999999,773.5
46,350.0,291.2,246.0,697.5,635.5,658.75
47,255.5,204.8,165.0,576.0,524.8,582.25
48,157.5,147.2,219.0,454.5,377.2,391.0
49,66.5,60.8,135.0,333.0,266.5,238.0
50,157.5,144.0,57.0,171.0,192.7,123.25
51,66.5,60.8,135.0,90.0,118.9,85.0
52,157.5,144.0,57.0,130.5,82.0,85.0
53,66.5,60.8,135.0,171.0,155.8,123.25
54,157.5,144.0,57.0,292.5,82.0,199.75
55,66.5,60.8,135.0,171.0,266.5,382.5
56,157.5,144.0,57.0,414.0,487.9,123.25
57,66.5,60.8,135.0,657.0,266.5,352.75
58,157.5,144.0,57.0,405.0,487.9,85.0
59,66.5,60.8,135.0,130.5,266.5,314.5
60,157.5,144.0,57.0,373.5,487.9,544.0
61,66.5,60.8,135.0,616.5,266.5,276.25
62,157.5,144.0,57.0,859.5,487.9,505.75
63,66.5,60.8,135.0,616.5,266.5,735.25
64,157.5,144.0,57.0,859.5,487.9,467.5
65,66.5,60.8,135.0,616.5,672.4,658.75
66,157.5,144.0,57.0,738.0,783.1,773.5
67,66.5,60.8,135.0,819.0,820.0,850.0
68,157.5,144.0,205.5,738.0,746.1999999999999,850.0
69,66.5,60.8,273.0,657.0,709.3,773.5
70,157.5,144.0,192.0,535.5,635.5,697.0
71,82.25,46.4,111.0,454.5,487.9,582.25
72,157.5,118.4,30.0,333.0,370.0,429.25
73,66.5,60.8,84.0,171.0,229.6,276.25
74,157.5,144.0,151.5,90.0,155.8,123.25
75,66.5,60.8,219.0,90.0,82.0,85.0
76,157.5,144.0,135.0,130.5,82.0,85.0
77,66.5,60.8,57.0,211.5,155.8,123.25
78,157.5,144.0,135.0,373.5,82.0,238.0
79,66.5,60.8,57.0,130.5,266.5,429.25
80,157.5,144.0,135.0,373.5,487.9,161.5
81,66.5,60.8,57.0,130.5,266.5,352.75
82,157.5,144.0,135.0,373.5,487.9,85.0
83,66.5,60.8,57.0,130.5,266.5,314.5
84,157.5,144.0,135.0,373.5,487.9,544.0
85,66.5,60.8,57.0,130.5,266.5,276.25
86,157.5,144.0,135.0,373.5,487.9,505.75
87,66.5,60.8,57.0,616.5,266.5,238.0
88,157.5,144.0,135.0,859.5,487.9,467.5
89,66.5,60.8,57.0,657.0,635.5,658.75
90,157.5,144.0,135.0,819.0,746.1999999999999,773.5
91,50.75,60.8,57.0,900.0,820.0,850.0
92,129.5,144.0,135.0,738.0,783.1,850.0
93,208.25,60.8,205.5,738.0,709.3,773.5
94,287.0,144.0,135.0,576.0,598.6,697.0
95,192.5,219.20000000000002,205.5,405.0,487.9,544.0
96,255.5,132.8,135.0,292.5,370.0,391.0
97,157.5,60.8,57.0,211.5,229.6,276.25
98,66.5,144.0,135.0,130.5,118.9,161.5
99,157.5,60.8,57.0,90.0,82.0,85.0
100,66.5,144.0,135.0,130.5,118.9,85.0
101,157.5,60.8,57.0,211.5,192.7,161.5
102,66.5,144.0,135.0,405.0,340.3,238.0
