TaskID,TaskType,SourceRegion,ExecutionRegion,ArrivalHour,StartHour,FinishHour,WaitHour,NetworkLatency_ms,GPU_Demand
36115,RealTimeInference,RegionC,RegionC,0,0,0.5666666666666667,0,5.0,2.0
35004,RealTimeInference,RegionB,RegionB,0,0,1.5666666666666667,0,5.0,5.0
31463,RealTimeInference,RegionC,RegionC,0,0,1.2333333333333334,0,5.0,2.0
15197,RealTimeInference,RegionD,RegionD,1,1,1.65,0,5.0,4.0
17221,RealTimeInference,RegionB,RegionB,1,1,1.4333333333333333,0,5.0,6.0
39265,RealTimeInference,RegionA,RegionA,0,0,2.9833333333333334,0,5.0,3.0
9101,RealTimeInference,RegionB,RegionB,2,2,2.7,0,5.0,4.0
23761,RealTimeInference,RegionB,RegionB,1,1,3.2333333333333334,0,5.0,1.0
19780,RealTimeInference,RegionB,RegionB,2,2,3.45,0,5.0,4.0
30518,RealTimeInference,RegionB,RegionB,2,2,3.1833333333333336,0,5.0,6.0
41339,RealTimeInference,RegionA,RegionA,0,0,4.916666666666667,0,5.0,6.0
27907,RealTimeInference,RegionB,RegionB,1,1,4.45,0,5.0,2.0
39228,RealTimeInference,RegionB,RegionB,0,0,5.416666666666667,0,5.0,3.0
49578,RealTimeInference,RegionA,RegionA,2,2,5.933333333333334,0,5.0,6.0
12031,RealTimeInference,RegionA,RegionA,3,3,5.566666666666666,0,5.0,6.0
25499,RealTimeInference,RegionB,RegionB,0,0,6.316666666666666,0,5.0,4.0
39430,RealTimeInference,RegionA,RegionA,1,1,6.533333333333333,0,5.0,2.0
5647,RealTimeInference,RegionA,RegionA,2,2,6.783333333333333,0,5.0,3.0
40083,RealTimeInference,RegionC,RegionC,2,2,6.6,0,5.0,1.0
22958,RealTimeInference,RegionA,RegionA,2,2,6.516666666666667,0,5.0,3.0
3460,RealTimeInference,RegionB,RegionB,3,3,6.55,0,5.0,3.0
47472,RealTimeInference,RegionA,RegionA,4,4,6.816666666666666,0,5.0,7.0
27475,RealTimeInference,RegionC,RegionC,4,4,6.75,0,5.0,5.0
20876,RealTimeInference,RegionC,RegionC,5,5,6.266666666666667,0,5.0,3.0
36976,RealTimeInference,RegionA,RegionA,5,5,6.033333333333333,0,5.0,1.0
41851,RealTimeInference,RegionA,RegionA,3,3,7.283333333333333,0,5.0,5.0
4717,RealTimeInference,RegionA,RegionA,4,4,7.6,0,5.0,4.0
5714,RealTimeInference,RegionA,RegionA,5,5,7.9,0,5.0,7.0
