Hour,Region,PricePeriod,ElectricityPrice_CNY_per_MWh,SellPrice_CNY_per_MWh,CarbonIntensity_tCO2_per_MWh,AITrainingPower_MW,GPU_Utilization_Percent,AvailableRenewable_MW,UsedRenewable_MW,RenewableCharge_MW,Curtailment_MW,IT_Load_MW,Total_Load_MW,GridPurchase_MW,GridCharge_MW,GridSell_MW,NetGridImport_MW,CarbonEmission_tCO2,DemandResponseLevel,SOC_MWh,ChargePower_MW,DischargePower_MW,Baseline_AI_IT_Load_MW,NonAI_IT_Load_MW,DataPeriod,FacilityLoad_MW,RenewableUse_MW,Charge_MW,Discharge_MW,Price,SellPrice,CarbonIntensity,GridExportLimit_MW
0,RegionA,Valley,468.0,0.0,0.6679,0.0,3.07672,540.19,59.8979,55.0,41.040999550045,369.74,499.149,0.0,18.0,0.0,457.2511,305.398,Medium,157.5,73.0,0.0,1.7583333333,367.981667,Main_0_2399,499.14900044995505,499.14900044995505,0.0,0.0,468.0,0.0,0.6679,41.040999550045
1,RegionA,Valley,468.31,0.0,0.6703,0.0,6.031746,587.87,64.2508,55.0,52.446500000000015,396.61,535.4235,0.0,18.0,0.0,489.1727,327.8924,Medium,157.5,73.0,0.0,3.58,393.03,Main_0_2399,535.4235,535.4235,0.0,0.0,468.31,0.0,0.6703,52.446500000000015
2,RegionA,Valley,468.61,0.0,0.6693,0.0,12.849206,650.0,65.3184,42.9892,105.67999999999995,403.2,544.32,0.0,18.0,0.0,497.0016,332.6432,Medium,157.5,60.9892,0.0,7.536,395.664,Main_0_2399,544.32,544.32,0.0,0.0,468.61,0.0,0.6693,105.67999999999995
3,RegionA,Valley,468.91,0.0,0.665,0.0,18.849206,722.35,65.3184,0.0,178.02999999999997,403.2,544.32,0.0,0.0,0.0,479.0016,318.5361,Medium,157.5,0.0,0.0,10.915,392.285,Main_0_2399,544.32,544.32,0.0,0.0,468.91,0.0,0.665,178.02999999999997
4,RegionA,Valley,469.22,0.0,0.6578,0.0,21.931217,800.0,65.3184,0.0,255.68000044995495,403.2,544.32,0.0,0.0,0.0,479.0016,315.0873,Medium,157.5,0.0,0.0,12.6466666667,390.553333,Main_0_2399,544.319999550045,544.319999550045,0.0,0.0,469.22,0.0,0.6578,255.68000044995495
5,RegionA,Valley,469.52,0.0,0.6483,0.0,22.714286,877.65,65.3184,0.0,333.3299999999999,403.2,544.32,0.0,0.0,0.0,479.0016,310.5367,Medium,157.5,0.0,0.0,13.01,390.19,Main_0_2399,544.32,544.32,0.0,0.0,469.52,0.0,0.6483,333.3299999999999
6,RegionA,Valley,469.82,0.0,0.637,0.0,18.843915,950.0,65.3184,0.0,405.67999955004495,403.2,544.32,0.0,0.0,0.0,479.0016,305.124,Medium,157.5,0.0,0.0,10.7173333333,392.482667,Main_0_2399,544.320000449955,544.320000449955,0.0,0.0,469.82,0.0,0.637,405.67999955004495
7,RegionA,Flat,723.26,0.0,0.6248,2.88,18.470899,1012.13,65.3184,0.0,467.80999955004495,403.2,544.32,0.0,0.0,0.0,479.0016,299.2802,Medium,157.5,0.0,0.0,11.8893333333,391.310667,Main_0_2399,544.320000449955,544.320000449955,0.0,0.0,723.26,0.0,0.6248,467.80999955004495
8,RegionA,Flat,723.71,0.0,0.6126,15.68,28.690476,1059.81,65.3184,0.0,515.4899999999999,403.2,544.32,0.0,0.0,0.0,479.0016,293.4364,Medium,157.5,0.0,0.0,23.38,379.82,Main_0_2399,544.32,544.32,0.0,0.0,723.71,0.0,0.6126,515.4899999999999
9,RegionA,Flat,724.16,0.0,0.6013,15.68,25.07672,1089.78,69.5448,0.0,545.4600004499549,403.2,544.32,0.0,0.0,0.0,474.7752,285.4823,Medium,157.5,0.0,0.0,21.2886666667,381.911333,Main_0_2399,544.319999550045,544.319999550045,0.0,0.0,724.16,0.0,0.6013,545.4600004499549
10,RegionA,Flat,724.61,0.0,0.5917,15.68,22.010582,1100.0,71.781,0.0,568.2889995500449,393.86,531.711,0.0,0.0,0.0,459.93,272.1406,Medium,157.5,0.0,0.0,19.4433333333,374.416667,Main_0_2399,531.7110004499551,531.7110004499551,0.0,0.0,724.61,0.0,0.5917,568.2889995500449
11,RegionA,Flat,725.04,0.0,0.5845,12.992,23.365079,1089.78,71.4682,0.0,583.6785,374.89,506.1015,0.0,0.0,0.0,434.6333,254.0432,Medium,157.5,0.0,0.0,19.032,355.858,Main_0_2399,506.1015,506.1015,0.0,0.0,725.04,0.0,0.5845,583.6785
12,RegionA,Flat,725.48,0.0,0.5802,7.68,18.571429,1059.81,68.097,0.0,593.3310004499549,345.54,466.479,0.0,0.0,0.0,398.382,231.1413,Medium,157.5,0.0,0.0,13.9926666667,331.547333,Main_0_2399,466.47899955004505,466.47899955004505,0.0,0.0,725.48,0.0,0.5802,593.3310004499549
13,RegionA,Flat,725.9,0.0,0.5791,4.56,18.301587,1012.13,66.0965,0.0,568.4632999999999,328.642,443.6667,0.0,0.0,0.0,377.5702,218.6509,Low,157.5,0.0,0.0,12.84,315.802,Main_0_2399,443.66670000000005,443.66670000000005,0.0,0.0,725.9,0.0,0.5791,568.4632999999999
14,RegionA,Flat,726.32,0.0,0.5814,0.0,12.203704,950.0,63.4631,0.0,526.912700449955,313.398,423.0873,0.0,0.0,0.0,359.6242,209.0855,Low,157.5,0.0,0.0,7.1586666667,306.239333,Main_0_2399,423.08729955004503,423.08729955004503,0.0,0.0,726.32,0.0,0.5814,526.912700449955
15,RegionA,Flat,726.74,0.0,0.5869,0.0,11.404762,877.65,56.4725,0.0,498.5835,280.79,379.0665,0.0,0.0,0.0,322.594,189.3304,Low,157.5,0.0,0.0,6.628,274.162,Main_0_2399,379.06649999999996,379.06649999999996,0.0,0.0,726.74,0.0,0.5869,498.5835
16,RegionA,Flat,727.14,0.0,0.5954,8.0,24.981481,800.0,48.764,0.0,465.95600044995496,247.44,334.044,0.0,0.0,0.0,285.28,169.8557,Low,157.5,0.0,0.0,18.2506666667,229.189333,Main_0_2399,334.04399955004504,334.04399955004504,0.0,0.0,727.14,0.0,0.5954,465.95600044995496
17,RegionA,Peak,1054.92,0.0,0.6062,6.6666666667,24.343915,722.35,44.7522,0.0,405.43750044995505,234.75,316.9125,0.0,0.0,0.0,227.1603,137.7046,Medium,157.5,0.0,45.0,17.3196666667,217.430333,Main_0_2399,316.91249955004497,316.91249955004497,0.0,0.0,1054.92,0.0,0.6062,405.43750044995505
18,RegionA,Peak,1055.49,0.0,0.6188,6.56,25.12963,650.0,40.4249,0.0,350.556500449955,221.81,299.4435,0.0,0.0,0.0,214.0186,132.4347,Medium,157.5,0.0,45.0,17.6596666667,204.150333,Main_0_2399,299.443499550045,299.443499550045,0.0,0.0,1055.49,0.0,0.6188,350.556500449955
19,RegionA,Peak,1056.03,0.0,0.6321,47.36,66.269841,587.87,49.3799,0.0,201.37850044995497,286.29,386.4915,0.0,0.0,0.0,292.1116,184.6437,Medium,157.5,0.0,45.0,58.8706666667,227.419333,Main_0_2399,386.49149955004503,386.49149955004503,0.0,0.0,1056.03,0.0,0.6321,201.37850044995497
20,RegionA,Peak,1056.56,0.0,0.6455,47.36,64.621693,540.19,39.7062,0.0,209.30500044995506,245.1,330.885,0.0,0.0,0.0,246.1788,158.9084,Medium,157.5,0.0,45.0,58.0036666667,187.096333,Main_0_2399,330.884999550045,330.884999550045,0.0,0.0,1056.56,0.0,0.6455,209.30500044995506
21,RegionA,Peak,1057.08,0.0,0.658,56.8,72.044974,510.22,45.1348,0.0,134.0965,278.61,376.1235,0.0,0.0,0.0,285.9887,188.1806,Medium,157.5,0.0,45.0,66.149,212.461,Main_0_2399,376.12350000000004,376.12350000000004,0.0,0.0,1057.08,0.0,0.658,134.0965
22,RegionA,Flat,656.43,0.0,0.6687,56.8,72.981481,500.0,46.5604,54.4127,111.99650044995497,287.41,388.0035,0.0,0.0,0.0,341.4431,228.323,Low,157.5,54.4127,0.0,66.5626666667,220.847333,Main_0_2399,388.00349955004503,388.00349955004503,0.0,0.0,656.43,0.0,0.6687,111.99650044995497
23,RegionA,Flat,656.73,0.0,0.6771,70.2613333333,88.195767,510.22,49.0714,55.0,101.29150044995498,302.91,408.9285,0.0,0.0,0.0,359.8571,243.6592,Low,157.5,55.0,0.0,81.1746666667,221.735333,Main_0_2399,408.92849955004505,408.92849955004505,0.0,0.0,656.73,0.0,0.6771,101.29150044995498
24,RegionA,Valley,474.52,0.0,0.6825,46.6053333333,63.391534,540.19,57.3788,55.0,62.03349955004501,354.19,478.1565,0.0,18.0,0.0,438.7777,299.4658,Medium,157.5,73.0,0.0,56.8933333333,297.296667,Main_0_2399,478.15650044995505,478.15650044995505,0.0,0.0,474.52,0.0,0.6825,62.03349955004501
25,RegionA,Valley,474.72,0.0,0.6846,16.008,25.928571,587.87,59.4815,55.0,92.19050044995498,367.17,495.6795,0.0,18.0,0.0,454.198,310.9439,Medium,157.5,73.0,0.0,21.8206666667,345.349333,Main_0_2399,495.679499550045,495.679499550045,0.0,0.0,474.72,0.0,0.6846,92.19050044995498
26,RegionA,Valley,474.91,0.0,0.6833,5.168,15.232804,650.0,65.3184,0.0,105.67999955004495,403.2,544.32,0.0,7.5606,0.0,486.5622,332.468,Medium,157.5,7.5606,0.0,10.8413333333,392.358667,Main_0_2399,544.320000449955,544.320000449955,0.0,0.0,474.91,0.0,0.6833,105.67999955004495
27,RegionA,Valley,475.1,0.0,0.6787,0.0,9.857143,722.35,65.3184,0.0,178.02999999999997,403.2,544.32,0.0,0.0,0.0,479.0016,325.0984,Medium,157.5,0.0,0.0,5.35,397.85,Main_0_2399,544.32,544.32,0.0,0.0,475.1,0.0,0.6787,178.02999999999997
28,RegionA,Valley,475.28,0.0,0.6712,0.0,12.261905,800.0,65.3184,0.0,255.67999999999995,403.2,544.32,0.0,0.0,0.0,479.0016,321.5059,Medium,157.5,0.0,0.0,6.56,396.64,Main_0_2399,544.32,544.32,0.0,0.0,475.28,0.0,0.6712,255.67999999999995
29,RegionA,Valley,475.45,0.0,0.6612,16.8,29.380952,877.65,65.3184,0.0,333.3300004499549,403.2,544.32,0.0,0.0,0.0,479.0016,316.7159,Medium,157.5,0.0,0.0,23.8226666667,379.377333,Main_0_2399,544.319999550045,544.319999550045,0.0,0.0,475.45,0.0,0.6612,333.3300004499549
30,RegionA,Valley,475.61,0.0,0.6496,40.96,51.462963,950.0,65.3184,0.0,405.67999955004495,403.2,544.32,0.0,0.0,0.0,479.0016,311.1594,Medium,157.5,0.0,0.0,46.8983333333,356.301667,Main_0_2399,544.320000449955,544.320000449955,0.0,0.0,475.61,0.0,0.6496,405.67999955004495
31,RegionA,Flat,731.94,0.0,0.637,51.04,61.849206,1012.13,65.3184,0.0,467.81000044995506,403.2,544.32,0.0,0.0,0.0,479.0016,305.124,Medium,157.5,0.0,0.0,57.1696666667,346.030333,Main_0_2399,544.3199995500449,544.3199995500449,0.0,0.0,731.94,0.0,0.637,467.81000044995506
