scenario_type,parameter,level,seed,alternation_round,task_candidate_budget,task_candidates_checked,unique_tasks_visited,local_task_moves_accepted,full_task_audit_passed,incumbent_schedule_before_sha256,candidate_schedule_sha256,storage_trajectory_sha256,joint_score_before,joint_score_candidate,improvement,accepted,incumbent_schedule_after_sha256,neighborhood_rebuilt_from_previous_storage
baseline,baseline,1.0,,1,600,600,26,44,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,d2789912a61e210911370abc2e4e1ca5f35580c9a3bbb3a3a1f02eb5f4fe62f8,421756828655acd61ad4f262f18360b585ccf848e5fd31687a5b2bec35a9d1d7,0.18597590834097621,0.18813254627718803,-0.0021566379362118193,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
baseline,baseline,1.0,,2,600,600,26,53,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,16dd2a6370a6e34199c29b44f999c32df3fb3d77aa26c205c9d768263ccef079,78570ab91b159aea2ff20d634e02342b1acac938a0f627dfff76b1c8e7206e9b,0.18597590834097621,0.18823139936268563,-0.0022554910217094104,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
carbon_constraint,carbon_reduction,0.0,,1,600,600,26,44,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,53eaacd59a52072a1a1fddc5fc8bb0beb0c6a5874664cedea63da8a348445bfa,a3f926508dac1d619c1b23d397416d3d7bf0f0a95f271ef3a4c599c8cfa7d42c,0.18597590834097621,0.18880209564537692,-0.002826187304400707,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
carbon_constraint,carbon_reduction,0.0,,2,600,600,26,52,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,84af72b1c83ee81f889a7889f708041328e2166cdec621b2940747db82ed9f15,0956dc2207cf62940ee0a7cd3c30c9550370650eb0cb051fedadb9aad7ed6277,0.18597590834097621,157.7328207466228,-157.54684483828183,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
carbon_constraint,carbon_reduction,0.1,,1,600,600,26,57,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,d5b6ed990a267ffeeeb9d03fe3cc46b3937e7c134c4ea409e56b924f55a32b7b,0ef0a2c206914de8ca8a03a61621f7cd579183f9e6cc038844b1c61a1c06ab88,58.07535633499936,308.5720688375112,-250.49671250251185,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
carbon_constraint,carbon_reduction,0.1,,2,600,600,26,56,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,104e7c607930cb761279fa81994f209db92aab4b26bf4fca3cacbda50d1c42f5,f2efc0b3ba58dcad6846ffe1e007ec32078cdb3c05c7f8d7c68083a086e70042,58.07535633499936,0.10129044913263231,57.97406588586673,True,104e7c607930cb761279fa81994f209db92aab4b26bf4fca3cacbda50d1c42f5,True
carbon_constraint,carbon_reduction,0.1,,3,600,600,26,50,True,104e7c607930cb761279fa81994f209db92aab4b26bf4fca3cacbda50d1c42f5,e4991eee80a91a443cab8750d0e8698634a48752f485d05cad174b2f46f19bc5,f072e202a146e64282a50f87cf1055cc7da697a45633bf131a23577ebbe12b22,0.10129044913263231,0.10390934779308592,-0.002618898660453603,False,104e7c607930cb761279fa81994f209db92aab4b26bf4fca3cacbda50d1c42f5,True
carbon_constraint,carbon_reduction,0.1,,4,600,600,24,7,True,104e7c607930cb761279fa81994f209db92aab4b26bf4fca3cacbda50d1c42f5,e147918e8a75681c1f80a511eb4c23d8b7f2542aa6da201c31b6e0011b6fb9b9,8bff5687dd73f07945346fdc238ed6dfcfc0f63f8ba4f3f33bf16780fcece5ef,0.10129044913263231,0.10148481467232302,-0.0001943655396907107,False,104e7c607930cb761279fa81994f209db92aab4b26bf4fca3cacbda50d1c42f5,True
carbon_constraint,carbon_reduction,0.2,,1,600,600,26,45,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,3ce042c2207cd483de6e72b2c095063b6f5e514ee495b842619e9416e18f4bdd,e3c276b7defb167844d048fa6ca36f0aa36e494b545611640c6f59227a290590,115.9647367616578,115.96701546707895,-0.00227870542114772,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
carbon_constraint,carbon_reduction,0.2,,2,600,600,26,55,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,7a38dad8db964d4dde763c84de5f2c2f21905815613ff05a74226375d45c70fe,440fe24f93fda9a621de70eaffbe3056c9403fa68de84848f0f248aa8725e907,115.9647367616578,115.96714748793569,-0.0024107262778869654,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
carbon_constraint,carbon_reduction,0.3,,1,600,600,26,59,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,48b9f034b11f65b88a1490913ea626aedd36099fed90fb8d276ae98d578fce27,68e008c54510bfada0eda5ce9ded408c57d70fa26655f3c764135e1714b60d66,173.85411718831625,173.85675680942174,-0.002639621105487322,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
carbon_constraint,carbon_reduction,0.3,,2,600,600,26,50,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,a75a6e161d97f877b1652e93582bfdce5a592d838e4431e522eeab614dab20ea,4e0d3f1b49ef488c58f7d1842fab5ccdf3dc01be01d1178f25b6c354d8c7712e,173.85411718831625,173.8565120558036,-0.002394867487339525,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
price_spread,price_scale,0.75,,1,600,600,26,50,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,6ca14b9e60dd18ddbfa055fba6e84684b84ab0916398d5e947254f63c4a1b8ca,96b7d7ff450255f8b86a49e49fb19365dec95fe6995ae090de0d6ac8c1bccf1c,0.18597591567087463,0.31174377230455447,-0.12576785663367984,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
price_spread,price_scale,0.75,,2,600,600,26,52,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,11cc8c407e42d959b29fa32a1393701ab64ba3064dedd41be666e9d71e57087c,db58e9b1ceb54cd8f8592db7fd28f6a6d8d1691d7190ae1bc03dd865ca2ac2a7,0.18597591567087463,0.18826599705509683,-0.002290081384222209,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
price_spread,price_scale,1.0,,1,600,600,26,47,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,92f4ee78f01ccf4a3990978b7ab267583a97c09728f7de1280df121d1295dcfa,11807fce46ec9c14edd55dcd1cd1bea5e9bb8f597f8005a7e44db8630b19d904,0.18597590834097621,0.18814378473670396,-0.0021678763957277414,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
price_spread,price_scale,1.0,,2,600,600,26,49,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,26626b7d4d0099faffa07ec131a5d1f0ed87f55e368acfaf479455db31732ab8,f76325d8de588aceb7a139789e588aa8d521c0d9f408832f4341c86e90b65d79,0.18597590834097621,0.18859536403123664,-0.002619455690260425,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
price_spread,price_scale,1.25,,1,600,600,26,48,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,21c3f3b4c973d6727fdf63f197457af4b8a5da96562e1aa16703b65630de51f8,83097d97c0c283125a7614bfdb3dec0470f9e66d65ddc5481fdc31c040cdfe38,0.1859759010110778,0.32659515767280073,-0.14061925666172292,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
price_spread,price_scale,1.25,,2,600,600,26,42,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,d9942ec1c0b376f357ec415f611fac56881afb4748f9a3168148296f213d51e8,ab298cc42bdc3cef7e9a26672d225d73ae70416f94d0e3b02c7ceafcc44731d0,0.1859759010110778,0.18758125537886222,-0.0016053543677844173,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
sell_mechanism,sell_scale,0.0,,1,600,600,26,43,True,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,2a326e10f792852a1c00cbfbc15636c820bffbd579209d6433f1c78d024d6495,a7e0c22d0cae2c0295741fda141b830dc67c76ad3996f5b6a6b2e4db3ee14190,0.328714599600938,0.3311678263583552,-0.0024532267574171596,False,be02fb020a2fe15a1671a7810334d75c54a03bea259d383f9a6847a7ef041cb2,True
