Hour,RegionA,RegionB,RegionC,RegionD,RegionE,RegionF
0,157.5,144.0,135.0,405.0,303.4,238.0
1,157.5,144.0,135.0,373.5,192.7,199.75
2,157.5,144.0,135.0,373.5,118.9,199.75
3,157.5,144.0,135.0,373.5,82.0,199.75
4,157.5,144.0,135.0,373.5,82.0,199.75
5,157.5,144.0,135.0,373.5,82.0,199.75
6,157.5,144.0,135.0,373.5,82.0,199.75
7,157.5,144.0,135.0,373.5,82.0,199.75
8,157.5,144.0,135.0,373.5,82.0,199.75
9,157.5,144.0,135.0,373.5,266.5,199.75
10,157.5,144.0,135.0,373.5,370.0,199.75
11,157.5,144.0,135.0,373.5,370.0,199.75
12,157.5,144.0,135.0,414.0,370.0,199.75
13,157.5,144.0,135.0,535.5,370.0,276.25
14,157.5,144.0,135.0,576.0,370.0,352.75
15,157.5,144.0,135.0,576.0,370.0,382.5
16,157.5,144.0,135.0,576.0,524.8,382.5
17,157.5,144.0,135.0,576.0,561.7,505.75
18,157.5,144.0,135.0,576.0,561.7,582.25
19,157.5,144.0,135.0,576.0,598.6,658.75
20,157.5,144.0,135.0,576.0,635.5,658.75
21,157.5,144.0,135.0,576.0,635.5,658.75
22,157.5,144.0,135.0,576.0,598.6,620.5
23,157.5,144.0,135.0,535.5,524.8,582.25
24,157.5,144.0,135.0,454.5,451.0,544.0
25,157.5,144.0,135.0,405.0,414.09999999999997,467.5
26,157.5,144.0,135.0,333.0,377.2,382.5
27,157.5,144.0,135.0,333.0,377.2,382.5
28,157.5,144.0,135.0,333.0,370.0,382.5
29,157.5,144.0,135.0,333.0,370.0,382.5
30,157.5,144.0,135.0,333.0,377.2,382.5
31,157.5,144.0,135.0,333.0,377.2,382.5
32,157.5,144.0,135.0,333.0,414.09999999999997,382.5
33,157.5,144.0,135.0,333.0,414.09999999999997,382.5
34,157.5,144.0,135.0,333.0,451.0,382.5
35,157.5,144.0,135.0,333.0,487.9,382.5
36,157.5,144.0,135.0,333.0,524.8,382.5
