Region,TaskType,CandidateID,CandidateRank,CandidateModel,HuberEpsilon,HuberAlpha,WindowCount,MeanRMSE,MeanMAE,MeanWAPE,StdRMSE,WindowRankMin,WindowRankMax,WindowRankStd,WindowWinnerCount,FinalTestUsedForSelection
RegionA,RealTimeInference,SeasonalNaive24,0,SeasonalNaive24,,,8,9.464209134970915,7.739583333333334,0.7990439316118163,0.8487709444836884,10,11,0.4841229182759271,0,False
RegionA,RealTimeInference,SeasonalNaive168,1,SeasonalNaive168,,,8,8.77606309978755,6.973958333333334,0.7144054414241002,2.017240227442933,1,11,3.152380053229623,1,False
RegionA,RealTimeInference,"Huber(epsilon=1.10,alpha=0.0001)",2,Huber,1.1,0.0001,8,6.822152557291705,5.403102460500484,0.5568609835407132,1.0883631236138482,1,10,3.418698582794336,2,False
RegionA,RealTimeInference,"Huber(epsilon=1.10,alpha=0.001)",3,Huber,1.1,0.001,8,6.8221516911636355,5.403112299921297,0.5568621205119857,1.0883676832095621,2,9,2.7357585785299112,0,False
RegionA,RealTimeInference,"Huber(epsilon=1.10,alpha=0.01)",4,Huber,1.1,0.01,8,6.8221575520829365,5.40310575176923,0.5568613524952282,1.08838460950875,3,9,2.1213203435596424,0,False
RegionA,RealTimeInference,"Huber(epsilon=1.35,alpha=0.0001)",5,Huber,1.35,0.0001,8,6.783549189010722,5.404622056476953,0.5581721806356827,1.0467439459348198,4,7,1.0897247358851685,0,False
RegionA,RealTimeInference,"Huber(epsilon=1.35,alpha=0.001)",6,Huber,1.35,0.001,8,6.783555991210758,5.404624455000368,0.5581723720556452,1.0467548716699515,5,6,0.4841229182759271,0,False
RegionA,RealTimeInference,"Huber(epsilon=1.35,alpha=0.01)",7,Huber,1.35,0.01,8,6.783542842150684,5.404621760588208,0.5581721866719733,1.0467478469212508,4,6,0.82915619758885,0,False
RegionA,RealTimeInference,"Huber(epsilon=1.75,alpha=0.0001)",8,Huber,1.75,0.0001,8,6.75818412258001,5.425374089675868,0.5612522399709815,0.9920064959107808,1,7,2.2878756522153907,2,False
RegionA,RealTimeInference,"Huber(epsilon=1.75,alpha=0.001)",9,Huber,1.75,0.001,8,6.758196783403873,5.425382304330055,0.5612533640022166,0.9919938524650646,1,8,2.595067436503337,1,False
RegionA,RealTimeInference,"Huber(epsilon=1.75,alpha=0.01)",10,Huber,1.75,0.01,8,6.7580832836477684,5.4253402299075475,0.561249290360067,0.9919650691831985,1,9,3.059309562630104,2,False
RegionA,BatchInference,SeasonalNaive24,0,SeasonalNaive24,,,8,29.047732523958576,21.765625,1.1663509862030126,3.808579378616882,10,11,0.4841229182759271,0,False
