Hour,Region,TaskType,Prediction_GPU,Actual_GPU,FeatureUsesTestTruth,SelectedModel,SelectedCandidateID
2376,RegionA,RealTimeInference,9.17858307076704,3.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2377,RegionA,RealTimeInference,9.542807086444796,20.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2378,RegionA,RealTimeInference,9.174988679413316,8.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2379,RegionA,RealTimeInference,9.206841491236178,5.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2380,RegionA,RealTimeInference,9.119401871477953,0.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2381,RegionA,RealTimeInference,9.10295825492472,7.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2382,RegionA,RealTimeInference,8.914958290471672,1.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2383,RegionA,RealTimeInference,9.09774851086669,17.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2384,RegionA,RealTimeInference,8.995511196109339,12.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2385,RegionA,RealTimeInference,8.953555896066481,5.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2386,RegionA,RealTimeInference,9.119356017816955,6.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2387,RegionA,RealTimeInference,9.068654677388812,11.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2388,RegionA,RealTimeInference,9.003107930355556,15.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2389,RegionA,RealTimeInference,9.215326551651948,14.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2390,RegionA,RealTimeInference,9.28282327708619,0.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2391,RegionA,RealTimeInference,9.231336886697159,8.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2392,RegionA,RealTimeInference,9.4395545439192,6.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2393,RegionA,RealTimeInference,9.757020082512911,19.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2394,RegionA,RealTimeInference,9.302430579092414,4.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2395,RegionA,RealTimeInference,9.532506990916207,12.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2396,RegionA,RealTimeInference,9.46722603178938,16.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2397,RegionA,RealTimeInference,9.877302586758686,0.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2398,RegionA,RealTimeInference,9.589249451459558,15.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2399,RegionA,RealTimeInference,9.619208996269036,4.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2376,RegionA,BatchInference,19.341002022659413,11.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2377,RegionA,BatchInference,18.44013294678956,35.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2378,RegionA,BatchInference,18.03789789164561,0.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2379,RegionA,BatchInference,17.445540902707517,38.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
2380,RegionA,BatchInference,17.446996214718588,0.0,False,Huber,"Huber(epsilon=1.75,alpha=0.01)"
