Region,TaskType,SelectedModel,SelectedCandidateID,HuberEpsilon,HuberAlpha,RollingWindowCount,RollingMeanMAE,RollingMeanRMSE,RollingMeanWAPE,ValidationMAE,ValidationRMSE,ValidationWAPE,ValidationSampleCount,ValidationWAPEZeroDenominator,MAE,RMSE,WAPE,TestSampleCount,TestWAPEZeroDenominator,ClosedLoopForecast,TrainEndHour,ValidationStartHour,ValidationEndHour,FinalFitEndHour,TestStartHour,TestEndHour,FinalTestUsedForSelection
RegionA,RealTimeInference,Huber,"Huber(epsilon=1.75,alpha=0.01)",1.75,0.01,8,5.4253402299075475,6.7580832836477684,0.561249290360067,4.875055786976925,5.782163211630261,0.65000743826359,24,False,5.427255913854242,6.111813283447047,0.6262218362139509,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionA,BatchInference,Huber,"Huber(epsilon=1.75,alpha=0.01)",1.75,0.01,8,15.227322625960298,19.518146500736158,0.8132298024448367,11.717595988172347,15.412395926757046,0.7381162827195179,24,False,14.997843665684853,20.81646755778452,0.7016535048273616,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionA,AITraining,Huber,"Huber(epsilon=1.75,alpha=0.0001)",1.75,0.0001,8,35.057167827498105,50.17341148232285,1.3616082044907047,28.194296063917065,39.332642349654364,1.467815847145357,24,False,33.037839392240066,49.0638424971274,1.3694441198855984,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionB,RealTimeInference,Huber,"Huber(epsilon=1.75,alpha=0.001)",1.75,0.001,8,4.9036351605290545,6.041163928183411,0.6384967933004485,5.710617519271416,7.655553149964076,0.5857043609509145,24,False,3.8309662379229716,4.9089996522390384,0.4839115247902701,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionB,BatchInference,Huber,"Huber(epsilon=1.75,alpha=0.0001)",1.75,0.0001,8,12.595573948885454,15.553807225300439,0.7075001432247381,15.649025696518146,19.78414743671403,0.9883595176748303,24,False,13.982180132077014,19.496205844236584,0.6367596265082511,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionB,AITraining,Huber,"Huber(epsilon=1.75,alpha=0.0001)",1.75,0.0001,8,34.750769501922974,51.84039712792318,1.2129092422453827,39.87295283888742,63.1837720915047,1.1075820233024285,24,False,33.7291143082536,45.50262263167828,1.1211893952882084,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionC,RealTimeInference,Huber,"Huber(epsilon=1.75,alpha=0.01)",1.75,0.01,8,4.578301806146198,5.91468156357577,0.624662197708769,5.1178858408492145,6.717556577171067,0.6266798988794956,24,False,4.464693449416782,5.754231980975073,0.6868759152948894,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionC,BatchInference,Huber,"Huber(epsilon=1.75,alpha=0.01)",1.75,0.01,8,11.565014469366103,14.526603594119454,0.7980977103644641,9.609807402358127,11.148409593555542,0.8386741005694365,24,False,9.728851923546712,11.466944762078853,0.7556389843531427,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionC,AITraining,Huber,"Huber(epsilon=1.75,alpha=0.0001)",1.75,0.0001,8,28.58043642000356,41.48439802280345,1.3562705229706178,25.57991498982442,43.61477079504217,1.3404322265410178,24,False,22.094009606495288,31.79950727659865,1.2506043173487897,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionD,RealTimeInference,Huber,"Huber(epsilon=1.75,alpha=0.01)",1.75,0.01,8,0.6822917055427672,1.8593039235783135,1.0000000529013717,0.5833333410730925,2.48327740429189,1.0000000132681586,24,False,1.2500000147360424,2.7233557543523994,1.000000011788834,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionD,BatchInference,Huber,"Huber(epsilon=1.75,alpha=0.0001)",1.75,0.0001,8,14.516397854408659,18.30038542032755,0.7213303140672968,12.646996284164745,17.950771855171098,0.599857531264731,24,False,14.519923061174177,18.577645157298328,0.6489351088792928,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionD,AITraining,Huber,"Huber(epsilon=1.75,alpha=0.01)",1.75,0.01,8,96.54426627482957,121.7413315539713,0.5752780331815666,63.56091744160208,78.02329170848654,0.44643313391818845,24,False,83.52400206292846,101.75200856263343,0.5528339904882192,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionE,RealTimeInference,Huber,"Huber(epsilon=1.75,alpha=0.01)",1.75,0.01,8,0.9583764120062586,2.3224859438417376,1.000037271354709,0.8750000465994091,2.0716337694268536,1.0000000532564675,24,False,1.2916668204085007,2.4748735624237552,1.000000119025936,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionE,BatchInference,Huber,"Huber(epsilon=1.75,alpha=0.01)",1.75,0.01,8,11.00521270365154,13.80772982039931,0.8828516047930672,10.436196989874835,12.968445640270003,0.9107953736618037,24,False,13.799211914568213,19.230271200024383,0.716842177380167,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionE,AITraining,Huber,"Huber(epsilon=1.75,alpha=0.0001)",1.75,0.0001,8,81.86981722782659,104.1246522671316,0.6793339233405413,91.84188354209152,104.96029585440552,0.8121610924871763,24,False,97.26626957579019,136.23818515739242,0.557266762907368,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionF,RealTimeInference,Huber,"Huber(epsilon=1.10,alpha=0.001)",1.1,0.001,8,0.8281250059313094,2.1195399410209887,1.0000000066160963,0.9583333388465075,2.508319487430211,1.0000000057528775,24,False,0.6250000035708537,1.6457014661978857,1.000000005713366,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionF,BatchInference,Huber,"Huber(epsilon=1.75,alpha=0.001)",1.75,0.001,8,11.140825553247492,14.18656406674139,0.8981432913191585,8.72197123752733,11.602521278605527,0.8649888830605617,24,False,9.041173822409482,11.03395299313088,0.9233539222886279,24,False,True,2351,2352,2375,2375,2376,2399,False
RegionF,AITraining,Huber,"Huber(epsilon=1.75,alpha=0.01)",1.75,0.01,8,87.81433284942091,106.91221713933814,0.7045416146360906,76.20170532744034,107.8218500025991,0.5235731256394413,24,False,96.2984813497366,126.45376747612134,0.4921557820259111,24,False,True,2351,2352,2375,2375,2376,2399,False
