TaskID,TaskType,SourceRegion,ExecutionRegion,ArrivalHour,StartHour,FinishHour,WaitHour,NetworkLatency_ms,GPU_Demand
3498,RealTimeInference,RegionB,RegionB,2376,2376,2377.1833333333334,0,5.0,2.0
3809,AITraining,RegionF,RegionF,2376,2376,2377.633333333333,0,5.0,32.0
7403,BatchInference,RegionD,RegionD,2376,2376,2382.233333333333,0,5.0,10.0
7902,BatchInference,RegionE,RegionE,2376,2376,2376.4333333333334,0,5.0,11.0
9267,BatchInference,RegionE,RegionE,2376,2376,2376.366666666667,0,5.0,7.0
9415,AITraining,RegionD,RegionD,2376,2376,2377.4666666666667,0,5.0,119.0
11961,AITraining,RegionE,RegionE,2376,2376,2380.1,0,5.0,111.0
14647,BatchInference,RegionA,RegionA,2376,2376,2377.233333333333,0,5.0,11.0
17820,RealTimeInference,RegionC,RegionC,2376,2376,2377.25,0,5.0,1.0
18201,BatchInference,RegionE,RegionE,2376,2376,2376.6666666666665,0,5.0,16.0
26377,BatchInference,RegionB,RegionB,2376,2376,2382.4333333333334,0,5.0,17.0
29779,BatchInference,RegionF,RegionF,2376,2376,2381.6,0,5.0,17.0
31600,RealTimeInference,RegionB,RegionB,2376,2376,2381.05,0,5.0,3.0
33422,BatchInference,RegionB,RegionB,2376,2376,2382.1833333333334,0,5.0,9.0
33742,RealTimeInference,RegionA,RegionA,2376,2376,2378.5833333333335,0,5.0,3.0
35335,AITraining,RegionF,RegionF,2376,2376,2379.2166666666667,0,5.0,34.0
41926,RealTimeInference,RegionC,RegionC,2376,2376,2379.6833333333334,0,5.0,6.0
42169,AITraining,RegionF,RegionF,2376,2376,2381.9333333333334,0,5.0,58.0
49940,RealTimeInference,RegionB,RegionB,2376,2376,2377.55,0,5.0,6.0
1540,AITraining,RegionF,RegionF,2377,2377,2381.866666666667,0,5.0,98.0
4202,AITraining,RegionE,RegionE,2377,2377,2381.6666666666665,0,5.0,94.0
4316,RealTimeInference,RegionA,RegionA,2377,2377,2381.366666666667,0,5.0,5.0
6423,RealTimeInference,RegionA,RegionA,2377,2377,2381.383333333333,0,5.0,7.0
6481,RealTimeInference,RegionA,RegionA,2377,2377,2383.45,0,5.0,6.0
14780,AITraining,RegionD,RegionD,2377,2377,2381.483333333333,0,5.0,32.0
20392,AITraining,RegionF,RegionF,2377,2377,2382.5833333333335,0,5.0,110.0
20965,RealTimeInference,RegionA,RegionA,2377,2377,2379.633333333333,0,5.0,2.0
21384,AITraining,RegionC,RegionC,2377,2377,2380.633333333333,0,5.0,110.0
22636,RealTimeInference,RegionF,RegionF,2377,2377,2381.1666666666665,0,5.0,2.0
22926,BatchInference,RegionA,RegionA,2377,2377,2380.4666666666667,0,5.0,19.0
23479,AITraining,RegionD,RegionD,2377,2377,2379.1833333333334,0,5.0,113.0
25757,BatchInference,RegionE,RegionE,2377,2377,2382.366666666667,0,5.0,17.0
26783,BatchInference,RegionA,RegionA,2377,2377,2379.3,0,5.0,16.0
27509,AITraining,RegionF,RegionF,2377,2377,2383.516666666667,0,5.0,113.0
29589,RealTimeInference,RegionE,RegionE,2377,2377,2378.016666666667,0,5.0,5.0
29785,BatchInference,RegionE,RegionE,2377,2377,2382.5333333333333,0,5.0,17.0
31710,AITraining,RegionD,RegionD,2377,2377,2378.9,0,5.0,64.0
35013,BatchInference,RegionE,RegionE,2377,2377,2382.766666666667,0,5.0,9.0
36594,BatchInference,RegionE,RegionE,2377,2377,2378.516666666667,0,5.0,12.0
39791,BatchInference,RegionB,RegionB,2377,2377,2381.7833333333333,0,5.0,4.0
41348,AITraining,RegionE,RegionE,2377,2377,2382.75,0,5.0,71.0
41413,AITraining,RegionE,RegionE,2377,2377,2381.2,0,5.0,54.0
43690,AITraining,RegionE,RegionE,2377,2377,2380.133333333333,0,5.0,102.0
44279,RealTimeInference,RegionB,RegionB,2377,2377,2379.85,0,5.0,1.0
45743,RealTimeInference,RegionB,RegionB,2377,2377,2383.5333333333333,0,5.0,2.0
47993,RealTimeInference,RegionC,RegionC,2377,2377,2378.4666666666667,0,5.0,4.0
49049,RealTimeInference,RegionB,RegionB,2377,2377,2378.633333333333,0,5.0,3.0
235,RealTimeInference,RegionE,RegionE,2378,2378,2378.4666666666667,0,5.0,2.0
1055,AITraining,RegionF,RegionF,2378,2378,2383.65,0,5.0,113.0
2508,RealTimeInference,RegionB,RegionB,2378,2378,2382.65,0,5.0,1.0
3444,RealTimeInference,RegionA,RegionA,2378,2378,2379.7166666666667,0,5.0,7.0
6507,AITraining,RegionC,RegionC,2378,2378,2383.35,0,5.0,17.0
9591,AITraining,RegionD,RegionD,2378,2378,2381.1833333333334,0,5.0,27.0
16146,AITraining,RegionE,RegionE,2378,2378,2378.3,0,5.0,60.0
17864,AITraining,RegionD,RegionD,2378,2378,2379.7,0,5.0,120.0
18427,BatchInference,RegionB,RegionB,2378,2378,2382.45,0,5.0,18.0
19684,BatchInference,RegionF,RegionF,2378,2378,2380.016666666667,0,5.0,9.0
24568,RealTimeInference,RegionB,RegionB,2378,2378,2380.4166666666665,0,5.0,4.0
25839,RealTimeInference,RegionA,RegionA,2378,2378,2383.483333333333,0,5.0,1.0
27016,BatchInference,RegionD,RegionD,2378,2378,2379.1833333333334,0,5.0,23.0
29425,AITraining,RegionF,RegionF,2378,2378,2381.883333333333,0,5.0,98.0
