Scheme,PassID,schedule_sha256,max_constraint_residual,context_full_recompute_residual,max_absolute_residual,max_relative_residual,worst_quantity,worst_location,audit_passed,abs_residual_used_gpu_instant,abs_residual_used_it_power_instant_mw,abs_residual_ai_energy_mwh,abs_residual_facility_average_power_mw,abs_residual_cost_CNY,abs_residual_carbon_tCO2,abs_residual_renewable_used_MWh,abs_residual_service_objective,abs_residual_balanced_full_score,rel_residual_used_gpu_instant,rel_residual_used_it_power_instant_mw,rel_residual_ai_energy_mwh,rel_residual_facility_average_power_mw,rel_residual_cost_CNY,rel_residual_carbon_tCO2,rel_residual_renewable_used_MWh,rel_residual_service_objective,rel_residual_balanced_full_score
cost_min,1,d125ce0967acc175359056ea39ed64885eaf29e17a31e141eefdd98d73578713,0.0,1.6689300537109375e-06,1.6689300537109375e-06,7.994929265793384e-14,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,1.6689300537109375e-06,7.815970093361102e-14,4.6566128730773926e-09,6.252776074688882e-13,8.185452315956354e-12,0.0,3.6764888017942407e-16,3.8142891526941307e-16,4.862423714335936e-16,3.7960003852931455e-15,2.822835158531315e-15,5.875408391799889e-16,2.59160416654915e-15,7.994929265793384e-14
cost_min,2,2e54ef80abf05cef643884169b1d38101c0f767472221217383c5590b7196e11,0.0,1.6093254089355469e-06,1.6093254089355469e-06,6.225440007572464e-14,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,1.6093254089355469e-06,6.750155989720952e-14,2.7939677238464355e-09,6.821210263296962e-13,6.59383658785373e-12,0.0,3.6764888017942407e-16,3.8142891526941307e-16,4.862423714335936e-16,3.65604904306093e-15,3.1971326650470105e-15,3.524184513563322e-16,2.8544131261428678e-15,6.225440007572464e-14
cost_min,3,56a8546f557ebb485cb871cede63f2e367b8cdb7155104b6733652b142431203,0.0,2.205371856689453e-06,2.205371856689453e-06,9.117601852901638e-14,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.205371856689453e-06,6.750155989720952e-14,4.6566128730773926e-09,7.389644451905042e-13,9.691802915767767e-12,0.0,3.6764888017942407e-16,3.8142891526941307e-16,4.862423714335936e-16,5.009361333612076e-15,3.1286062612835284e-15,5.873433367493502e-16,3.0886659690869804e-15,9.117601852901638e-14
cost_min,4,f0bb7ca76a41c0f868cbfaf0ab5000126611f999bfafd6744f8038e841a37d7b,0.0,2.086162567138672e-06,2.086162567138672e-06,8.78663485640897e-14,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.086162567138672e-06,6.750155989720952e-14,4.6566128730773926e-09,7.958078640513122e-13,9.336531547887716e-12,0.0,3.6764888017942407e-16,3.8142891526941307e-16,4.862423714335936e-16,4.738518831579921e-15,3.1286062612835284e-15,5.873418678591693e-16,3.3112728664770913e-15,8.78663485640897e-14
cost_min,5,ecb360af044daff8e7335aea78a087a6e1251a4b3973105b751ca2e1964a2924,0.0,2.0265579223632812e-06,2.0265579223632812e-06,7.972730929203256e-14,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.0265579223632812e-06,6.750155989720952e-14,3.725290298461914e-09,8.242295734817162e-13,8.469669410260394e-12,0.0,3.6764888017942407e-16,3.8142891526941307e-16,4.862423714335936e-16,4.603107259359293e-15,3.1286062612835284e-15,4.698723994436196e-16,3.419615190322533e-15,7.972730929203256e-14
cost_min,6,d6a80e6770d8da163e04103300ec4d0f0f2b1bcbdff2652f41f69a2f2d08d2a0,0.0,2.086162567138672e-06,2.086162567138672e-06,8.800725876474878e-14,cost_CNY,aggregate,True,0.0,8.526512829121202e-14,8.526512829121202e-14,3.410605131648481e-13,2.086162567138672e-06,6.750155989720952e-14,4.6566128730773926e-09,7.673861546209082e-13,9.350742402602918e-12,0.0,3.6764888017942407e-16,3.8142891526941307e-16,4.862423714335936e-16,4.738475157439843e-15,3.1286062612835284e-15,5.873399493990596e-16,3.1850690003527676e-15,8.800725876474878e-14
carbon_direct,1,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,0.0,5.960464477539063e-08,5.960464477539063e-08,5.394573676653636e-13,cost_CNY,aggregate,True,0.0,2.842170943040401e-14,2.842170943040401e-14,1.1368683772161603e-13,5.960464477539063e-08,1.3322676295501878e-15,9.313225746154785e-10,2.6645352591003757e-15,5.394573676653636e-13,0.0,1.2344383873525021e-16,1.3206459452321378e-16,1.7010024316769623e-16,1.420240250657052e-16,1.3322676295501878e-15,1.1873135683703788e-16,5.149145626295936e-16,5.394573676653636e-13
carbon_direct,2,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,0.0,5.960464477539063e-08,5.960464477539063e-08,5.394573676653636e-13,cost_CNY,aggregate,True,0.0,2.842170943040401e-14,2.842170943040401e-14,1.1368683772161603e-13,5.960464477539063e-08,1.3322676295501878e-15,9.313225746154785e-10,2.6645352591003757e-15,5.394573676653636e-13,0.0,1.2344383873525021e-16,1.3206459452321378e-16,1.7010024316769623e-16,1.420240250657052e-16,1.3322676295501878e-15,1.1873135683703788e-16,5.149145626295936e-16,5.394573676653636e-13
carbon_direct,3,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,0.0,5.960464477539063e-08,5.960464477539063e-08,5.394573676653636e-13,cost_CNY,aggregate,True,0.0,2.842170943040401e-14,2.842170943040401e-14,1.1368683772161603e-13,5.960464477539063e-08,1.3322676295501878e-15,9.313225746154785e-10,2.6645352591003757e-15,5.394573676653636e-13,0.0,1.2344383873525021e-16,1.3206459452321378e-16,1.7010024316769623e-16,1.420240250657052e-16,1.3322676295501878e-15,1.1873135683703788e-16,5.149145626295936e-16,5.394573676653636e-13
carbon_direct,4,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,0.0,5.960464477539063e-08,5.960464477539063e-08,5.394573676653636e-13,cost_CNY,aggregate,True,0.0,2.842170943040401e-14,2.842170943040401e-14,1.1368683772161603e-13,5.960464477539063e-08,1.3322676295501878e-15,9.313225746154785e-10,2.6645352591003757e-15,5.394573676653636e-13,0.0,1.2344383873525021e-16,1.3206459452321378e-16,1.7010024316769623e-16,1.420240250657052e-16,1.3322676295501878e-15,1.1873135683703788e-16,5.149145626295936e-16,5.394573676653636e-13
