scheme,PassID,pass_complete,main_metric,main_relative_improvement,accepted_move_rate,auxiliary_max_relative_change,hard_and_context_audit_passed,auxiliary_metrics_blocking,scheme_converged_by_this_pass
cost_min,1,True,cost_CNY,0.04548277092422499,0.048091666666666665,,True,False,False
cost_min,2,True,cost_CNY,0.001196553728693479,0.0038916666666666665,0.2374720266970792,True,False,False
cost_min,3,True,cost_CNY,0.00015567377760197258,0.0007333333333333333,0.021433706681194098,True,False,False
cost_min,4,True,cost_CNY,1.3973312321362992e-05,0.000175,0.0045044019689351525,True,False,True
cost_min,5,True,cost_CNY,5.500577994941928e-06,5.833333333333333e-05,0.00289177054390005,True,False,True
cost_min,6,True,cost_CNY,3.716276151498007e-06,3.3333333333333335e-05,0.0004048076814546283,True,False,True
carbon_direct,1,True,carbon_tCO2,1.0,0.00015,,True,False,False
carbon_direct,2,True,carbon_tCO2,0.0,0.0,0.0,True,False,True
carbon_direct,3,True,carbon_tCO2,0.0,0.0,0.0,True,False,True
carbon_direct,4,True,carbon_tCO2,0.0,0.0,0.0,True,False,True
carbon_direct,5,True,carbon_tCO2,0.0,0.0,0.0,True,False,True
carbon_direct,6,True,carbon_tCO2,0.0,0.0,0.0,True,False,True
renewable_max,1,True,renewable_used_MWh,0.01097140731633717,0.157925,,True,False,False
renewable_max,2,True,renewable_used_MWh,0.0003355495931603356,0.006058333333333333,0.6533001089974707,True,False,False
renewable_max,3,True,renewable_used_MWh,2.2430195836296653e-05,0.0009333333333333333,0.2398708326773478,True,False,False
renewable_max,4,True,renewable_used_MWh,2.5560629657905615e-06,0.00015833333333333332,0.2562032120687121,True,False,True
renewable_max,5,True,renewable_used_MWh,0.0,0.0,0.0,True,False,True
renewable_max,6,True,renewable_used_MWh,0.0,0.0,0.0,True,False,True
service_first,1,True,service_objective,2.0967669132023073e-05,1.6666666666666667e-05,,True,False,False
service_first,2,True,service_objective,0.0,0.0,0.0,True,False,True
service_first,3,True,service_objective,0.0,0.0,0.0,True,False,True
service_first,4,True,service_objective,0.0,0.0,0.0,True,False,True
service_first,5,True,service_objective,0.0,0.0,0.0,True,False,True
service_first,6,True,service_objective,0.0,0.0,0.0,True,False,True
balanced,1,True,balanced_full_score,1.0,0.151825,,True,False,False
balanced,2,True,balanced_full_score,0.03509159324514337,0.006625,0.7563248123820117,True,False,False
balanced,3,True,balanced_full_score,0.002712750403361018,0.0010916666666666666,0.011693042846967134,True,False,False
balanced,4,True,balanced_full_score,0.00044836093865002036,0.00024166666666666667,0.0001040363009274687,True,False,False
balanced,5,True,balanced_full_score,7.562093120874733e-05,6.666666666666667e-05,0.0004763172181611789,True,False,True
balanced,6,True,balanced_full_score,1.7276367632910198e-06,8.333333333333334e-06,0.0003387161023308149,True,False,True
