case,sample_categories,Scheme,PassID,CandidateID,BaseCandidateID,TaskID,Duration,CandidateStart,incremental_reason,accepted,full_task_feasible,full_grid_feasible,rejection_consistent,capacity_pressure_ratio,grid_import_pressure_ratio,abs_residual_cost_CNY,abs_residual_carbon_tCO2,abs_residual_renewable_used_MWh,abs_residual_service_objective,abs_residual_used_gpu_instant,abs_residual_used_it_power_instant_mw,abs_residual_ai_energy_mwh,abs_residual_facility_average_power_mw,max_absolute_residual,max_relative_residual,worst_quantity,audit_mode
fractional_duration,fractional_duration|high_gpu_demand_task|high_power_task|no_change|random_fixed_seed,cost_min,1,Q2C000001,Q2C000001,1,4.666666666666686,456.0,no_change,False,True,True,True,0.6230115736111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cost_CNY,
random_feasible_move,duration_lt_1h|fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,1,Q2C000961,Q2C000961,961,0.6333333333334394,1462.0,no_change,False,True,True,True,0.41050555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cost_CNY,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,1,Q2C009903,Q2C009903,9903,4.9500000000000455,1973.0,no_change,False,True,True,True,0.8795246907407409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cost_CNY,
random_feasible_move,fractional_duration|high_gpu_demand_task|high_power_task|no_change|random_feasible_move|random_fixed_seed,cost_min,1,Q2C017819,Q2C017819,17819,2.1666666666666856,508.0,no_change,False,True,True,True,0.9043309517857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cost_CNY,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,1,Q2C034185,Q2C034185,34185,2.016666666666879,2339.0,no_change,False,True,True,True,0.7126358695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cost_CNY,
random_feasible_move,fractional_duration|no_change|random_feasible_move|random_fixed_seed,cost_min,1,Q2C046304,Q2C046304,46304,4.099999999999909,1339.0,no_change,False,True,True,True,0.8064198404761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cost_CNY,
accepted,accepted|fractional_duration|high_gpu_demand_task|high_power_task|random_fixed_seed|region_migration,cost_min,1,Q2C050001,Q2C050001,1,4.666666666666686,2401.0,accepted,True,True,True,True,0.8188184517857142,0.0,1.4657416613772511e-08,0.0,3.666400516522117e-10,7.993605777301127e-14,0.0,1.4210854715202004e-14,1.4210854715202004e-14,1.1368683772161603e-13,1.4657416613772511e-08,2.943177588409582e-12,cost_CNY,
feasible_but_rejected,feasible_but_rejected|fractional_duration|random_fixed_seed|region_migration,cost_min,1,Q2C050002,Q2C050002,2,3.2999999999999545,1126.0,feasible,False,True,True,True,0.9780000000000002,0.0,0.0,0.0,6.875779945403337e-10,2.4056413328379933e-16,0.0,1.4210854715202004e-14,1.4210854715202004e-14,1.1368683772161603e-13,6.875779945403337e-10,6.875779945403337e-10,renewable_used_MWh,
capacity_rejected,capacity_rejected|fractional_duration|high_gpu_demand_task|high_power_task|random_fixed_seed|region_migration,cost_min,1,Q2C050005,Q2C050005,5,2.683333333333394,2239.0,it_capacity,False,False,True,True,1.0386577243902437,0.0,,,,,0.0,1.4210854715202004e-14,1.4210854715202004e-14,1.1368683772161603e-13,1.1368683772161603e-13,8.943764325387517e-18,facility_average_power_mw,
random_feasible_move,duration_lt_1h|feasible_but_rejected|fractional_duration|random_feasible_move|random_fixed_seed|region_migration,cost_min,1,Q2C053850,Q2C053850,3888,0.6666666666666288,1653.0,feasible,False,True,True,True,0.6793478260869565,0.0,1.3693352229893208e-08,0.0,1.290345608140342e-10,8.500145032286355e-15,0.0,5.684341886080802e-14,5.684341886080802e-14,2.2737367544323206e-13,1.3693352229893208e-08,4.695145978657956e-12,cost_CNY,
