scheme,metric,lowest_pass,highest_pass,adjacent_relative_changes,high_vs_low_relative_change,maximum_relative_change,threshold,auxiliary_diagnostic_only,converged
cost_min,cost_CNY,1,6,0.00119655372869348|0.000155673777601973|1.3973312321363e-05|5.50057799494193e-06|3.71627615149801e-06,0.0013751998976333155,0.0013751998976333155,0.001,False,True
cost_min,carbon_tCO2,1,6,0.237472026697079|0.0214337066811941|0|0|0,0.22077024468438566,0.2374720266970792,0.001,False,True
cost_min,renewable_utilization,1,6,0.000300836255652605|3.53253544873903e-05|2.50090549920556e-06|2.33008188211757e-06|9.36263488613378e-07,0.00034191628484860255,0.00034191628484860255,0.01,True,True
cost_min,renewable_used_MWh,1,6,0.000300836255652607|3.5325354487366e-05|2.50090549928927e-06|2.33008188210354e-06|9.36263488628536e-07,0.0003419162848486645,0.0003419162848486645,0.001,False,True
cost_min,network_latency_ms,1,6,0.00588540770841646|0.000283154672136633|0.000169284206448629|6.7907407277121e-05|6.41424267601892e-06,0.006396240137199979,0.006396240137199979,0.01,True,True
cost_min,service_objective,1,6,0.00953211031974517|0.00116901332715081|0.00450440196893515|0.00289177054390005|0.000404807681454628,0.0014015039737395488,0.009532110319745168,0.001,False,False
cost_min,service_quality,1,6,0.00949276541102395|0.00116414751414272|0.0044857372876251|0.00287982255601545|0.000403135129223828,0.0013957191009179297,0.009492765411023946,0.01,True,True
cost_min,migration_count,1,6,0.00642183423640377|0.00100240577385726|0.000801282051282051|0.000400641025641026|0,0.00781563126252505,0.00781563126252505,0.01,True,True
cost_min,task_coverage_rate,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
cost_min,accepted_improvements,1,6,0.0748637383776852|0.0139108441353146|0.00330864975579014|0.00110166824047844|0.000629128656810318,0.09232463038691413,0.09232463038691413,0.01,True,True
carbon_direct,cost_CNY,1,6,0|0|0|0|0,0.0,0.0,0.001,False,True
carbon_direct,carbon_tCO2,1,6,0|0|0|0|0,0.0,0.0,0.001,False,True
carbon_direct,renewable_utilization,1,6,0|0|0|0|0,0.0,0.0,0.01,True,True
carbon_direct,renewable_used_MWh,1,6,0|0|0|0|0,0.0,0.0,0.001,False,True
