weight_scenario,scheme,weight_cost,weight_carbon,weight_renewable_used,weight_service,score,selected,selected_scheme,schedule_sha256,formal_balanced_schedule,q4_baseline_changed_from_formal_balanced
equal,cost_min,0.25,0.25,0.25,0.25,-106.23297694942778,False,balanced,ecb360af044daff8e7335aea78a087a6e1251a4b3973105b751ca2e1964a2924,False,False
equal,carbon_direct,0.25,0.25,0.25,0.25,-0.3184446760142535,False,balanced,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,False,False
equal,renewable_max,0.25,0.25,0.25,0.25,-96.2546929678312,False,balanced,d418bcc4c8d647e6c17dfcac92d815516f7bd8ec6a6bafd4f1ac1d5fb9a6f2b6,False,False
equal,service_first,0.25,0.25,0.25,0.25,-0.0007373114742933562,False,balanced,d668fb71802aad39febba34308e1946365a2ddb47d9b183563c87656ec457944,False,False
equal,balanced,0.25,0.25,0.25,0.25,-113.56698755512662,True,balanced,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,True,False
cost_tilt,cost_min,0.4,0.2,0.2,0.2,-131.29381179525316,False,balanced,ecb360af044daff8e7335aea78a087a6e1251a4b3973105b751ca2e1964a2924,False,False
cost_tilt,carbon_direct,0.4,0.2,0.2,0.2,-0.3039076126541305,False,balanced,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,False,False
cost_tilt,renewable_max,0.4,0.2,0.2,0.2,-121.41203628011145,False,balanced,d418bcc4c8d647e6c17dfcac92d815516f7bd8ec6a6bafd4f1ac1d5fb9a6f2b6,False,False
cost_tilt,service_first,0.4,0.2,0.2,0.2,-0.0009304864648244837,False,balanced,d668fb71802aad39febba34308e1946365a2ddb47d9b183563c87656ec457944,False,False
cost_tilt,balanced,0.4,0.2,0.2,0.2,-135.01433728031145,True,balanced,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,True,False
carbon_tilt,cost_min,0.2,0.4,0.2,0.2,-84.90585687802601,False,balanced,ecb360af044daff8e7335aea78a087a6e1251a4b3973105b751ca2e1964a2924,False,False
carbon_tilt,carbon_direct,0.2,0.4,0.2,0.2,-0.41606966636332277,False,balanced,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,False,False
carbon_tilt,renewable_max,0.2,0.4,0.2,0.2,-76.8727214861899,False,balanced,d418bcc4c8d647e6c17dfcac92d815516f7bd8ec6a6bafd4f1ac1d5fb9a6f2b6,False,False
carbon_tilt,service_first,0.2,0.4,0.2,0.2,-0.0005898491794346849,False,balanced,d668fb71802aad39febba34308e1946365a2ddb47d9b183563c87656ec457944,False,False
carbon_tilt,balanced,0.2,0.4,0.2,0.2,-91.01011171974311,True,balanced,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,True,False
renewable_tilt,cost_min,0.2,0.2,0.4,0.2,-136.24769098914237,False,balanced,ecb360af044daff8e7335aea78a087a6e1251a4b3973105b751ca2e1964a2924,False,False
renewable_tilt,carbon_direct,0.2,0.2,0.4,0.2,-0.2998581788362127,False,balanced,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,False,False
renewable_tilt,renewable_max,0.2,0.2,0.4,0.2,-131.5709629785653,False,balanced,d418bcc4c8d647e6c17dfcac92d815516f7bd8ec6a6bafd4f1ac1d5fb9a6f2b6,False,False
renewable_tilt,service_first,0.2,0.2,0.4,0.2,-0.0008333272009716046,False,balanced,d668fb71802aad39febba34308e1946365a2ddb47d9b183563c87656ec457944,False,False
renewable_tilt,balanced,0.2,0.2,0.4,0.2,-144.08506038724397,True,balanced,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,True,False
service_tilt,cost_min,0.2,0.2,0.2,0.4,-72.4845481352896,False,balanced,ecb360af044daff8e7335aea78a087a6e1251a4b3973105b751ca2e1964a2924,False,False
service_tilt,carbon_direct,0.2,0.2,0.2,0.4,-0.25394324620334824,False,balanced,cdf6d422a1bc48d595b148723e873522bf4fcf2717e04635729ee3432743143a,False,False
service_tilt,renewable_max,0.2,0.2,0.2,0.4,-55.163051126458214,False,balanced,d418bcc4c8d647e6c17dfcac92d815516f7bd8ec6a6bafd4f1ac1d5fb9a6f2b6,False,False
service_tilt,service_first,0.2,0.2,0.2,0.4,-0.0005955830519426515,False,balanced,d668fb71802aad39febba34308e1946365a2ddb47d9b183563c87656ec457944,False,False
service_tilt,balanced,0.2,0.2,0.2,0.4,-84.15844083320796,True,balanced,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,True,False
