Region,Hour,FacilityLoad_MW,AvailableRenewable_MW,SOC_MWh,GridExportLimit_MW,Price,SellPrice,CarbonIntensity,RenewableDirectUse_MW,RenewableCharge_MW,GridCharge_MW,Charge_MW,Discharge_MW,StorageToLoad_MW,RenewableSell_MW,StorageSell_MW,GridPurchaseForLoad_MW,GridPurchase_MW,GridSell_MW,RenewableCurtailment_MW,NetGrid_MW,RenewableUse_MW,Curtailment_MW
RegionA,0,498.47400045000006,540.19,157.5,0.0,468.0,0.0,0.6679,498.47400045000006,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,41.71599954999999,0.0,498.47400045000006,41.71599954999999
RegionA,1,557.5095,587.87,157.5,0.0,468.31,0.0,0.6703,557.5095,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,30.360500000000002,0.0,557.5095,30.360500000000002
RegionA,2,565.38675,650.0,157.5,0.0,468.61,0.0,0.6693,565.38675,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,84.61325,0.0,565.38675,84.61325
RegionA,3,560.5267500000001,722.35,157.5,0.0,468.91,0.0,0.665,560.5267500000001,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,161.82324999999992,0.0,560.5267500000001,161.82324999999992
RegionA,4,560.7359995500001,800.0,157.5,0.0,469.22,0.0,0.6578,560.7359995500001,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,239.2640004499999,0.0,560.7359995500001,239.2640004499999
RegionA,5,542.6136,877.65,157.5,0.0,469.52,0.0,0.6483,542.6136,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,335.03639999999996,0.0,542.6136,335.03639999999996
RegionA,6,551.83500045,950.0,157.5,0.0,469.82,0.0,0.637,551.83500045,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,398.16499954999995,0.0,551.83500045,398.16499954999995
RegionA,7,541.6524004500001,1012.13,157.5,0.0,723.26,0.0,0.6248,541.6524004500001,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,470.4775995499999,0.0,541.6524004500001,470.4775995499999
RegionA,8,542.268,1059.81,157.5,0.0,723.71,0.0,0.6126,542.268,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,517.5419999999999,0.0,542.268,517.5419999999999
RegionA,9,543.26879955,1089.78,157.5,0.0,724.16,0.0,0.6013,543.26879955,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,546.5112004499999,0.0,543.26879955,546.5112004499999
