scenario_type,parameter,state_count,storage_policy,storage_policy_candidate_count,level,seed,alternation_round,task_candidate_budget,task_candidates_checked,unique_tasks_visited,local_task_moves_accepted,full_task_audit_passed,incumbent_schedule_before_sha256,candidate_schedule_sha256,storage_trajectory_sha256,joint_score_before,joint_score_candidate,improvement,accepted,incumbent_schedule_after_sha256,neighborhood_rebuilt_from_previous_storage,search_signal,settlement_price,settlement_price_sha256
baseline,baseline,21,balanced,3,1.0,,1,600,600,600,126,True,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,867b6f8b0371181f4b4899bb3ad0af57ea02792653d8645260d7ffc0ef63cc54,2d0cb6271c7ce856750b056d6d854df9129262bcc796f2aa59f5102b9ecf592f,0.0,0.0005022588579573374,-0.0005022588579573374,False,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
baseline,baseline,21,balanced,3,1.0,,2,600,600,600,119,True,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,c74074a7d3d723a843ec1b3c52c917353c6e95b6c41dcc0c353c6ccedc9ebc16,4edc63d737e0720b1758623a507537361158de9cb6223102d666c19f121f391f,0.0,0.00044664337037631554,-0.00044664337037631554,False,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,renewable_max,3,0.0,,1,600,600,600,168,True,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,f58f16c0d5bdeb3f3b44c508afccb949a85a479b7ba3c41946810d4116849e82,3a4611df81b026946b9b00359a398d585943d8433accec3ccda5959f0d1f53c8,1096.5485823212655,1088.8653202958042,7.6832620254613175,True,f58f16c0d5bdeb3f3b44c508afccb949a85a479b7ba3c41946810d4116849e82,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,renewable_max,3,0.0,,2,600,600,600,174,True,f58f16c0d5bdeb3f3b44c508afccb949a85a479b7ba3c41946810d4116849e82,92b68c74f7518a98968ec37e1ff82e314617048777c49757c3e677dcfcf92cc4,2c8e8601c532456358b319674477d2105df04e331b5228c4d9ab5aa046d9f183,1088.8653202958042,1083.7514729545924,5.113847341211795,True,92b68c74f7518a98968ec37e1ff82e314617048777c49757c3e677dcfcf92cc4,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,renewable_max,3,0.0,,3,600,600,600,150,True,92b68c74f7518a98968ec37e1ff82e314617048777c49757c3e677dcfcf92cc4,96bebd3be7908c61bdc0c12fc4ceb41c0d9923a1b14a607e643d6ea2095033a4,6a27b32bb8554987c62c751b0e56d6af17fd93661e458e356785e72101cbca48,1083.7514729545924,1072.7675178350453,10.98395511954709,True,96bebd3be7908c61bdc0c12fc4ceb41c0d9923a1b14a607e643d6ea2095033a4,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,renewable_max,3,0.0,,4,600,600,600,117,True,96bebd3be7908c61bdc0c12fc4ceb41c0d9923a1b14a607e643d6ea2095033a4,3851c5c3de234cc028c828659e5a340aa66106cf2c5bb22c4f6a653217ca2d26,227f298c299064f675286bc699d8e016a08c31bb0b281af3105c10897e9d9a72,1072.7675178350453,1048.9288346080393,23.83868322700596,True,3851c5c3de234cc028c828659e5a340aa66106cf2c5bb22c4f6a653217ca2d26,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,renewable_max,3,0.0,,5,600,600,600,137,True,3851c5c3de234cc028c828659e5a340aa66106cf2c5bb22c4f6a653217ca2d26,85c55ebde7b08ced9b75a8735e21eb8b588c1a8da4653c1e33c73969742c4ce9,8416069cd7873105eaa0273be60e7c6f5a04712be2fbc07bb00507a929f20a62,1048.9288346080393,1029.2478839607427,19.68095064729664,True,85c55ebde7b08ced9b75a8735e21eb8b588c1a8da4653c1e33c73969742c4ce9,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,renewable_max,3,0.0,,6,600,600,600,140,True,85c55ebde7b08ced9b75a8735e21eb8b588c1a8da4653c1e33c73969742c4ce9,149db1f29c6ec5b3f0f5d6839a71fa531d420e19dadc335ef80079a8b13800b4,1e78c82001651bcdcc656d77e9bd743c05f6cace9a9fc5585e5e3162bbe57b5f,1029.2478839607427,1014.2935088983203,14.9543750624224,True,149db1f29c6ec5b3f0f5d6839a71fa531d420e19dadc335ef80079a8b13800b4,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,renewable_max,3,0.0,,7,600,600,600,121,True,149db1f29c6ec5b3f0f5d6839a71fa531d420e19dadc335ef80079a8b13800b4,2adebacc6cede589f30473c2aa78524b3fcc2615d988db3db0284781762de19f,78f4bf037e5e9709153107743e67f73a29b98fac910fc80cfda42c55492eca2a,1014.2935088983203,999.9012996439142,14.392209254406112,True,2adebacc6cede589f30473c2aa78524b3fcc2615d988db3db0284781762de19f,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,renewable_max,3,0.0,,8,600,600,600,138,True,2adebacc6cede589f30473c2aa78524b3fcc2615d988db3db0284781762de19f,f47997c8ca9bba460384a6dbd96215400188a75c058c84b92651d176d0fca7de,d91b18f9058807739742faa7bd0cd09794831ac35a30f413630ee915d5f8a158,999.9012996439142,972.0343577009947,27.866941942919425,True,f47997c8ca9bba460384a6dbd96215400188a75c058c84b92651d176d0fca7de,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,balanced,3,0.1,,1,600,600,600,163,True,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,a657157994f7ab8c10a0fa1f9f3422a142bc70ff089dc792047dbf9455e3fe07,db00b81ab7cd1fd38c25ad90f83d3e6eb015a3ebe7c85467b43227c65ad49d7b,1183.2016001902548,1165.9311451223193,17.270455067935472,True,a657157994f7ab8c10a0fa1f9f3422a142bc70ff089dc792047dbf9455e3fe07,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,balanced,3,0.1,,2,600,600,600,167,True,a657157994f7ab8c10a0fa1f9f3422a142bc70ff089dc792047dbf9455e3fe07,9c80475b01e7780c56b11bbe61e8858edd8caccd144d5861a9dc01016a92ee13,e05520210e65429b82d297561386bd9f9a45ddac836f2d6d2f375d2b85ac6f72,1165.9311451223193,1155.8757764483398,10.055368673979501,True,9c80475b01e7780c56b11bbe61e8858edd8caccd144d5861a9dc01016a92ee13,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,balanced,3,0.1,,3,600,600,600,170,True,9c80475b01e7780c56b11bbe61e8858edd8caccd144d5861a9dc01016a92ee13,9aae1b9e20de4ce9c71aa8d7360505f7904ba7f1ddc0aed3e92918adf5fd993e,e4d0b7af60b51185c780b6508ffb830a99937256c05789b3ff8ae2ecd09521af,1155.8757764483398,1130.119836679194,25.755939769145925,True,9aae1b9e20de4ce9c71aa8d7360505f7904ba7f1ddc0aed3e92918adf5fd993e,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,balanced,3,0.1,,4,600,600,600,135,True,9aae1b9e20de4ce9c71aa8d7360505f7904ba7f1ddc0aed3e92918adf5fd993e,2ad7dcc67bfaf4fa2cc773215e0a27aa85e5fd4717bfabe4f8c8bc5adf81640c,126cb688a9dbc8d448a64448339fc4343fc7dfdce0323e23a2eb2963440eecca,1130.119836679194,1091.8268870580505,38.29294962114341,True,2ad7dcc67bfaf4fa2cc773215e0a27aa85e5fd4717bfabe4f8c8bc5adf81640c,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
carbon_constraint,carbon_reduction,21,balanced,3,0.1,,5,600,600,600,140,True,2ad7dcc67bfaf4fa2cc773215e0a27aa85e5fd4717bfabe4f8c8bc5adf81640c,62876089ea7d4b5d0093e71b04876325d9eb5d60176bf8559ae0e03a7bdcc204,4fcbb0a8d2ad3dfc2ce97a4edf4e98981c68afdbcddb4bdcb93cfbdd3ad56d3d,1091.8268870580505,1039.4381866228289,52.38870043522161,True,62876089ea7d4b5d0093e71b04876325d9eb5d60176bf8559ae0e03a7bdcc204,True,SearchSignal_CNY_per_MWh = settlement_price + 200*carbon + 5*purchase - 5*curtailment,ElectricityPrice_CNY_per_MWh unchanged in formal variant,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd
