scope,Region,renewable_direct_use_MWh,renewable_charge_MWh,grid_charge_MWh,renewable_sell_MWh,storage_sell_MWh,renewable_curtailment_MWh,renewable_utilization,max_energy_balance_abs_residual_MW,max_source_decomposition_abs_residual_MW,scenario_key
00_baseline_1.0_None,RegionA,1150316.8020081,0.0,0.0,0.0,0.0,774811.2579919,0.597527419556754,0.0,0.0,00_baseline_1.0_None
00_baseline_1.0_None,RegionB,1126663.79446935,0.0,0.0,0.0,0.0,798464.2655306498,0.5852409602659627,0.0,0.0,00_baseline_1.0_None
00_baseline_1.0_None,RegionC,1161289.40832276,0.0,0.0,0.0,0.0,763838.65167724,0.6032270956160495,0.0,0.0,00_baseline_1.0_None
00_baseline_1.0_None,RegionD,1058115.1812172802,11465.425531914894,0.0,418706.32036580314,10023.075,436841.13288500195,0.7730846368293017,5.684341886080802e-14,1.4210854715202004e-14,00_baseline_1.0_None
00_baseline_1.0_None,RegionE,993047.1470770832,31060.531914893618,0.0,494093.95985970745,27153.117,406926.42114831565,0.7886237130903824,5.684341886080802e-14,1.4210854715202004e-14,00_baseline_1.0_None
00_baseline_1.0_None,RegionF,1036218.2591722733,32173.404255319154,0.0,493047.43055640336,28124.463616666668,363688.9660160042,0.8110832346311526,5.684341886080802e-14,1.4210854715202004e-14,00_baseline_1.0_None
01_carbon_constraint_0.0_None,RegionA,1129121.9115563,21274.7311827957,0.0,0.0,0.0,389705.80526090425,0.7469611156277416,5.684341886080802e-14,0.0,01_carbon_constraint_0.0_None
01_carbon_constraint_0.0_None,RegionB,1110265.8933684502,17870.774166666662,7.935510752688769,0.0,0.0,411965.78046488325,0.732507547793416,5.684341886080802e-14,0.0,01_carbon_constraint_0.0_None
01_carbon_constraint_0.0_None,RegionC,1135429.12468942,24574.193548387095,0.0,0.0,0.0,380099.12976219296,0.753198801640894,5.684341886080802e-14,0.0,01_carbon_constraint_0.0_None
01_carbon_constraint_0.0_None,RegionD,1054437.98420096,84997.34042553192,0.0,321700.17179096054,73429.24779701333,78966.95158254751,0.9487261696875459,5.684341886080802e-14,1.4210854715202004e-14,01_carbon_constraint_0.0_None
01_carbon_constraint_0.0_None,RegionE,993381.5531649999,78777.76595744683,0.0,384003.5600133422,67954.97575458333,83939.56886421108,0.9454974122187676,5.684341886080802e-14,7.105427357601002e-15,01_carbon_constraint_0.0_None
01_carbon_constraint_0.0_None,RegionF,1034777.86714566,81740.1595744681,0.0,376042.65998647205,70138.68165005336,47541.761293399904,0.9691307799976956,5.684341886080802e-14,1.4210854715202004e-14,01_carbon_constraint_0.0_None
02_carbon_constraint_0.1_None,RegionA,1129253.5298581002,20936.021505376342,0.0,0.0,0.0,389912.89663652366,0.7468266496538136,5.684341886080802e-14,0.0,02_carbon_constraint_0.1_None
02_carbon_constraint_0.1_None,RegionB,1110379.7288184501,18116.12903225806,0.0,0.0,0.0,411606.59014929185,0.7327407727428715,5.684341886080802e-14,0.0,02_carbon_constraint_0.1_None
02_carbon_constraint_0.1_None,RegionC,1135592.4123308,24311.290322580644,0.0,0.0,0.0,380198.74534661946,0.7531341204993531,5.684341886080802e-14,0.0,02_carbon_constraint_0.1_None
02_carbon_constraint_0.1_None,RegionD,1054824.8094813866,84781.91489361702,0.0,321506.5768987597,73197.31650410667,78989.14672623662,0.9487117582152973,5.684341886080802e-14,1.4210854715202004e-14,02_carbon_constraint_0.1_None
02_carbon_constraint_0.1_None,RegionE,993007.7459966666,78856.27659574468,0.0,384483.14596171107,67928.73258624999,83755.2794458777,0.9456170727118556,5.684341886080802e-14,1.4210854715202004e-14,02_carbon_constraint_0.1_None
02_carbon_constraint_0.1_None,RegionF,1034762.4238877232,81699.46808510639,0.0,376654.1407703684,70152.59845211665,46986.415256801956,0.9694913703190208,5.684341886080802e-14,1.4210854715202004e-14,02_carbon_constraint_0.1_None
03_carbon_constraint_0.2_None,RegionA,1129604.25690765,21158.06451612903,0.0,0.0,0.0,389340.12657622097,0.7471985535236155,5.684341886080802e-14,0.0,03_carbon_constraint_0.2_None
03_carbon_constraint_0.2_None,RegionB,1109550.7189166502,18284.7311827957,0.0,0.0,0.0,412266.9979005542,0.7323119650670447,5.684341886080802e-14,0.0,03_carbon_constraint_0.2_None
03_carbon_constraint_0.2_None,RegionC,1135424.79572896,24098.38709677419,0.0,0.0,0.0,380579.2651742659,0.7528870461387217,5.684341886080802e-14,0.0,03_carbon_constraint_0.2_None
03_carbon_constraint_0.2_None,RegionD,1055626.0984405335,84997.34042553192,0.0,320893.7085132255,73372.46475658666,78585.30062070923,0.9489739785020398,5.684341886080802e-14,1.4210854715202004e-14,03_carbon_constraint_0.2_None
03_carbon_constraint_0.2_None,RegionE,992522.5372462501,78817.02127659575,0.0,384960.2066975266,67899.9635025,83802.6827796277,0.945586293373889,5.684341886080802e-14,1.4210854715202004e-14,03_carbon_constraint_0.2_None
03_carbon_constraint_0.2_None,RegionF,1034913.0026323266,81699.46808510639,0.0,376055.72242435324,70201.17079672,47434.254858213804,0.9692005847274561,5.684341886080802e-14,1.4210854715202004e-14,03_carbon_constraint_0.2_None
04_carbon_constraint_0.3_None,RegionA,1129252.6320567501,21013.172043010753,0.0,0.0,0.0,389836.6439002392,0.7468761611239002,5.684341886080802e-14,0.0,04_carbon_constraint_0.3_None
