scenario_type,parameter,state_count,storage_policy,storage_policy_candidate_count,storage_policy_selection_rule,baseline_source,carbon_reference_mode,carbon_reference_tCO2,carbon_target_tCO2,level,seed,status,alternation_rounds,accepted_rounds,checked_candidates,common_start_count,fixed_candidate_set,dynamic_neighborhood_rebuilt_each_round,selected_candidate,storage_trajectory_sha256,migration_count,task_search_status,cost_CNY,carbon_tCO2,network_latency_ms,service_quality,realtime_sla_rate,on_time_rate,max_wait_h,p95_wait_h,mean_wait_h,renewable_utilization,peak_net_grid_purchase_MW,peak_grid_purchase_MW,net_grid_ramp_MW,ramp_MW,grid_purchase_ramp_MW,grid_sell_ramp_MW,grid_purchase_MWh,grid_sell_MWh,mechanism_active,active_constraint,constraints_satisfied,non_Pareto,result_level,termination_status,search_signal_field,settlement_price_field,settlement_price_sha256,degenerate_scenario,degeneracy_reason
baseline,baseline,21,balanced,3,q4_weighted_ideal_distance_over_cost_balanced_renewable_policies,normal_joint_baseline,normal_baseline,,,1.0,,completed,2,0,1200,1,False,True,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,7da4b3976663d40cdcacd923f71e28191017df58c1f9a1f26df7468da17c34e8,16924,searched_no_improvement,-454174024.61707526,0.0,16.998674454065213,0.007548541025855424,1.0,1.0,1926.0,12.0,8.28708,0.6931311766649338,0.0,0.0,22150.241246509893,22150.241246509893,0.0,22150.241246509893,0.0,1471148.3663985804,False,baseline_no_extra_constraint,1,True,scenario-feasible,no_improvement,SearchSignal_CNY_per_MWh,ElectricityPrice_CNY_per_MWh,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd,False,none
carbon_constraint,carbon_reduction,21,balanced,6,nested_carbon_candidate_bank_current_input_recalculation,renewable_shortage_pressure_scale_0.8,renewable_shortage_pressure,7430.327517919494,7430.327517919494,0.0,,completed,8,8,4800,1,False,True,f47997c8ca9bba460384a6dbd96215400188a75c058c84b92651d176d0fca7de,6c185c2d9fb7481a5bd6ec2b245988d647057977a5da7e6228812990a2389a66,17498,alternating_improved,-408554274.83200914,6597.841341368284,17.474293282972564,0.006446873543667487,1.0,1.0,2283.0,12.0,10.14394,0.8493369711610099,102.32153045000214,102.32153045000214,132484.14478721732,132484.14478721732,10991.888128245286,121492.25665897202,10670.66685679261,1293269.2969924249,False,carbon_tCO2<=7430.32751792,1,True,scenario-feasible,max_iterations_reached,SearchSignal_CNY_per_MWh,ElectricityPrice_CNY_per_MWh,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd,False,none
carbon_constraint,carbon_reduction,21,balanced,9,nested_carbon_candidate_bank_current_input_recalculation,renewable_shortage_pressure_scale_0.8,renewable_shortage_pressure,7430.327517919494,6687.294766127545,0.1,,completed,8,8,4800,1,False,True,959b54f601047846ef06aa652275035fd62daf5bfd748b13ccdc698bb605a5a1,1ce97335c8c7632e21e6c69fb59df314c96ade6175192e445a196e5926876c4f,17515,alternating_improved,-408952823.37762713,6489.852368807048,17.525687858760797,0.006430218468792148,1.0,1.0,2332.0,12.0,10.21338,0.8494202906903685,106.9032804499998,106.9032804499998,132850.2914720627,132850.2914720627,10624.12091233995,122226.17055972276,10474.291152859949,1293922.5111733126,True,carbon_tCO2<=6687.29476613,1,True,scenario-feasible,max_iterations_reached,SearchSignal_CNY_per_MWh,ElectricityPrice_CNY_per_MWh,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd,False,none
carbon_constraint,carbon_reduction,21,balanced,3,q4_weighted_ideal_distance_over_cost_balanced_renewable_policies,renewable_shortage_pressure_scale_0.8,renewable_shortage_pressure,7430.327517919494,5944.262014335596,0.2,,target_not_found_within_declared_search,8,8,4800,1,False,True,49d43522b56a89e20309437b24f430d09967f275d5b07329dd4acfbfe45825fe,91aa1b24c336492a4632c99b70744cda11b2a01a175a72bec5136b52c0f7be62,17469,alternating_improved,-408834244.88329506,6520.108205776,17.466172696264632,0.006373946309776874,1.0,1.0,1926.0,12.0,10.08878,0.8493597368887943,112.12723998999878,112.12723998999878,132707.33893919986,132707.33893919986,10631.883758319897,122075.45518087997,10523.151086949983,1293383.236690912,True,carbon_tCO2<=5944.26201434,1,True,scenario-feasible,max_iterations_reached,SearchSignal_CNY_per_MWh,ElectricityPrice_CNY_per_MWh,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd,False,none
carbon_constraint,carbon_reduction,21,balanced,3,q4_weighted_ideal_distance_over_cost_balanced_renewable_policies,renewable_shortage_pressure_scale_0.8,renewable_shortage_pressure,7430.327517919494,5201.229262543646,0.3,,target_not_found_within_declared_search,8,8,4800,1,False,True,bfd85388f88aec2855aabf63e29b2bfc26e38c4a4633fe4d3ea9c38172782837,8370ef0f3731743a24c6dfa3dff6aa690d092c3025a43ee24d64ef0ced7aa161,17502,alternating_improved,-408432279.5101832,6751.80311757186,17.534081384106077,0.006441139676816843,1.0,1.0,2306.0,12.0,10.0675,0.8493133222259772,112.30268953999814,112.30268953999814,133043.79724813864,133043.79724813864,11041.194826619952,122002.60242151868,10918.999675325014,1293376.026718944,True,carbon_tCO2<=5201.22926254,1,True,scenario-feasible,max_iterations_reached,SearchSignal_CNY_per_MWh,ElectricityPrice_CNY_per_MWh,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd,False,none
price_spread,price_scale,21,balanced,3,q4_weighted_ideal_distance_over_cost_balanced_renewable_policies,normal_joint_baseline,normal_baseline,,,0.75,,completed,2,0,1200,1,False,True,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,7da4b3976663d40cdcacd923f71e28191017df58c1f9a1f26df7468da17c34e8,16924,searched_no_improvement,-454174024.61707526,0.0,16.998674454065213,0.007548541025855424,1.0,1.0,1926.0,12.0,8.28708,0.6931311766649338,0.0,0.0,22150.241246509893,22150.241246509893,0.0,22150.241246509893,0.0,1471148.3663985804,False,inactive_zero_purchase_or_reference_level,1,True,scenario-feasible,no_improvement,SearchSignal_CNY_per_MWh,ElectricityPrice_CNY_per_MWh,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd,False,none
price_spread,price_scale,21,balanced,3,q4_weighted_ideal_distance_over_cost_balanced_renewable_policies,normal_joint_baseline,normal_baseline,,,1.0,,completed,4,1,2400,1,False,True,aaf7c6d4f737732e6b7864e35116a9e11b53e6c9b8f9c5692462b8ba2b980922,12e74d7168d830a1474f2bad4e4b507382483f249a288302db295ee09c5cab74,16985,alternating_improved,-454214008.1726912,0.0,17.045613483031918,0.007533791479814699,1.0,1.0,1926.0,12.0,8.31964,0.6931487106440015,0.0,0.0,21969.60423227233,21969.60423227233,0.0,21969.60423227233,0.0,1471314.7023785827,False,inactive_zero_purchase_or_reference_level,1,True,scenario-feasible,no_improvement,SearchSignal_CNY_per_MWh,ElectricityPrice_CNY_per_MWh,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd,False,none
price_spread,price_scale,21,balanced,3,q4_weighted_ideal_distance_over_cost_balanced_renewable_policies,normal_joint_baseline,normal_baseline,,,1.25,,completed,2,0,1200,1,False,True,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,7da4b3976663d40cdcacd923f71e28191017df58c1f9a1f26df7468da17c34e8,16924,searched_no_improvement,-454174024.61707526,0.0,16.998674454065213,0.007548541025855424,1.0,1.0,1926.0,12.0,8.28708,0.6931311766649338,0.0,0.0,22150.241246509893,22150.241246509893,0.0,22150.241246509893,0.0,1471148.3663985804,False,inactive_zero_purchase_or_reference_level,1,True,scenario-feasible,no_improvement,SearchSignal_CNY_per_MWh,ElectricityPrice_CNY_per_MWh,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd,False,none
sell_mechanism,sell_scale,21,balanced,3,q4_weighted_ideal_distance_over_cost_balanced_renewable_policies,normal_joint_baseline,normal_baseline,,,0.0,,completed,3,1,1800,1,False,True,0360f7c6a8acd079bf26160f60349b124ddc0b1c1aeb5414fedb458819cfe9f2,b641b0099fcb1c1e1feb7b64849aea7a3be2bcb38f659ab3668087abb8790dc8,16991,alternating_improved,0.0,0.0,17.051491028137324,0.007538209885277262,1.0,1.0,1926.0,12.0,8.28872,0.6931462783150688,0.0,0.0,21923.957187496257,21923.957187496257,0.0,21923.957187496257,0.0,1471271.7911261083,True,sell_price_active,1,True,scenario-feasible,no_improvement,SearchSignal_CNY_per_MWh,ElectricityPrice_CNY_per_MWh,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd,False,none
sell_mechanism,sell_scale,21,balanced,3,q4_weighted_ideal_distance_over_cost_balanced_renewable_policies,normal_joint_baseline,normal_baseline,,,0.5,,completed,2,0,1200,1,False,True,15a813da95bb928ebcad749613c5244fae1f40eb0831119be5fd9bf87ecb0e15,6ac59a6073f81248652327395b49fc6511398a7771e3579c3cefc5140d660886,16924,searched_no_improvement,-227087012.30853763,0.0,16.998674454065213,0.007548541025855424,1.0,1.0,1926.0,12.0,8.28708,0.693131176664934,0.0,0.0,22164.523574843228,22164.523574843228,0.0,22164.523574843228,0.0,1471148.3663985804,True,sell_price_active,1,True,scenario-feasible,no_improvement,SearchSignal_CNY_per_MWh,ElectricityPrice_CNY_per_MWh,bfb3ea477abdff79335c7bd46cbb45656b7888a9943803711ca0eac87e7888cd,False,none
